,Unnamed: 0,student_id,semester,year,grade,term_number
0,221,7677,fall,2007,A,740
1,222,1921,fall,2007,F,740
2,223,5822,fall,2007,C,740
3,224,4990,fall,2007,D,740
4,225,556,fall,2007,B,740
5,226,2782,fall,2007,F,740
6,227,1603,fall,2007,D,740
7,228,10518,fall,2007,F,740
8,229,6727,fall,2007,C,740
9,230,2754,fall,2007,F,740
10,231,816,fall,2007,F,740
11,232,2450,fall,2007,C,740
12,233,2257,fall,2007,C,740
13,234,6235,fall,2007,F,740
14,235,7391,fall,2007,D,740
15,236,8222,fall,2007,C,740
16,237,8434,fall,2007,A,740
17,238,8058,fall,2007,C,740
18,239,7469,fall,2007,C,740
19,240,1559,fall,2007,A,740
20,241,7568,fall,2007,F,740
21,242,3718,fall,2007,D,740
22,243,9964,fall,2007,F,740
23,1068,2046,fall,2008,D,770
24,1069,6235,fall,2008,B,770
25,1070,5365,fall,2008,C,770
26,1071,6943,fall,2008,D,770
27,1072,7128,fall,2008,D,770
28,1073,1891,fall,2008,D,770
29,1074,1665,fall,2008,D,770
30,1075,6730,fall,2008,F,770
31,1076,101,fall,2008,B,770
32,1077,6325,fall,2008,F,770
33,1078,1921,fall,2008,D,770
34,1079,2552,fall,2008,C,770
35,1080,725,fall,2008,D,770
36,1081,3752,fall,2008,C,770
37,1082,2782,fall,2008,B,770
38,1083,7389,fall,2008,D,770
39,1084,6197,fall,2008,D,770
40,1085,7927,fall,2008,F,770
41,1086,8884,fall,2008,F,770
42,1087,1196,fall,2008,B,770
43,1088,1633,fall,2008,B,770
44,1089,1579,fall,2008,D,770
45,1090,6454,fall,2008,F,770
46,1682,68,fall,2008,D,770
47,1845,3823,fall,2008,B,770
48,1846,1836,fall,2008,C,770
49,1847,5405,fall,2008,B,770
50,1848,2823,fall,2008,F,770
51,1849,700,fall,2008,F,770
52,1850,9778,fall,2008,F,770
53,1851,2694,fall,2008,B,770
54,1852,836,fall,2008,D,770
55,1853,661,fall,2008,C,770
56,1854,2797,fall,2008,B,770
57,1855,9698,fall,2008,B,770
58,1856,542,fall,2008,C,770
59,1857,2802,fall,2008,F,770
60,1858,4318,fall,2008,F,770
61,1859,8966,fall,2008,B,770
62,1860,5370,fall,2008,F,770
63,1861,2816,fall,2008,C,770
64,2554,7142,spring,2008,C,750
65,2555,1603,spring,2008,B,750
66,2556,6943,spring,2008,F,750
67,2557,5262,spring,2008,D,750
68,2558,6235,spring,2008,D,750
69,2559,7778,spring,2008,F,750
70,2560,8724,spring,2008,C,750
71,2561,2552,spring,2008,F,750
