student_id,term_number,course name,grade
9535,740,"World Population, Food and Resources",B
2197,740,Global Business,A
5447,740,Leadership and Management,C
2450,740,Leadership and Management,B
702,740,Leadership and Management,C
5341,740,Leadership and Management,B
7763,740,Leadership and Management,C
9535,740,Introduction to Mass Media,A
10518,740,Introductory Chemistry,C
6325,740,Introductory Chemistry,C
8806,740,Introductory Chemistry,C
6454,740,Chemistry for Engineers,C
7391,740,Chemistry for Engineers,F
702,740,Introduction to Programming,B
5822,740,Introduction to Programming,A
5341,740,Introduction to Programming,B
10518,740,Introduction to Programming,A
7763,740,Programming in C++,F
2450,740,Programming in C++,A
7449,740,Programming in C++,B
7391,740,Programming in C++,D
8318,740,Programming in C++,C
2433,740,Programming in C++,A
9509,740,Programming in C++,C
9990,740,Data Communications and Computer Networks,F
5447,740,Circuit Modeling I,C
9990,740,Circuit Modeling I,F
7763,740,Engineering Success Skills,F
5341,740,Engineering Success Skills,B
6454,740,Engineering Success Skills,A
9509,740,Engineering Success Skills,B
702,740,Engineering Success Skills,B
2433,740,Engineering Success Skills,A
6325,740,Engineering Success Skills,A
8806,740,Engineering Success Skills,A
2450,740,Engineering Success Skills,D
10518,740,Engineering Success Skills,C
6239,740,Engineering Success Skills,A
7391,740,Engineering Success Skills,D
7449,740,Engineering Success Skills,D
849,740,Introduction to Engineering Projects,F
7763,740,College Algebra,F
702,740,Precalculus,F
6325,740,Precalculus,C
8806,740,Precalculus,F
9509,740,Precalculus,F
5341,740,Trigonometry and Analytic Geometry,A
6454,740,Trigonometry and Analytic Geometry,B
7449,740,Trigonometry and Analytic Geometry,B
5822,740,Calculus and Analytic Geometry I,C
10518,740,Calculus and Analytic Geometry I,F
2450,740,Calculus and Analytic Geometry I,C
7391,740,Calculus and Analytic Geometry I,D
7568,740,Calculus and Analytic Geometry I,F
8318,740,Calculus and Analytic Geometry II,F
5447,740,Calculus and Analytic Geometry II,C
9535,740,Calculus and Analytic Geometry II,C
849,740,Calculus and Analytic Geometry II,D
2433,740,Calculus and Analytic Geometry II,C
6239,740,Calculus and Analytic Geometry II,C
9990,740,Calculus and Analytic Geometry III,F
849,740,General Physics I Lab,C
849,740,General Physics I,D
6239,740,Object-Oriented Programming and Data Structures I,B
849,740,Object-Oriented Programming and Data Structures I,D
9990,740,Object-Oriented Programming and Data Structures II,F
5447,740,Object-Oriented Programming and Data Structures II,B
7568,740,Object-Oriented Programming and Data Structures II,F
5447,740,Introduction to Software Engineering,B
6239,740,Introduction to Software Engineering,B
7568,740,Introduction to Software Engineering,C
9990,740,Object Oriented Analysis and Design,F
8318,740,Drawing I: Basic Drawing,C
8318,740,Basic Design I: 2-D,C
6325,740,Art Survey,B
2433,740,Principles of Macroeconomics,B
6454,740,Principles of Macroeconomics,B
7449,740,Principles of Macroeconomics,A
9509,740,Principles of Macroeconomics,D
2197,740,Principles of Microeconomics,C
2433,740,College Writing I,B
2450,740,College Writing I,B
702,740,College Writing I,B
9509,740,College Writing I,F
6454,740,College Writing I,B
6325,740,College Writing I,A
5341,740,College Writing I,B
7391,740,College Writing I,F
7449,740,College Writing I,F
7763,740,College Writing I,D
2197,740,Planet Earth,D
5822,740,World Civilization I,A
10518,740,Music Appreciation,A
5341,740,University Bands,A
5822,740,Marching Pioneers,A
5822,740,Ethics,B
9535,740,Fitness Assessment and Management,A
2450,740,Fitness Assessment and Management,A
6454,740,Fitness Assessment and Management,B
7449,740,Fitness Assessment and Management,F
8806,740,Fitness Assessment and Management,A
9509,740,Fitness Assessment and Management,C
7568,740,Fitness Assessment and Management,C
2433,740,Racquetball,A
5341,740,Racquetball,A
8806,740,Swimming,A
8318,740,Volleyball,A
6239,740,Volleyball,A
7763,740,General Psychology,C
5822,740,Introduction to Sociology,B
849,740,Oral Communication for Professionals,B
6325,740,Oral Communication for Professionals,A
8806,740,Introduction to the Theatre,C
7568,740,Introduction to the Theatre,F
2197,745,Fitness Assessment and Management,A
6239,745,Fitness Assessment and Management,A
8670,750,Financial Accounting,C
7792,750,Management Accounting,C
6456,750,Global Business,B
7744,750,Global Business,D
5257,750,Global Business,F
7437,750,Global Business,C
10654,750,Global Business,F
4796,750,Global Business,F
9411,750,Leadership and Management,B
2197,750,Leadership and Management,B
6395,750,Leadership and Management,C
3061,750,Leadership and Management,D
8670,750,Leadership and Management,C
8670,750,Introduction to Marketing,D
4727,750,Corporate Finance,C
6714,750,Introduction to Mass Media,B
7437,750,Introduction to Mass Media,B
6325,750,Chemistry for Engineers,C
7744,750,Introduction to Programming,F
2680,750,Introduction to Programming,A
3061,750,Programming in C++,B
10420,750,Programming in C++,C
9411,750,Programming in C++,F
6395,750,Programming in C++,D
5341,750,Programming in C++,B
7763,750,Programming in C++,D
8444,750,Programming in C++,B
5676,750,Programming in C++,B
10518,750,Programming in C++,B
2197,750,Programming in COBOL,D
284,750,Programming in COBOL,F
5740,750,Programming in COBOL,C
4727,750,Programming in COBOL,F
8670,750,Programming in COBOL,F
3270,750,Programming in COBOL,F
4727,750,Object-Oriented Programming and Data Structures I,F
5740,750,Computer Architecture/Operating Systems,B
7792,750,Windows Programming,C
5740,750,Windows Programming,A
7599,750,Database Design and Implementation,C
5447,750,Database Design and Implementation,B
9990,750,Database Design and Implementation,F
284,750,Database Design and Implementation,C
284,750,Seminar,F
3270,750,Seminar,F
7599,750,Special Topics in Computer Science,B
10518,750,Circuit Modeling I,D
6325,750,Circuit Modeling I,D
6325,750,Introduction to Engineering Projects,B
10518,750,Introduction to Engineering Projects,A
2450,750,Introduction to Engineering Projects,B
5341,750,Introduction to Engineering Projects,B
2433,750,Introduction to Engineering Projects,A
5822,750,Engineering Mechanics-Statics,D
5822,750,Engineering Economy,C
4796,750,Elementary Algebra,F
6395,750,Intermediate Algebra,D
10529,750,Intermediate Algebra,C
9411,750,College Algebra,F
5257,750,College Algebra,D
7763,750,College Algebra,F
7437,750,Mathematics of Finance,C
7792,750,Elementary Statistics,B
8670,750,Elementary Statistics,C
5676,750,Precalculus,D
8806,750,Precalculus,D
2680,750,Calculus and Analytic Geometry I,C
6454,750,Calculus and Analytic Geometry I,D
6325,750,Calculus and Analytic Geometry I,F
10518,750,Calculus and Analytic Geometry I,C
2622,750,Calculus and Analytic Geometry I,C
5341,750,Calculus and Analytic Geometry I,C
5447,750,Discrete Mathematics,C
8318,750,Discrete Mathematics,C
1304,750,Calculus and Analytic Geometry II,D
5822,750,Calculus and Analytic Geometry II,F
8318,750,Calculus and Analytic Geometry II,B
2450,750,Calculus and Analytic Geometry II,C
9990,750,Calculus and Analytic Geometry III,F
5447,750,Calculus and Analytic Geometry III,D
2433,750,Calculus and Analytic Geometry III,B
3270,750,Linear Algebra,F
8444,750,Principles of Physics,C
5822,750,General Physics I Lab,F
5447,750,General Physics I Lab,B
5822,750,General Physics I,D
5447,750,General Physics I,C
2450,750,Object-Oriented Programming and Data Structures I,B
8318,750,Object-Oriented Programming and Data Structures I,C
2433,750,Object-Oriented Programming and Data Structures I,B
8318,750,Introduction to Software Engineering,C
2433,750,Introduction to Software Engineering,C
7599,750,Intermediate Software Engineering,A
6454,750,Art Survey,C
10654,750,Art Survey,F
4796,750,Art Survey,F
6456,750,Art Survey,A
10529,750,Art Survey,B
3270,750,20th c. Art History: Modern to Contemporary,F
2111,750,Introduction to College Life,F
5257,750,Principles of Macroeconomics,F
5676,750,Principles of Macroeconomics,D
7763,750,Principles of Macroeconomics,F
2450,750,Principles of Macroeconomics,B
2197,750,Principles of Macroeconomics,F
3061,750,Principles of Macroeconomics,F
2680,750,Principles of Macroeconomics,C
10420,750,Principles of Microeconomics,C
5822,750,Intermediate Microeconomic Analysis,C
8444,750,College Writing I,C
6714,750,College Writing I,B
7744,750,College Writing I,F
5676,750,College Writing II,F
9990,750,College Writing II,F
6325,750,College Writing II,B
2433,750,College Writing II,B
6454,750,College Writing II,F
3061,750,College Writing II,F
6456,750,College Writing II,D
2450,750,College Writing II,C
5257,750,College Writing II,D
10518,750,College Writing II,A
8806,750,College Writing II,B
5341,750,College Writing II,B
10420,750,College Writing II,B
10654,750,College Writing II,F
4796,750,College Writing II,F
10529,750,College Writing II,C
7763,750,College Writing II,D
6395,750,College Writing II,C
4727,750,Science Fiction,B
7792,750,Technical Writing,B
5740,750,Technical Writing,A
4727,750,Technical Writing,A
2197,750,Technical Writing,B
2111,750,"Race, Gender, and Class",F
9268,750,"Race, Gender, and Class",A
8318,750,Planet Earth,A
6454,750,Planet Earth,C
2111,750,Planet Earth,F
10529,750,World Regional Geography,B
9411,750,World Civilization I,D
10529,750,World Civilization II,C
8045,750,Imperialism and Resistance,B
2197,750,Imperialism and Resistance,F
8045,750,Medieval Europe,B
2622,750,Introduction to Japanese II,D
6714,750,Music Appreciation,F
10420,750,Music Appreciation,A
5341,750,University Bands,A
6714,750,Choir,A
5740,750,Introduction to Philosophy,A
7763,750,Introduction to Philosophy,D
284,750,Introduction to Philosophy,F
3270,750,Logic,F
6325,750,Fitness Assessment and Management,A
2111,750,Fitness Assessment and Management,F
6456,750,Fitness Assessment and Management,C
3061,750,Fitness Assessment and Management,D
10654,750,Fitness Assessment and Management,C
4796,750,Fitness Assessment and Management,C
2680,750,Fitness Assessment and Management,F
5257,750,Basketball,A
7599,750,Golf,A
7599,750,Racquetball,A
5341,750,Tennis,A
3061,750,Introduction to American Government,F
284,750,Introduction to American Government,F
6714,750,Introduction to Public Policy,B
8045,750,Political Theory,A
8045,750,Constitutional Law,B
6456,750,General Psychology,C
7744,750,General Psychology,F
7437,750,Psychology of Personal Adjustment,B
8806,750,Cultural Anthropology,C
5447,750,Oral Communication for Professionals,B
8806,750,Oral Communication for Professionals,D
2433,750,Oral Communication for Professionals,B
9990,750,Oral Communication for Professionals,F
5341,750,Oral Communication for Professionals,B
6714,750,Oral Communication for Professionals,B
9268,750,Introduction to the Theatre,A
6395,750,Stagecraft,A
4727,750,Minority Women Writers of the United States,D
6239,750,Leadership and Management,A
702,750,Programming in C++,D
7449,750,Object-Oriented Programming and Data Structures I,B
6239,750,Circuit Modeling I,B
702,750,Introduction to Engineering Projects,C
9509,750,Introduction to Engineering Projects,A
9509,750,Precalculus,F
702,750,Precalculus,D
7449,750,Calculus and Analytic Geometry I,B
6239,750,Calculus and Analytic Geometry III,B
9509,750,Object-Oriented Programming and Data Structures I,D
9509,750,Introduction to Software Engineering,F
7449,750,Art Survey,B
702,750,Principles of Macroeconomics,D
7449,750,Principles of Microeconomics,A
9509,750,College Writing I,F
702,750,College Writing II,B
7449,750,Fitness Assessment and Management,F
6239,750,General Psychology,A
4796,760,Elementary Algebra,F
284,760,World Civilization I,A
2197,760,History of the United States to 1877,B
7449,760,Calculus and Analytic Geometry II,F
6395,770,Financial Accounting,D
3293,770,Management Accounting,C
7792,770,Accounting Issues for Managers,F
4727,770,Accounting Issues for Managers,F
5740,770,Concepts of Biology,C
8884,770,General Botany,F
10529,770,The Unity of Life,C
1196,770,The Unity of Life,B
6456,770,The Unity of Life,C
6395,770,Global Business,C
7437,770,Leadership and Management,B
10047,770,Leadership and Management,B
2680,770,Leadership and Management,B
1579,770,Leadership and Management,B
7927,770,Leadership and Management,F
8334,770,Leadership and Management,B
4020,770,Leadership and Management,C
3092,770,Leadership and Management,B
4135,770,Leadership and Management,B
1078,770,Leadership and Management,B
8670,770,Human Resource Management,B
3293,770,The Legal Environment of Business,B
3293,770,"Management, Gender & Race",A
7437,770,Media Technologies I (Image Manipulation),A
7437,770,Visual Communication,B
6714,770,Audio and Video Systems,A
5611,770,Introductory Chemistry,D
1196,770,General Chemistry I,B
6456,770,General Chemistry I,B
9330,770,General Chemistry I,A
6730,770,Chemistry for Engineers,D
452,770,Chemistry for Engineers,D
2405,770,Chemistry for Engineers,C
7389,770,Chemistry for Engineers,B
2046,770,Chemistry for Engineers,F
8806,770,Chemistry for Engineers,D
6185,770,Introduction to Computer Science,F
7927,770,Introduction to Computer Science,F
8884,770,Introduction to Computer Science,F
9330,770,Introduction to Programming,A
9234,770,Introduction to Programming,C
2346,770,Introduction to Programming,A
8305,770,Introduction to Programming,B
7437,770,Introduction to Programming,A
4135,770,Introduction to Programming,B
1078,770,Introduction to Programming,A
6788,770,Introduction to Programming,B
4020,770,Introduction to Programming,C
9361,770,Introduction to Programming,C
3176,770,Introduction to Programming,C
1579,770,Programming in C++,A
9411,770,Programming in C++,C
6449,770,Programming in C++,B
6395,770,Programming in C++,C
6325,770,Programming in C++,C
8334,770,Programming in C++,C
4712,770,Programming in C++,C
7585,770,Programming in C++,C
7927,770,Programming in C++,F
8884,770,Programming in C++,F
7128,770,Programming in C++,C
1891,770,Programming in C++,C
1455,770,Programming in C++,F
2680,770,Programming in C++,C
7763,770,Programming in C++,B
10420,770,Programming in VB.NET,D
10047,770,Programming in VB.NET,B
2197,770,Programming in VB.NET,B
8670,770,Programming in VB.NET,D
8444,770,Programming in VB.NET,B
4727,770,Programming in VB.NET,F
10047,770,Object-Oriented Programming and Data Structures I,C
4727,770,Object-Oriented Programming and Data Structures I,F
5676,770,Object-Oriented Programming and Data Structures I,D
10518,770,Object-Oriented Programming and Data Structures I,C
8444,770,Object-Oriented Programming and Data Structures I,C
2622,770,Object-Oriented Programming and Data Structures II,C
7792,770,Systems Analysis and Design,C
2197,770,Systems Analysis and Design,B
8670,770,Systems Analysis and Design,D
5740,770,Programming Language Structures,C
2433,770,Data Communications and Computer Networks,D
5447,770,Data Communications and Computer Networks,B
7792,770,Data Communications and Computer Networks,F
3293,770,Data Communications and Computer Networks,A
3293,770,CICS Application Programming,B
284,770,Seminar,F
284,770,Independent Study in Computer Science,F
5447,770,Electrical Engineering Projects and Tools,A
6730,770,Electrical Engineering Projects and Tools,A
7389,770,Electrical Engineering Projects and Tools,C
8318,770,Circuit Modeling I,D
6454,770,Circuit Modeling I,D
2680,770,Circuit Modeling I,F
1579,770,Engineering Success Skills,B
8334,770,Engineering Success Skills,B
7585,770,Engineering Success Skills,C
2680,770,Engineering Success Skills,F
5611,770,Engineering Success Skills,B
6730,770,Engineering Success Skills,B
2405,770,Engineering Success Skills,A
9789,770,Engineering Success Skills,B
3176,770,Engineering Success Skills,F
2046,770,Engineering Success Skills,B
7389,770,Engineering Success Skills,C
3752,770,Engineering Success Skills,B
452,770,Engineering Success Skills,C
3092,770,Engineering Success Skills,A
6454,770,Introduction to Engineering Projects,B
8806,770,Introduction to Engineering Projects,D
5822,770,Engineering Mechanics-Statics,D
5677,770,Elementary Algebra,C
6395,770,Intermediate Algebra,F
4020,770,Intermediate Algebra,F
6788,770,Intermediate Algebra,F
6449,770,Intermediate Algebra,D
7437,770,College Algebra,F
4135,770,College Algebra,F
3176,770,College Algebra,F
7763,770,College Algebra,B
8305,770,College Algebra,B
4712,770,College Algebra,C
1078,770,College Algebra,A
2346,770,College Algebra,C
9411,770,College Algebra,F
6185,770,College Algebra,F
9539,770,Elementary Statistics,B
9361,770,Precalculus,D
9234,770,Precalculus,F
8334,770,Precalculus,D
9789,770,Precalculus,C
10420,770,Precalculus,C
8444,770,Precalculus,C
5611,770,Precalculus,D
1455,770,Precalculus,D
7585,770,Trigonometry and Analytic Geometry,A
3092,770,Trigonometry and Analytic Geometry,C
2405,770,Trigonometry and Analytic Geometry,D
2046,770,Calculus and Analytic Geometry I,D
7128,770,Calculus and Analytic Geometry I,D
1891,770,Calculus and Analytic Geometry I,D
6730,770,Calculus and Analytic Geometry I,F
6325,770,Calculus and Analytic Geometry I,F
3752,770,Calculus and Analytic Geometry I,C
7389,770,Calculus and Analytic Geometry I,D
7927,770,Calculus and Analytic Geometry I,F
8884,770,Calculus and Analytic Geometry I,F
1196,770,Calculus and Analytic Geometry I,B
1579,770,Calculus and Analytic Geometry I,D
6454,770,Calculus and Analytic Geometry I,F
10518,770,Discrete Mathematics,F
2433,770,Discrete Mathematics,D
2622,770,Discrete Mathematics,F
2450,770,Discrete Mathematics,F
10518,770,Calculus and Analytic Geometry II,F
9330,770,Calculus and Analytic Geometry II,C
5822,770,Calculus and Analytic Geometry II,C
2680,770,Calculus and Analytic Geometry II,D
452,770,Calculus and Analytic Geometry II,D
8318,770,Calculus and Analytic Geometry III,D
8045,770,Introductory Physics I Laboratory,F
8045,770,Introductory Physics I,F
5822,770,General Physics I Lab,C
5822,770,General Physics I,C
5447,770,General Physics II,B
3092,770,Object-Oriented Programming and Data Structures I,F
5341,770,Object-Oriented Programming and Data Structures I,C
8318,770,Object-Oriented Programming and Data Structures II,D
2450,770,Object-Oriented Programming and Data Structures II,B
2433,770,Object-Oriented Programming and Data Structures II,C
2622,770,Introduction to Software Engineering,F
5676,770,Introduction to Software Engineering,B
2450,770,Introduction to Software Engineering,C
10518,770,Introduction to Software Engineering,A
2433,770,Object Oriented Analysis and Design,C
5447,770,Object Oriented Analysis and Design,B
8318,770,Object Oriented Analysis and Design,C
6449,770,Art Survey,C
9539,770,Art Survey,B
5677,770,Art Survey,B
6325,770,Native American Art,A
7389,770,Introduction to College Life,C
1455,770,Introduction to College Life,C
8305,770,Introduction to College Life,B
4712,770,Introduction to College Life,A
1891,770,Introduction to College Life,A
6788,770,Introduction to College Life,A
2346,770,Introduction to College Life,A
4135,770,Introduction to College Life,A
5341,770,Principles of Macroeconomics,B
7763,770,Principles of Macroeconomics,B
7128,770,Principles of Macroeconomics,C
9789,770,Principles of Macroeconomics,A
1455,770,Principles of Macroeconomics,F
7585,770,Principles of Microeconomics,B
5676,770,Principles of Microeconomics,B
8806,770,Principles of Microeconomics,A
2197,770,Interpretation of Business and Economic Data,F
7128,770,College Writing I,C
4020,770,College Writing I,C
2046,770,College Writing I,D
9789,770,College Writing I,A
1078,770,College Writing I,B
3092,770,College Writing I,A
452,770,College Writing I,C
2405,770,College Writing I,B
9234,770,College Writing I,C
9268,770,College Writing I,F
7585,770,College Writing I,B
9361,770,College Writing I,C
7389,770,College Writing I,C
9539,770,College Writing I,C
6730,770,College Writing I,C
4712,770,College Writing I,C
2346,770,College Writing I,C
8334,770,College Writing I,B
5677,770,College Writing I,D
1891,770,College Writing I,B
6788,770,College Writing I,C
8305,770,College Writing I,B
3752,770,College Writing I,C
6449,770,College Writing I,C
7927,770,College Writing I,F
8884,770,College Writing I,A
4135,770,College Writing I,B
1455,770,College Writing I,A
6185,770,College Writing I,F
10047,770,College Writing II,B
3176,770,College Writing II,F
6714,770,College Writing II,B
9411,770,Minority Women Writers of the United States,C
8670,770,Technical Writing,B
9361,770,The Native American Experience,A
5822,770,Introduction to Ethnic Studies,A
6456,770,Black Experience in the U. S.,D
4727,770,Planet Earth,F
6456,770,Survey of Cultural Geography,D
4727,770,World Civilization I,F
2405,770,World Civilization I,C
10529,770,World Civilization I,C
5447,770,World Civilization II,A
2433,770,World Civilization II,B
5341,770,World Civilization II,C
8444,770,World Civilization II,D
9268,770,World Civilization II,B
6714,770,World Civilization II,B
6395,770,World Civilization II,C
3752,770,World Civilization II,B
2346,770,World Civilization II,C
5611,770,World Civilization II,C
5677,770,World Civilization II,B
8305,770,History of the United States to 1877,F
5740,770,History of the United States since 1877,C
8045,770,American Colonial History,C
2197,770,Russia to 1856,C
10420,770,Introduction to Japanese I,B
2450,770,Music Appreciation,A
10047,770,Music Appreciation,A
8670,770,Music Appreciation,A
3176,770,Music Appreciation,A
9234,770,Music Appreciation,C
6788,770,Music Appreciation,B
4712,770,Music Appreciation,B
5611,770,Music Appreciation,B
1891,770,Music Appreciation,B
5341,770,University Bands,A
6714,770,Choir,A
9361,770,Choir,B
3092,770,Marching Pioneers,A
5822,770,Marching Pioneers,A
1196,770,First Semester Lessons,A
3092,770,First Semester Lessons,A
5341,770,First Semester Lessons,A
1455,770,Second Semester Lessons,F
9268,770,Introduction to Philosophy,C
7763,770,Introduction to Philosophy,B
2046,770,Introduction to Philosophy,D
8045,770,Ethics,B
5740,770,Fitness Assessment and Management,B
5341,770,Fitness Assessment and Management,A
4712,770,Fitness Assessment and Management,B
452,770,Fitness Assessment and Management,A
2346,770,Fitness Assessment and Management,A
5611,770,Fitness Assessment and Management,A
4020,770,Fitness Assessment and Management,F
7585,770,Fitness Assessment and Management,A
1579,770,Fitness Assessment and Management,A
7128,770,Fitness Assessment and Management,F
9234,770,Fitness Assessment and Management,B
1078,770,Fitness Assessment and Management,A
1891,770,Fitness Assessment and Management,C
6788,770,Fitness Assessment and Management,B
7927,770,Fitness Assessment and Management,F
4135,770,Fitness Assessment and Management,B
