course1,course2,course3
C,C,C
C,F,F
F,C,B-
B,C,F
C,D,D
D,C,C-
C+,C-,C
B,F,A-
C,F,D
C,C,C
D,B,C
F,C,F
C,D,C
C,C,A
B,B,B
F,D,D
B,D,B
B,C,C
C,D,C
A,B,B
A,A,A
B,C,B
B,D,C-
C,C,C
A,A,A
B,A,B
A,A,A
C,C,C
B,B,C
B,F,F
B,A,A
C,B,C
C,D,C
A,B,D
F,C,C
A,A,A
C,C,F
B-,B-,B-
B,C,C+
A,D+,B
B,C-,B
A,A,A
A,C,C
B,C,D
A,A,A
B,C,B
B,F,C
B,C,B+
A,B,B+
F,D,F
B-,C-,C+
B,A-,B-
D,B-,B
C-,C+,C
C+,C,C+
C,C+,C+
B,B+,B+
B-,C+,B-
C-,F,D
B,B,C
A-,A-,B
F,F,C-
C,C,C
B+,B,C+
B,C-,B-
C,C,F
B+,B,C+
F,C-,B
B+,A-,C
C+,B-,C+
B,C+,B
A-,A,B
B+,A,B
B+,A,A
B,F,D
B,B+,B+
C-,D,B
A,A,A
B,B,B
B,C-,C
A,B-,B
C-,C+,D
B,C+,C
D,C,C+
B-,B,C-
B-,B-,A-
C,C+,F
D,C-,C
D,F,A-
B,C+,C
C,D+,B+
B,B,B+
B,C-,C+
A,A,A
D,F,A-
C+,B-,B+
B,B,B-
B+,B-,B-
C,C+,B-
A,A-,B+
C+,B,B
C,C-,C
B-,C-,C
C-,C,C+
F,B,B
C-,F,D
F,B,C
F,C-,B-
B+,C,C
B,C+,B+
D,F,C
C+,F,D
B,B,A-
B-,C,C+
D,F,C+
C,C,F
C+,C,D
C+,B-,F
