Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,$,$,$,$,$,$,$,C-,A-,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,F,$,B-,$,B,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,A-,D,$,$,$,C,$,$,$,$,$,B-,C+,$,$,A,$,B+,$,$,A-,A,$,$,$,$,$,$,$,$,B,B,$,$,C,A,$,B+,$,$,$,$,A-,B-,$,$,$,$,$,$,C,A-,B+,$,$,$,$,$,$,$,$,$,$,B+,B+,A,C-,$,B
$,$,$,$,C+,$,$,$,$,B,A-,$,$,C+,$,$,$,$,$,$,B-,$,$,B,$,$,$,$,$,$,$,$,$,$,C,$,$,$,C+,$,C+,$,B-,$,$,$,$,$,$,A,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,C,C+,C-,$,A,C,B+,B,$,A,$,C,$,A,$,$,$,$,$,$,$,B,C,$,$,B-,$,$,$,$,B+,$,B,B,B,$,$,$,$,C,C,B-,$,$,$,$,$,$,B,$,$,A-,$,$,C,B-,B,B,C,C+,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,$,F,$,$,$,$,$,$,$,A,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,F,$,B,$,C,$,F,$,$,$,$,$,$,$,$,$,$,B+,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,B,C,C,$,B,B,D,C,$,D,$,D,$,A,$,$,$,D,$,$,$,C,C,$,$,B,$,$,$,$,B+,$,B,B,A-,$,$,$,$,C-,C,F,$,$,$,$,$,$,B,$,$,B-,$,$,B-,C+,B,C-,B,B-,$,$,$,$,$,$,$
$,$,$,$,B-,C+,B-,F,$,$,A,B,$,$,C+,D,B,$,C+,$,$,$,$,$,$,$,C+,B+,$,$,B,$,$,$,$,B-,A,B,B-,C+,$,$,$,$,C,B,B-,$,$,$,$,$,$,B,$,$,B+,$,$,C+,C,B,B,C,D+,$,$,$,$,$,$,$
$,$,$,$,B,B,B,C,$,A,B,B,$,$,A-,B,B,$,A,$,$,$,B,$,$,$,B+,B,$,A,B,$,$,$,$,B+,A,B,A,B,$,$,$,$,B,B,B,$,$,$,$,A,$,B,$,$,A,$,$,B,A-,A,A,B+,B,$,$,$,$,$,$,$
$,$,$,$,B,B+,B+,A,$,A,A,A,$,$,A,A,A-,$,A,$,$,$,$,$,$,$,A,A,$,$,A,$,$,$,$,A,$,A-,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A-,A,B+,A-,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C+,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,B+,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$
$,$,$,$,A-,A-,B,C-,$,B+,A-,A,$,$,B,B,B,$,A-,$,$,$,$,$,$,$,B,B-,$,$,A,$,$,$,$,B+,$,B+,B,C,$,$,$,$,B-,A-,A-,$,$,$,$,A-,$,B,$,$,A,$,$,A-,B,B,B,B+,C,$,$,$,$,$,$,$
$,C+,$,$,B,$,$,$,$,$,$,B,C,$,B-,C-,C-,$,A,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,C,$,B+,$,B,$,B-,$,$,$,$,B+,B,B,$,$,$,$,$,$,$,$,A,$,$,$,C-,B-,B,B-,C,C,$,$,$,$,$,$,$
$,$,$,$,$,A,A,$,$,$,A,A,$,$,A,A,A,$,A,$,$,$,$,$,$,$,A,A,$,$,A,$,$,A,$,A,$,A,$,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,A,A,$,$,$,$,$,$,$
$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,C,$,$,$,$,$,$,$,B,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A-,$,$,A,$,$,$,$,$,$,A,$,$,$,C,A-,$,$,$,$,$,$,$,B+,A,$,$,$,$,$,$,$,$,A-,B+,$,A,$,A,$,C,$,$,A,$,B-,$,$,$,A,$,B-,$,B,B,B,$,$,$,$,$,$,$,$,$,$,B+,A-,A,$,$,C
$,$,$,$,B+,A-,C,$,$,C-,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,B,$,$
A-,$,$,$,$,$,$,$,B,$,B-,$,$,A,B,A-,$,$,$,$,A,$,$,B,A-,$,$,$,$,$,$,$,$,A,A-,$,A,$,B,$,C+,$,$,$,$,B,$,$,$,$,$,$,$,B,A,A,$,$,$,$,$,$,$,$,$,$,B,B+,A-,B,$,B
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,C,B,$,C-,C+,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,B,$,$,C+,B,$,$,$,$,$,A,C+,B-,$,$,B,$,$,$,C+,$,$,C,$,$,$,$,$,B-,B+,$,$,$,$,F,$,$,$
$,$,$,$,C,$,$,$,$,A,B,B,C+,C,B+,B+,D,$,$,$,$,$,$,A,$,$,$,$,$,$,B,$,$,$,B+,$,$,B,A,$,$,$,$,$,C+,B,C,$,$,$,$,$,$,B,A,$,C+,$,$,$,$,$,$,B,$,$,$,$,A,$,$,$
B-,$,$,$,F,$,$,$,C,B,B-,$,$,$,C,C,C,$,$,$,B+,$,$,B,$,$,$,$,$,$,$,$,$,C+,B-,$,$,B+,B,$,B-,$,$,$,$,C,C,$,$,B+,$,$,$,D,C+,B-,$,$,A,$,$,$,$,$,$,$,C+,B-,B,D,$,B
$,A,$,$,$,A,A,$,$,$,A,A,$,$,A,A,A,$,$,$,$,$,$,$,$,$,A,$,$,$,$,A,$,$,$,$,$,A,A,$,$,$,$,$,A-,A,A,$,$,$,$,$,$,A,$,A,A,$,$,$,$,$,$,$,A,$,$,$,A,$,$,A
$,$,$,$,D,$,$,$,B-,B,B,C,$,$,C-,A-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B-,$,$,A,B+,A,$,$,$,$,$,B+,C,C,$,$,B+,$,$,$,B,$,$,B-,$,$,$,$,$,B-,$,$,$,$,$,A,C,$,A-
$,$,$,$,C-,$,$,$,$,C-,A,C-,C,$,D+,B,F,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,B,B,$,$,B-,B,$,$,$,$,$,B,C-,B-,$,$,$,$,$,$,C,$,C-,A-,$,$,$,$,$,$,$,$,$,$,$,B,D,$,C+
$,$,$,$,C+,B-,C+,C,$,$,$,B,$,$,C+,A-,C+,$,B+,$,$,$,$,$,$,$,B-,C+,$,$,$,$,$,B+,$,$,$,B-,B,C,$,$,$,$,C,C+,B,$,$,$,$,$,$,B,$,A,A,$,$,$,$,$,$,$,$,$,$,$,A,$,$,A
$,$,$,$,F,$,$,$,$,B+,B-,B,$,$,C,C,C,$,$,$,$,$,$,C+,C+,$,$,$,$,$,B-,$,$,B-,B,$,$,B,C,$,$,$,$,$,C-,B,C+,$,$,$,$,F,$,A,$,B+,B-,$,$,$,$,$,$,$,$,$,$,$,C,$,$,B
$,$,$,$,C+,F,D,$,$,B+,C+,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,C,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,F,C,C+,$,B+,C,B,$,$,B,B,C,$,A,$,$,$,$,$,$,$,C+,B-,$,$,B,$,$,B-,$,$,$,B-,$,A,$,$,$,$,B+,A,A,$,$,$,$,$,$,A,$,$,A-,$,$,A-,B+,B+,B,B+,B,$,$,$,$,D,$,$
$,$,$,$,F,$,$,$,C,B+,A-,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,B,$,B,$,$,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$
$,$,$,$,D,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,D,F,C,$,C,D,C,$,$,C,C-,C,$,A,$,$,$,$,$,$,$,C,C,$,$,$,$,$,$,$,D,$,B-,C,C-,$,$,$,$,F,C-,F,$,$,$,$,$,$,C,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B-,$,$,$,D,$,$,$,$,A,B,$,$,$,C-,B-,$,$,$,$,$,$,$,B-,C-,$,$,$,$,$,$,C,$,$,B-,$,B,$,B,$,D,$,$,$,$,C+,$,C,$,$,$,B,$,C,B-,C+,$,$,$,$,$,$,$,$,$,$,B,C+,A,$,$,B-
$,$,$,$,$,$,$,$,$,B-,B-,$,$,$,$,$,$,$,$,$,$,$,$,C-,F,$,$,$,$,$,$,$,$,$,F,$,B,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,B,C,B,$,$,A,B,B-,$,B,$,C,$,A,$,$,$,$,$,$,$,$,B-,$,$,B,$,$,$,$,A,$,A,A,A-,$,$,$,$,C+,B,A,$,$,$,$,$,$,B,$,$,B,$,$,B,B,B,A,C+,C,$,$,$,$,$,$,$
B+,$,$,$,D,$,$,$,$,$,B,$,$,$,B-,B,B-,$,$,$,B,$,$,B,$,$,$,$,$,$,$,$,$,A-,B,$,A,B-,A,$,B,$,$,$,$,B,B,$,$,B+,$,$,$,B,B+,A-,$,$,$,$,$,$,$,$,$,$,B,B,B,$,$,A-
$,$,$,$,B,$,$,$,D,B,D,B,$,$,B-,C+,D,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,C,B,B,$,$,$,B,$,C,C-,C,$,$,$,$,$,$,F,$,B-,B+,$,$,$,$,$,$,C,$,$,$,$,A,F,$,$
$,$,$,$,F,$,$,$,$,F,D,F,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,C+,C,$,$,$,$,$,C-,B-,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,B,A,$,$,A,B-,$,$,C+,$,B-,$,A,$,$,$,$,$,$,$,A,$,$,$,B+,$,$,$,$,$,$,A-,A,B,$,$,$,$,B,A,B,$,$,$,$,$,$,A,$,$,C+,$,$,$,$,$,C-,B,C+,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,C,$,C,$,$,$,$,$,$,$,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,A-,C-,B,$,$,C,C+,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B,$,$,$,B-,A,$,$,$,$,$,C-,C+,B-,$,$,$,$,B-,$,A,$,B-,B,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,B+
$,$,$,$,A,A,A,$,$,A,A,B,$,$,A,B+,B,$,$,$,$,A-,A,$,$,$,B,B,A-,$,B,$,$,$,$,$,$,A,A,$,$,$,$,$,A,B,A,$,A-,$,$,$,A-,B,$,$,A,A-,$,B+,B,A,A,A-,B,$,$,$,$,$,$,$
$,$,$,$,B,$,$,$,$,$,$,A,$,$,A,B+,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,A,A,$,$,$,$,$,A,A,A,$,$,$,$,$,$,$,A,$,A,$,$,$,$,$,A,A,$,$,$,$,A,$,$,A
$,$,$,$,$,$,$,$,D,D+,C-,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,C,$,$,$,B+,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,$,$,$,C,$,$,B,B,$,$,B,C,A,$,A,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,A,$,B,A,B,$,$,A,$,C,B,C,$,$,$,$,$,$,B,$,$,C,$,$,B+,B,A-,C,B,C,$,$,$,$,$,$,$
B,$,$,$,$,$,$,$,$,B,C,B-,$,$,B-,C-,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,B,$,B+,$,$,$,$,C,$,$,$,$,$,C,$,C,A-,A,$,$,$,$,$,$,$,$,$,$,B,B-,A-,$,$,C+
$,$,$,$,F,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,B,B,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,C,$,$,$,$,$,$,F,$,$,$,$,$,F,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,C,$,$,B,A,B,$,$,B,B+,D,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,B,B,$,$,$,$,$,C-,B,D,$,$,$,$,$,$,$,$,B+,C-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,B
