Course1,Course2,Course6,Event Probability
A,A,A,0.6266
A,A,A-,0.0586
A,A,B+,0.0545
A,A,B,0.1341
A,A,B-,0.0924
A,A,C+,0.0308
A,A,C,0.0018
A,A,C-,0.0004
A,A,D+,0.0007
A,A,D,0
A,A,D-,0
A,A,F,0.0001
A,A-,A,0.9226
A,A-,A-,0.0037
A,A-,B+,0.0276
A,A-,B,0
A,A-,B-,0.0346
A,A-,C+,0.0042
A,A-,C,0.0039
A,A-,C-,0.002
A,A-,D+,0.0011
A,A-,D,0
A,A-,D-,0.0002
A,A-,F,0.0001
A,B+,A,0.9378
A,B+,A-,0.0068
A,B+,B+,0.0226
A,B+,B,0.0263
A,B+,B-,0.0033
A,B+,C+,0.0012
A,B+,C,0.0001
A,B+,C-,0.0004
A,B+,D+,0.0013
A,B+,D,0.0001
A,B+,D-,0.0001
A,B+,F,0
A,B,A,0.193
A,B,A-,0.3955
A,B,B+,0.0228
A,B,B,0.2929
A,B,B-,0.0109
A,B,C+,0.0056
A,B,C,0.0425
A,B,C-,0.0272
A,B,D+,0.0077
A,B,D,0.0017
A,B,D-,0.0001
A,B,F,0.0001
A,B-,A,0.615
A,B-,A-,0.0928
A,B-,B+,0.2318
A,B-,B,0.0195
A,B-,B-,0.0059
A,B-,C+,0.0184
A,B-,C,0.0149
A,B-,C-,0.0009
A,B-,D+,0.0006
A,B-,D,0.0001
A,B-,D-,0
A,B-,F,0.0001
A,C+,A,0.8943
A,C+,A-,0.0498
A,C+,B+,0.0449
A,C+,B,0.0085
A,C+,B-,0.0022
A,C+,C+,0.0002
A,C+,C,0.0001
A,C+,C-,0
A,C+,D+,0
A,C+,D,0
A,C+,D-,0
A,C+,F,0
A,C,A,0.5055
A,C,A-,0.0714
A,C,B+,0.0231
A,C,B,0.2617
A,C,B-,0.0714
A,C,C+,0.0063
A,C,C,0.0379
A,C,C-,0.02
A,C,D+,0.002
A,C,D,0
A,C,D-,0.0001
A,C,F,0.0006
A,C-,A,0.3935
A,C-,A-,0.0362
A,C-,B+,0.3658
A,C-,B,0.0348
A,C-,B-,0.1036
A,C-,C+,0.0254
A,C-,C,0.0276
A,C-,C-,0.0085
A,C-,D+,0.0036
A,C-,D,0.0004
A,C-,D-,0.0005
A,C-,F,0.0001
A,D+,A,0.4185
A,D+,A-,0.2284
A,D+,B+,0.24
A,D+,B,0.0964
A,D+,B-,0.0039
A,D+,C+,0.0059
A,D+,C,0.0058
A,D+,C-,0.0004
A,D+,D+,0.0003
A,D+,D,0
A,D+,D-,0.0004
A,D+,F,0
A,D,A,0.1746
A,D,A-,0.3534
A,D,B+,0.0904
A,D,B,0.2996
A,D,B-,0.0719
A,D,C+,0.0035
A,D,C,0.0045
A,D,C-,0.0014
A,D,D+,0.0006
A,D,D,0
A,D,D-,0.0001
A,D,F,0
A,D-,A,0.6899
A,D-,A-,0.0457
A,D-,B+,0.1357
A,D-,B,0.1116
A,D-,B-,0.0115
A,D-,C+,0.0053
A,D-,C,0.0002
A,D-,C-,0
A,D-,D+,0.0001
A,D-,D,0
A,D-,D-,0
A,D-,F,0
A,F,A,0.8256
A,F,A-,0.0802
A,F,B+,0.0876
A,F,B,0.0052
A,F,B-,0.0008
A,F,C+,0.0003
A,F,C,0.0003
A,F,C-,0
A,F,D+,0
A,F,D,0
A,F,D-,0
A,F,F,0
A-,A,A,0.5484
A-,A,A-,0.3623
A-,A,B+,0.0131
A-,A,B,0.0514
A-,A,B-,0.0109
A-,A,C+,0.0023
A-,A,C,0.0084
A-,A,C-,0.0016
A-,A,D+,0.0002
A-,A,D,0.0008
A-,A,D-,0.0006
A-,A,F,0
A-,A-,A,0.7182
A-,A-,A-,0.2519
A-,A-,B+,0.0047
A-,A-,B,0.0133
A-,A-,B-,0.0035
A-,A-,C+,0.0035
A-,A-,C,0.0045
A-,A-,C-,0.0001
A-,A-,D+,0
A-,A-,D,0.0003
A-,A-,D-,0
A-,A-,F,0
A-,B+,A,0.8946
A-,B+,A-,0.0485
A-,B+,B+,0.0336
A-,B+,B,0.0088
A-,B+,B-,0.0051
A-,B+,C+,0
A-,B+,C,0.0033
A-,B+,C-,0.0019
