Course1,Course2,Course3,Course4,Course5,Course6,Event Probability
A,A,A,A,A,A,0.2288133504
A,A,A,A,A,A-,0.1158139532
A,A,A,A,A-,B+,0.3093946012
A,A,A,A,A-,B,0.2852224289
A,A,A,A-,B+,B-,0.1758947274
A,A,A,A-,B+,C+,0.1530701052
A,A,A,A-,B,C,0.04181484133
A,A,A,A-,B,C-,0.6032260611
A,A,A-,B+,B-,D+,0.9905292199
A,A,A-,B+,B-,D,0.9770466409
A,A,A-,B+,C+,D-,0.522326245
A,A,A-,B+,C+,F,0.02136646594
A,A,A-,B,C,A,0.7685035222
A,A,A-,B,C,A-,0.3799765011
A,A,A-,B,C-,B+,0.6929351993
A,A,A-,B,C-,B,0.04160721101
A,A-,B+,B-,D+,B-,0.4727787494
A,A-,B+,B-,D+,C+,0.03909057996
A,A-,B+,B-,D,C,0.8649529698
A,A-,B+,B-,D,C-,0.5721867565
A,A-,B+,C+,D-,D+,0.7324844401
A,A-,B+,C+,D-,D,0.02337866807
A,A-,B+,C+,F,D-,0.9242019639
A,A-,B+,C+,F,F,0.9902385756
A,A-,B,C,A,A,0.4125970332
A,A-,B,C,A,A-,0.1738559132
A,A-,B,C,A-,B+,0.428625862
A,A-,B,C,A-,B,0.4600118679
A,A-,B,C-,B+,B-,0.3600945701
A,A-,B,C-,B+,C+,0.7936446345
A,A-,B,C-,B,C,0.3639587645
A,A-,B,C-,B,C-,0.9786478673
A-,B+,B-,D+,B-,D+,0.08491932359
A-,B+,B-,D+,B-,D,0.6007829918
A-,B+,B-,D+,C+,D-,0.0662729905
A-,B+,B-,D+,C+,F,0.1536921131
A-,B+,B-,D,C,A,0.5178685474
A-,B+,B-,D,C,A-,0.6945233997
A-,B+,B-,D,C-,B+,0.09463930758
A-,B+,B-,D,C-,B,0.03000045409
A-,B+,C+,D-,D+,B-,0.4025727116
A-,B+,C+,D-,D+,C+,0.3649850384
A-,B+,C+,D-,D,C,0.6427971563
A-,B+,C+,D-,D,C-,0.3784226899
A-,B+,C+,F,D-,D+,0.3250099714
A-,B+,C+,F,D-,D,0.9363768338
A-,B+,C+,F,F,D-,0.415646662
A-,B+,C+,F,F,F,0.7346246383
A-,B,C,A,A,A,0.8615439114
A-,B,C,A,A,A-,0.4756081766
A-,B,C,A,A-,B+,0.7645384412
A-,B,C,A,A-,B,0.1336354183
A-,B,C,A-,B+,B-,0.8352619194
A-,B,C,A-,B+,C+,0.1209568866
A-,B,C,A-,B,C,0.274750719
A-,B,C,A-,B,C-,0.9241841402
A-,B,C-,B+,B-,D+,0.2104290203
A-,B,C-,B+,B-,D,0.9895649775
A-,B,C-,B+,C+,D-,0.9292081153
A-,B,C-,B+,C+,F,0.2666158235
A-,B,C-,B,C,A,0.7261626506
A-,B,C-,B,C,A-,0.1078845296
A-,B,C-,B,C-,B+,0.4344099301
A-,B,C-,B,C-,B,0.9191537385
B+,B-,D+,B-,D+,B-,0.9729716709
B+,B-,D+,B-,D+,C+,0.5757978184
B+,B-,D+,B-,D,C,0.2876998676
B+,B-,D+,B-,D,C-,0.6995014385
B+,B-,D+,C+,D-,D+,0.2495927578
B+,B-,D+,C+,D-,D,0.2229866208
B+,B-,D+,C+,F,D-,0.6894236853
