Course1,Course2,Course6
C-,C-,C-
D-,D-,F
D+,F,F
D-,F,F
C,C+,D-
C-,D-,F
D,D-,D-
B-,C-,B-
F,D,D-
B,D+,D-
F,F,F
D+,C+,C+
C+,B+,B-
F,F,D+
D,F,F
B,B,B
C+,C+,B
F,D+,D+
B+,A,A
C,B,A-
A,A,A
F,F,F
B+,D+,F
B-,B-,B
B+,B+,B+
C-,D+,D
B+,B,A-
A,C,B-
C,F,F
D+,C,B
C+,C-,C-
C+,B,C+
B,B+,C-
D+,C-,C+
C,C,C
B,C,C-
D+,F,D-
C+,C,B-
A-,A,A
B-,D-,D
A-,B,A-
B,B+,B+
B+,A,B
B,A-,A
C,C,B-
B+,B+,B-
A,A,A
A,A,A
C-,C+,B-
D+,C,C+
B,A-,B
D+,C+,C+
C+,B,B-
A,C,C
A,B,B
B,C-,C+
D,F,D+
C-,F,D
D,C-,C
B,B-,C
D+,F,F
D+,D+,D+
C,C,C
F,D+,C-
A,B+,B-
D+,C-,D+
C,B,B
D,D,D
D-,F,F
F,D+,F
C,B-,C+
C+,B-,B
B+,C+,B
D+,D-,F
D,D,D+
D-,F,D
B,B,B
D-,F,F
B+,B-,C+
D,D,F
A,B,B
A,A,A
B-,B,B+
C+,B+,C-
D,F,D-
C+,F,F
B,A,A
D,D+,D+
D+,D-,D
B+,A,C+
C,C,D
B-,D-,F
D+,C-,C+
D,F,D+
C+,C+,D-
C+,C+,B+
B-,B+,A-
B-,C+,C
A-,A-,A
A,A,A
D+,F,F
B+,B+,A
B,C-,C-
C-,D-,D-
F,D+,D-
D+,D,D-
A,A,B+
D+,F,D
C-,C,F
F,D,F
D,D-,F
F,D+,F
B,D+,C
C,C,B
C-,C,C
C+,C+,B
D,D+,D+
D,C,C
D,C-,B-
D,F,D-
B-,A-,B+
C,C+,C
F,D+,F
D-,D,C-
C,F,F
A,A,C
B,C+,C
F,F,F
D,D+,F
C,D+,D-
C-,C,B-
B+,C+,C
D+,C+,C-
D,F,F
B-,C,D+
B-,C+,B-
C+,B-,B-
B,C,C
A,A,A
C,C,B-
C,D,D
A-,B+,A
B+,A,A
D,C-,B-
B,D,F
C+,B,D
B-,C+,B+
C,C-,D
B-,B+,B-
B+,B-,C-
C+,D+,D
C-,C,C
C,C,C
C-,D+,F
A,A,A
B,B,A
D-,D,D
B,C,C+
B-,B+,A
B+,B-,B
B,B+,A-
A,C,B-
A,A,B+
A-,A-,B-
B-,D,F
B+,A,B
D+,D+,D
A,C,D+
C,C,D+
A-,A,A-
D,C-,F
A,A,A
D-,C-,C-
A,A-,A-
D-,F,F
B+,C+,C+
A-,B-,B-
D+,C+,F
F,F,F
D-,D,D
D-,F,F
B-,B+,A-
C-,C-,D-
A,B,B
A-,A,A
A-,B-,B+
C+,B+,B+
B-,A-,A-
F,F,D
D,D,C
F,D,D+
B,B-,B-
F,F,F
B,B,C
D,D+,F
A-,A-,A-
