0,1,target,probability
0,0,0,2.99934010888403e-10
0,0,1,2.99934010888403e-10
0,0,2,1.4996700544420154e-09
0,0,3,1.4997400390445556e-05
0,0,4,5.9989501583778585e-05
0,0,5,1.9996700483933455e-05
0,0,6,0.9998400257962604
0,0,7,1.9996300571918937e-05
0,0,8,4.499160130331489e-05
0,0,9,2.99934010888403e-10
0,0,10,2.99934010888403e-10
0,1,0,2.999340108884031e-10
0,1,1,2.999340108884031e-10
0,1,2,1.4996700544420156e-09
0,1,3,1.9996300571918943e-05
0,1,4,5.998950158377861e-05
0,1,5,1.999670048393346e-05
0,1,6,0.9998400257962606
0,1,7,1.9996300571918943e-05
0,1,8,3.999270112184152e-05
0,1,9,2.999340108884031e-10
0,1,10,2.999340108884031e-10
0,2,0,2.726972760269098e-06
0,2,1,2.726972760269098e-06
0,2,2,1.3634863801345492e-05
0,2,3,0.09090545494541054
0,2,4,0.2727218187817522
0,2,5,0.09090909090909091
0,2,6,0.2727218187817522
0,2,7,0.09090545494541057
0,2,8,0.18181181888174122
0,2,9,2.726972760269098e-06
0,2,10,2.726972760269098e-06
0,3,0,2.999340108884031e-10
0,3,1,2.999340108884031e-10
0,3,2,1.4996700544420156e-09
0,3,3,1.9996300571918943e-05
0,3,4,5.998950158377861e-05
0,3,5,1.999670048393346e-05
0,3,6,0.9998400257962606
0,3,7,1.9996300571918943e-05
0,3,8,3.999270112184152e-05
0,3,9,2.999340108884031e-10
0,3,10,2.999340108884031e-10
0,4,0,2.999340108884031e-10
0,4,1,8.334499642564524e-07
0,4,2,9.99930003300121e-06
0,4,3,1.7496850481182248e-05
0,4,4,0.16668749610060585
0,4,5,0.24996500577415318
0,4,6,0.4999491744988919
0,4,7,1.8330000511427813e-05
0,4,8,0.08334916367546649
0,4,9,8.334499642564524e-07
0,4,10,1.6665999945020163e-06
0,5,0,2.99934010888403e-10
0,5,1,2.99934010888403e-10
0,5,2,1.9997100395947976e-05
0,5,3,1.999630057191894e-05
0,5,4,5.99895015837786e-05
0,5,5,0.9998000329951606
0,5,6,5.99895015837786e-05
0,5,7,1.999630057191894e-05
0,5,8,1.9997100395947976e-05
0,5,9,2.99934010888403e-10
0,5,10,2.99934010888403e-10
0,6,0,2.999340108884031e-10
0,6,1,2.999340108884031e-10
0,6,2,9.99930003300121e-06
0,6,3,1.4997400390445558e-05
0,6,4,4.4992801039358446e-05
0,6,5,0.49991001484782227
0,6,6,5.99895015837786e-05
0,6,7,1.999630057191894e-05
0,6,8,0.49992501194827876
0,6,9,4.9992001154842725e-06
0,6,10,9.998100296957656e-06
0,7,0,6.251624566950613e-07
0,7,1,6.251624566950613e-07
0,7,2,9.374437510317035e-06
0,7,3,1.4997400390445556e-05
0,7,4,0.18751124795656351
0,7,5,0.18747875350573584
0,7,6,0.31249000111862485
0,7,7,0.06250437398142115
0,7,8,0.24998250232470026
0,7,9,3.124612547431753e-06
0,7,10,4.374337592800099e-06
0,8,0,2.999340108884031e-10
0,8,1,2.999340108884031e-10
0,8,2,5.000399851527828e-06
0,8,3,1.2497950299708866e-05
0,8,4,5.249115131156852e-05
0,8,5,0.24996500577415323
0,8,6,0.49995000764892206
0,8,7,1.999630057191894e-05
0,8,8,0.24998750122488184
0,8,9,2.49975002474758e-06
0,8,10,4.9992001154842725e-06
0,9,0,2.999340108884031e-10
0,9,1,2.999340108884031e-10
0,9,2,1.4996700544420156e-09
0,9,3,9.998500208972174e-06
0,9,4,4.999170122083184e-05
0,9,5,1.9996700483933458e-05
0,9,6,0.33332000159980935
0,9,7,0.3332800083987975
0,9,8,0.3333100025997103
0,9,9,6.6655001759754e-06
0,9,10,3.332900054993144e-06
0,10,0,2.99934010888403e-10
0,10,1,2.99934010888403e-10
0,10,2,1.4996700544420154e-09
0,10,3,9.998500208972172e-06
0,10,4,5.99895015837786e-05
0,10,5,1.9996700483933458e-05
0,10,6,0.9998400257962604
0,10,7,1.999630057191894e-05
0,10,8,4.9990501484788274e-05
0,10,9,2.99934010888403e-10
0,10,10,2.99934010888403e-10
1,0,0,2.99934010888403e-10
1,0,1,2.99934010888403e-10
1,0,2,1.599798025076927e-05
1,0,3,1.099828024526685e-05
1,0,4,0.20001599676051912
1,0,5,0.2999540075888869
1,0,6,0.2999940003899867
1,0,7,0.19997200443936206
1,0,8,3.6993361012957474e-05
1,0,9,2.99934010888403e-10
1,0,10,2.99934010888403e-10
1,1,0,2.99934010888403e-10
1,1,1,2.99934010888403e-10
1,1,2,1.599798025076927e-05
1,1,3,1.5997180426740235e-05
1,1,4,0.39997200401945443
1,1,5,0.1999760039594193
1,1,6,0.39997200401945443
1,1,7,1.5997180426740235e-05
1,1,8,3.199446083148409e-05
1,1,9,2.99934010888403e-10
1,1,10,2.99934010888403e-10
1,2,0,2.726972760269098e-06
1,2,1,2.726972760269098e-06
1,2,2,0.14545218207815325
1,2,3,0.05454581814182259
1,2,4,0.27272181878175217
1,2,5,0.09090909090909091
1,2,6,0.2727218187817522
1,2,7,0.05454581814182259
1,2,8,0.10909254527456527
1,2,9,2.726972760269098e-06
1,2,10,2.726972760269098e-06
1,3,0,2.99934010888403e-10
1,3,1,2.99934010888403e-10
1,3,2,1.599798025076927e-05
1,3,3,1.5997180426740235e-05
1,3,4,0.39997200401945443
1,3,5,0.1999760039594193
1,3,6,0.39997200401945443
1,3,7,1.5997180426740235e-05
1,3,8,3.199446083148409e-05
1,3,9,2.99934010888403e-10
1,3,10,2.99934010888403e-10
1,4,0,2.99934010888403e-10
1,4,1,8.334499642564522e-07
1,4,2,0.03335199699043627
1,4,3,0.050002499545069835
1,4,4,0.33331750214971856
1,4,5,0.1666500027495967
1,4,6,0.29999316723995656
1,4,7,0.08332933390492263
1,4,8,0.03335216362044231
1,4,9,8.334499642564522e-07
1,4,10,1.666599994502016e-06
1,5,0,2.99934010888403e-10
1,5,1,2.99934010888403e-10
1,5,2,3.599358097666281e-05
1,5,3,1.5997180426740235e-05
1,5,4,0.5999280112783898
1,5,5,1.9996700483933458e-05
1,5,6,0.3999720040194545
1,5,7,1.5997180426740235e-05
1,5,8,1.1998860105590563e-05
1,5,9,2.99934010888403e-10
1,5,10,2.99934010888403e-10
1,6,0,2.99934010888403e-10
1,6,1,2.99934010888403e-10
1,6,2,2.5995780613716036e-05
1,6,3,1.099828024526685e-05
1,6,4,0.29997900368944236
1,6,5,1.9996700483933455e-05
1,6,6,0.3999720040194544
1,6,7,0.09999400080989437
1,6,8,0.19998300281958536
1,6,9,4.999200115484271e-06
1,6,10,9.998100296957652e-06
1,7,0,6.251624566950613e-07
1,7,1,6.251624566950613e-07
1,7,2,0.037517122279141404
1,7,3,0.050000000094979104
1,7,4,0.2125057488639304
1,7,5,0.14998700214468547
1,7,6,0.31249000111862485
1,7,7,0.1124893766760098
1,7,8,0.12500199954757532
1,7,9,3.124612547431753e-06
1,7,10,4.374337592800099e-06
1,8,0,2.99934010888403e-10
1,8,1,2.99934010888403e-10
1,8,2,2.0996880432242655e-05
1,8,3,8.498830154530158e-06
1,8,4,0.15001949659551309
1,8,5,0.19997600395941928
1,8,6,0.2999940003899867
1,8,7,0.24996100625409592
1,8,8,0.10001249754038984
1,8,9,2.4997500247475796e-06
1,8,10,4.999200115484271e-06
1,9,0,2.99934010888403e-10
1,9,1,2.99934010888403e-10
1,9,2,1.599798025076927e-05
1,9,3,5.9993800637934665e-06
1,9,4,4.999170122083183e-05
1,9,5,0.1333240015397742
