0,1,target,probability
0,0,0,4.999200115484271e-06
0,0,1,4.999200115484271e-06
0,0,2,1.499820021447459e-05
0,0,3,9.998500208972172e-06
0,0,4,0.49995000764892206
0,0,5,1.9996700483933455e-05
0,0,6,0.4999400098485592
0,0,7,1.4997400390445556e-05
0,0,8,3.9992701121841505e-05
0,0,9,2.99934010888403e-10
0,0,10,2.99934010888403e-10
0,1,0,2.99934010888403e-10
0,1,1,2.99934010888403e-10
0,1,2,1.4996700544420154e-09
0,1,3,6.998460254062738e-10
0,1,4,5.99895015837786e-05
0,1,5,1.9996700483933458e-05
0,1,6,5.99895015837786e-05
0,1,7,0.9998000325952486
0,1,8,5.9988301847735035e-05
0,1,9,2.99934010888403e-10
0,1,10,2.99934010888403e-10
0,2,0,2.726972760269098e-06
0,2,1,2.726972760269098e-06
0,2,2,1.3634863801345492e-05
0,2,3,6.362936440627896e-06
0,2,4,0.2727218187817522
0,2,5,0.09090909090909091
0,2,6,0.2727218187817522
0,2,7,0.09090545494541057
0,2,8,0.27271091089071114
0,2,9,2.726972760269098e-06
0,2,10,2.726972760269098e-06
0,3,0,2.9993401088840293e-10
0,3,1,2.9993401088840293e-10
0,3,2,2.9994900758894737e-05
0,3,3,9.998500208972172e-06
0,3,4,5.9989501583778585e-05
0,3,5,0.9998000329951604
0,3,6,5.9989501583778585e-05
0,3,7,9.998500208972172e-06
0,3,8,2.9994900758894737e-05
0,3,9,2.9993401088840293e-10
0,3,10,2.9993401088840293e-10
0,4,0,2.99934010888403e-10
0,4,1,2.99934010888403e-10
0,4,2,3.000839778938471e-06
0,4,3,3.999819991204113e-06
0,4,4,5.699016147489456e-05
0,4,5,1.9996700483933458e-05
0,4,6,0.39997200401945443
0,4,7,0.4999100144479102
0,4,8,0.10003099347106131
0,4,9,1.0000799703055652e-06
0,4,10,1.9998600066002415e-06
0,5,0,9.998100296957654e-06
0,5,1,9.998100296957654e-06
0,5,2,2.9994900758894737e-05
0,5,3,9.998500208972172e-06
0,5,4,0.9998400257962604
0,5,5,1.9996700483933455e-05
0,5,6,3.999390085788506e-05
0,5,7,9.998500208972174e-06
0,5,8,2.9994900758894744e-05
0,5,9,2.99934010888403e-10
