Introduction to Programming,Programming in C++,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II
,4,9,6
,7,4,6
,7,4,0
10,7,7,6
10,7,7,7
,10,10,10
,7,9,9
,,7,7
,10,10,10
,5,5,6
,7,7,4
,1,4,4
,10,10,10
10,7,4,4
,4,3,6
,7,5,7
,10,7,5
,10,10,10
,4,3,0
,7,7,10
10,7,7,7
4,0,3,4
,10,10,7
,10,5,6
,7,7,10
,,10,10
,7,7,4
,,7,1
,7,7,7
10,7,7,5
,10,,4
,7,4,5
,,10,7
,7,4,0
10,6,6,0
,,6,2
10,10,7,7
,10,10,10
,10,5,1
10,7,4,2
,7,4,4
,4,3,5
10,10,10,10
,0,3,0
,0,0,0
,,6,5
,10,4,0
,,9,7
,10,7,7
,7,4,4
,,5,3
,7,6,6
,7,4,4
,7,7,6
10,9,7,7
,,10,10
,0,7,0
,7,10,10
10,8,4,6
,8,4,6
10,4,4,7
,4,0,0
,4,7,7
,10,10,10
,7,7,3
,,7,7
,4,6,3
,7,10,9
10,7,8,4
,10,7,4
9,7,4,7
,10,7,7
,7,8,0
,,10,10
7,1,0,1
,1,3,6
,10,9,8
,1,6,4
,7,9,10
,7,9,7
,7,7,4
,,7,7
,9,,6
,10,7,0
,7,4,4
7,7,5,3
,7,10,4
,7,10,7
,0,4,4
,10,9,7
,0,7,10
,,10,10
,10,8,7
,7,8,7
,10,7,0
,,0,0
,10,10,10
,7,7,8
,10,10,10
4,1,8,4
,4,4,1
,10,9,4
,8,4,6
,4,9,7
,6,4,7
,9,6,5
,,10,10
,7,7,7
10,9,7,6
,10,10,10
,10,10,8
,7,7,3
,4,4,5
,7,10,9
,10,10,10
,7,9,8
,7,7,10
,10,7,0
10,10,4,4
,5,5,6
,7,4,6
,,10,7
,0,7,5
,9,7,0
,4,7,1
,,7,5
,10,10,10
,4,5,4
8,7,6,4
,10,7,7
,,4,4
7,4,8,7
,4,9,5
,10,7,5
,7,7,9
7,7,7,6
,7,7,7
,7,4,0
,4,4,0
,0,4,0
,4,7,1
,6,6,5
,4,7,2
,,7,4
,1,7,7
10,10,9,0
7,4,7,5
,8,3,3
,10,7,7
,4,3,5
,7,7,4
,7,7,9
,10,10,7
,8,8,7
,7,5,0
,7,7,6
,7,7,7
,4,5,1
,10,10,9
7,7,4,4
,7,9,7
,4,4,4
,7,7,4
,5,7,9
4,4,6,3
10,4,5,5
,9,5,7
,7,1,6
,10,10,10
,7,10,4
10,4,7,3
,,8,3
,7,4,6
,,10,4
,6,7,10
,10,7,8
,7,9,7
,,10,10
,10,9,9
,1,4,0
,7,5,7
,7,7,7
,6,4,3
,1,2,3
,10,3,6
,4,1,3
,,9,7
,4,4,4
,7,7,4
,7,7,4
,10,6,7
,10,9,7
,10,7,5
10,7,4,0
,10,8,9
10,4,0,4
,7,10,10
,,7,9
,10,10,7
,7,7,0
,7,1,6
,7,4,6
,9,6,7
,4,0,3
,7,4,4
,4,7,0
,7,8,7
9,4,4,4
,7,4,4
,0,0,0
,10,10,10
,,7,6
,,9,5
,0,5,1
,7,9,9
,7,5,5
,4,7,3
4,7,7,5
,7,7,4
,10,10,8
,4,7,0
,,9,7
,,7,6
,8,4,5
,7,7,7
10,7,8,9
,,10,10
10,10,9,8
,10,7,8
,10,10,10
10,10,7,7
,4,3,5
,4,7,3
10,7,9,6
10,0,6,6
,10,6,6
,7,4,3
,10,7,0
,0,4,2
,9,10,10
,10,10,10
10,8,6,6
8,7,8,7
9,4,5,5
10,7,5,0
,4,4,0
,7,7,0
,4,4,1
,4,4,4
,10,9,10
,10,9,10
,10,7,9
,7,4,0
,10,7,8
,4,6,4
,5,4,3
,,7,7
,10,9,7
,4,7,7
,10,4,4
,10,7,4
10,4,8,7
,10,10,10
,,10,10
,4,6,4
,4,7,7
,,8,9
10,4,7,7
,,10,7
,4,3,0
,9,7,9
,4,0,0
,7,9,8
,7,3,7
,10,10,9
,7,7,7
,9,9,10
,10,10,10
7,7,7,4
4,4,7,3
10,1,8,6
,4,3,7
10,7,10,7
,0,7,4
,10,7,7
4,7,10,0
,10,10,8
,10,10,10
,7,4,6
,9,7,10
10,10,10,10
10,7,6,7
,4,8,4
,10,5,4
8,3,7,4
,7,4,6
,4,4,0
,10,10,6
,4,0,5
,,10,7
,10,9,7
9,4,4,1
,10,10,8
,3,4,6
,7,7,5
,7,7,5
,10,3,7
,7,6,7
,,10,10
10,7,4,0
,7,4,4
,4,5,3
,10,10,0
,10,10,10
,7,10,9
,7,8,7
,7,5,5
