class_1,class_2,pval,rho,n
3D Industrial Production Drafting,AC/DC Fundamentals,0.666666667,-0.5,3
3D Industrial Production Drafting,College Writing I,0.666666667,-0.5,3
3D Industrial Production Drafting,College Writing II,1,0,3
3D Industrial Production Drafting,Elementary Statistics,0.333333333,-0.866025404,3
3D Industrial Production Drafting,Engineering Success Skills,1,0,3
3D Industrial Production Drafting,Fitness Assessment and Management,0,1,3
3D Industrial Production Drafting,Introduction to Engineering Projects,0.333333333,0.866025404,3
3D Industrial Production Drafting,Introduction to Manufacturing,0.666666667,-0.5,3
3D Industrial Production Drafting,Introduction to Metals Processes,0.666666667,-0.5,3
3D Industrial Production Drafting,Introduction to Plastics Processing,0.666666667,-0.5,3
3D Industrial Production Drafting,Leadership and Management,0.666666667,0.5,3
3D Industrial Production Drafting,"Management, Gender & Race",0.333333333,-0.866025404,3
3D Industrial Production Drafting,Music Appreciation,0.666666667,-0.5,3
3D Industrial Production Drafting,Power Systems Technology,0.666666667,-0.5,3
3D Industrial Production Drafting,Principles of Safety and Risk Management,0.333333333,0.866025404,3
3D Industrial Production Drafting,Production Planning and Control,0.666666667,-0.5,3
3D Industrial Production Drafting,Programming in C++,0.333333333,-0.866025404,3
3D Industrial Production Drafting,Work Measurement and Human Factors,1,0,3
3D Industrial Production Drafting,World Civilization II,0,-1,3
Abnormal Psychology,Art Survey,0.666666667,-0.5,3
Abnormal Psychology,Calculus and Analytic Geometry I,1,0,5
Abnormal Psychology,College Writing I,0.478587528,-0.363636364,6
Abnormal Psychology,College Writing II,0.428187763,-0.403029968,6
Abnormal Psychology,Computer Architecture/Operating Systems,0.639941616,0.286769667,5
Abnormal Psychology,Data Communications and Computer Networks,0.453549347,-0.444261658,5
Abnormal Psychology,Database Design and Implementation,0.028008456,-0.917662935,5
Abnormal Psychology,Discrete Mathematics,0.367544468,-0.632455532,4
Abnormal Psychology,Fitness Assessment and Management,0.545372464,-0.313339781,6
Abnormal Psychology,General Psychology,0.287864135,0.522232968,6
Abnormal Psychology,Intermediate Software Engineering,0.666666667,0.5,3
Abnormal Psychology,Introduction to Experimental Psychology,0.666666667,-0.5,3
Abnormal Psychology,Introduction to Philosophy,0,1,3
Abnormal Psychology,Introduction to Software Engineering,0.812140928,0.148087219,5
Abnormal Psychology,Leadership and Management,0.253757542,0.630893268,5
Abnormal Psychology,"Management, Gender & Race",0.789181489,0.210818511,4
Abnormal Psychology,Music Appreciation,0.333333333,0.866025404,3
Abnormal Psychology,Object Oriented Analysis and Design,0.8,0.2,4
Abnormal Psychology,Object-Oriented Programming and Data Structures I,0.285498972,-0.524404424,6
Abnormal Psychology,Object-Oriented Programming and Data Structures II,0.794362788,0.162221421,5
Abnormal Psychology,Oral Communication for Professionals,0.058207291,-0.865180913,5
Abnormal Psychology,Principles of Microeconomics,0.00481823,-0.974679434,5
Abnormal Psychology,Programming in C++,0.561875101,-0.351479746,5
Abnormal Psychology,Programming in COBOL,0.333333333,0.866025404,3
Abnormal Psychology,Programming Language Structures,0.051316702,0.948683298,4
Abnormal Psychology,Survey of General Chemistry,1,0,3
Abnormal Psychology,Technical Writing,0.236153677,-0.648885685,5
Abnormal Psychology,World Civilization I,0.367544468,0.632455532,4
Abnormal Psychology,World Civilization II,0.051316702,-0.948683298,4
AC/DC Fundamentals,Art Survey,0,1,3
AC/DC Fundamentals,Calculus and Analytic Geometry I,0.685037642,0.25,5
AC/DC Fundamentals,College Algebra,0.269434487,-0.485459773,7
AC/DC Fundamentals,College Writing I,0.049357555,0.667757775,9
AC/DC Fundamentals,College Writing II,0.064945849,0.603064425,10
AC/DC Fundamentals,Digital Electronics,0.008084776,0.846157039,8
AC/DC Fundamentals,Elementary German,0.333333333,0.866025404,3
AC/DC Fundamentals,Elementary Statistics,0.034744071,0.702735695,9
AC/DC Fundamentals,Engineering Success Skills,0.10748429,0.611111111,8
AC/DC Fundamentals,Fitness Assessment and Management,0.573149976,-0.203331427,10
AC/DC Fundamentals,Fluid Power and Servo Systems,0.559404344,-0.353553391,5
AC/DC Fundamentals,General Psychology,0.974277734,0.017149859,6
AC/DC Fundamentals,Global Business,0.666666667,-0.5,3
AC/DC Fundamentals,Industrial Control Systems,0.510140203,-0.395284708,5
AC/DC Fundamentals,Industrial Robotics,0.490113147,-0.412478956,5
AC/DC Fundamentals,Intermediate Algebra,1,0,3
AC/DC Fundamentals,Introduction to Engineering Projects,1,0,3
AC/DC Fundamentals,Introduction to Manufacturing,0.288097877,0.429617291,8
AC/DC Fundamentals,Introduction to Metals Processes,0.783643379,0.116438356,8
AC/DC Fundamentals,Introduction to Plastics Processing,0.691631285,0.184782609,7
AC/DC Fundamentals,Introduction to Programming,0.111367155,-0.790569415,5
AC/DC Fundamentals,Introduction to Sociology,0.333333333,0.866025404,3
AC/DC Fundamentals,Leadership and Management,0.333434349,0.365474769,9
AC/DC Fundamentals,Machining and CNC Programming,0.455668946,-0.544331054,4
AC/DC Fundamentals,"Management, Gender & Race",0.04012438,0.83165549,6
AC/DC Fundamentals,Microcomputer Applications,0.333333333,0.866025404,3
AC/DC Fundamentals,Music Appreciation,0.112442982,0.712039325,6
AC/DC Fundamentals,Object-Oriented Programming and Data Structures I,0.284737448,0.525105032,6
AC/DC Fundamentals,Oral Communication for Professionals,0.076875037,0.656730881,8
AC/DC Fundamentals,Power Systems Technology,0.14904875,0.522423808,9
AC/DC Fundamentals,Principles of Macroeconomics,1,0,4
AC/DC Fundamentals,Principles of Microeconomics,0.507541702,0.303921569,7
AC/DC Fundamentals,Principles of Physics,0.5,0.5,4
AC/DC Fundamentals,Principles of Safety and Risk Management,0.052134725,-0.702246883,8
AC/DC Fundamentals,Production Planning and Control,0.286336254,0.523634938,6
AC/DC Fundamentals,Programming in C++,0.62615481,0.189051296,9
AC/DC Fundamentals,Quality Assurance,0.410303636,-0.417365006,6
AC/DC Fundamentals,"Science, Technology, and Ethics",0.666666667,0.5,3
AC/DC Fundamentals,Semiconductors,0.480170582,0.322748612,7
AC/DC Fundamentals,Survey of General Chemistry,0.551785507,0.3086067,6
AC/DC Fundamentals,Technical Drafting,0.184291246,0.625305399,6
AC/DC Fundamentals,Technical Writing,0.666666667,0.5,3
AC/DC Fundamentals,Training and Supervision,0.376369717,-0.398138786,7
AC/DC Fundamentals,Trigonometry and Analytic Geometry,0.391002219,0.5,5
AC/DC Fundamentals,Work Measurement and Human Factors,0.002917058,0.92418682,7
AC/DC Fundamentals,World Civilization I,0.74180111,0.25819889,4
AC/DC Fundamentals,World Civilization II,0.393081558,0.351589969,8
Accounting Information Systems,Advanced Accounting I,1,0,6
Accounting Information Systems,Advanced Cost Accounting,0.390685185,0.433333333,6
Accounting Information Systems,Advanced Taxation,0.559404344,-0.353553391,5
Accounting Information Systems,Auditing I,0.017516193,0.889898417,6
Accounting Information Systems,Business Communication,0.041783556,0.892217816,5
Accounting Information Systems,Calculus and Analytic Geometry I,0.028513958,-0.916666667,5
Accounting Information Systems,College Algebra,0,-1,3
Accounting Information Systems,College Writing I,0.301864239,-0.583333333,5
Accounting Information Systems,College Writing II,0.339077069,0.476731295,6
Accounting Information Systems,Concepts of Biology,0.105572809,-0.894427191,4
Accounting Information Systems,Corporate Finance,0.799476918,-0.118957738,7
Accounting Information Systems,Cost Accounting,0.530091619,0.288675135,7
Accounting Information Systems,Elementary Statistics,0.453549347,-0.444261658,5
Accounting Information Systems,Engineering Success Skills,0.166666667,-0.833333333,4
Accounting Information Systems,Federal Income Tax,0.288660467,0.429166254,8
Accounting Information Systems,Financial Accounting,0.191630222,-0.559430928,7
Accounting Information Systems,Financial Systems Analysis,0.333333333,-0.866025404,3
Accounting Information Systems,Fitness Assessment and Management,1,0,7
Accounting Information Systems,General Psychology,1,0,5
Accounting Information Systems,Global Business,0.97321793,0.014285714,8
Accounting Information Systems,Human Resource Management,0.133236775,0.578237016,8
Accounting Information Systems,Intermediate Accounting I,0.568571257,0.239045722,8
Accounting Information Systems,Intermediate Accounting II,0.927012284,-0.043033148,7
Accounting Information Systems,Introduction to Engineering Projects,0.333333333,-0.866025404,3
Accounting Information Systems,Introduction to Marketing,0.666459382,-0.181858206,8
Accounting Information Systems,Introduction to Philosophy,0.282631457,-0.527046277,6
Accounting Information Systems,Introduction to Programming,0.76429774,0.23570226,4
Accounting Information Systems,Introduction to Software Engineering,0.666666667,-0.5,3
Accounting Information Systems,Leadership and Management,0.871022874,0.069006556,8
Accounting Information Systems,Management Accounting,0.729079867,-0.161690417,7
Accounting Information Systems,"Management, Gender & Race",0.333333333,0.866025404,3
Accounting Information Systems,Managerial Law,1,0,5
Accounting Information Systems,Microcomputer Applications,0.479260857,-0.323380833,7
Accounting Information Systems,Music Appreciation,0.83739852,0.096225045,7
Accounting Information Systems,Object-Oriented Programming and Data Structures I,0.333333333,0.866025404,3
Accounting Information Systems,Oral Communication for Professionals,0.241981531,-0.565685425,6
Accounting Information Systems,Planet Earth,0.333333333,-0.866025404,3
Accounting Information Systems,Principles of Macroeconomics,0.516348929,-0.297939786,7
Accounting Information Systems,Principles of Microeconomics,0.097143305,0.673575314,7
Accounting Information Systems,Programming in C++,0.266045113,-0.447650968,8
Accounting Information Systems,Programming in COBOL,0,1,4
Accounting Information Systems,Programming in VB.NET,1,0,3
Accounting Information Systems,Strategic Management,0.83739852,-0.096225045,7
Accounting Information Systems,Supply Chain Management,1,0,3
Accounting Information Systems,Technical Writing,0,1,3
Accounting Information Systems,The Legal Environment of Business,0.729079867,0.161690417,7
Accounting Information Systems,Trigonometry and Analytic Geometry,0.111111111,-0.888888889,4
Accounting Information Systems,World Civilization I,0,-1,3
Accounting Information Systems,World Civilization II,0.812140928,0.148087219,5
Accounting Issues for Managers,Advertising,0.511214636,-0.338822607,6
Accounting Issues for Managers,Applications in Information Systems,0.122893214,0.338874586,22
Accounting Issues for Managers,Art Survey,0.352527302,-0.268924606,14
Accounting Issues for Managers,Business Analytics,0.225403331,0.774596669,4
Accounting Issues for Managers,Business Calculus,0.971857823,-0.012867125,10
Accounting Issues for Managers,Business Communication,0.12545665,0.549420926,9
Accounting Issues for Managers,Calculus and Analytic Geometry I,0.364683406,0.24290227,16
Accounting Issues for Managers,Calculus and Analytic Geometry II,0.666666667,-0.5,3
Accounting Issues for Managers,Chemistry for Engineers,0.269991353,-0.538815906,6
Accounting Issues for Managers,CICS Application Programming,0.692630128,0.167010154,8
Accounting Issues for Managers,College Algebra,0.336631211,0.248272781,17
Accounting Issues for Managers,College Writing I,0.659344945,-0.090735222,26
Accounting Issues for Managers,College Writing II,0.140231923,0.280693269,29
Accounting Issues for Managers,Communication & Leadership in Small Groups,0.666666667,-0.5,3
Accounting Issues for Managers,Compensation Management,0,1,3
Accounting Issues for Managers,Computer Architecture/Operating Systems,0.244712844,0.298380832,17
Accounting Issues for Managers,Concepts of Biology,0.211800119,0.408882969,11
Accounting Issues for Managers,Corporate Finance,0.018512866,0.385332093,37
Accounting Issues for Managers,Data Communications and Computer Networks,0.012864464,0.532930108,21
Accounting Issues for Managers,Database Design and Implementation,0.354202977,0.197795761,24
Accounting Issues for Managers,E-Commerce and E-Marketing in Today's World,0.005207859,-0.973328527,5
Accounting Issues for Managers,Electrical Engineering Projects and Tools,0,1,3
Accounting Issues for Managers,Elementary German,0.666666667,0.5,3
Accounting Issues for Managers,Elementary Spanish,0.113594111,0.564144944,9
Accounting Issues for Managers,Elementary Statistics,0.049107586,0.382242574,27
Accounting Issues for Managers,Engineering Success Skills,0.731982392,0.10068874,14
Accounting Issues for Managers,Federal Income Tax,0.727834473,-0.272165527,4
Accounting Issues for Managers,Financial Accounting,0.092100517,0.28493922,36
Accounting Issues for Managers,Finite Mathematics with Applications,0.53871234,0.208342265,11
Accounting Issues for Managers,First Semester Lessons,0.333333333,0.866025404,3
Accounting Issues for Managers,Fitness Assessment and Management,0.918914563,0.017586207,36
Accounting Issues for Managers,General Psychology,0.015458848,0.593071279,16
Accounting Issues for Managers,Global Business,0.000502416,0.525175512,40
Accounting Issues for Managers,History of the United States since 1877,0,-1,3
Accounting Issues for Managers,History of the United States to 1877,0.5,0.5,4
Accounting Issues for Managers,Human Resource Management,0.769355476,0.051396731,35
Accounting Issues for Managers,Intermediate Accounting I,0.183503419,0.816496581,4
Accounting Issues for Managers,Intermediate Algebra,0.39628715,-0.428746463,6
Accounting Issues for Managers,International Marketing,0.333333333,0.866025404,3
Accounting Issues for Managers,International Relations,0.666666667,-0.5,3
Accounting Issues for Managers,Interpretation of Business and Economic Data,0.229001349,0.343629697,14
Accounting Issues for Managers,Introduction to American Government,0.198892188,0.688247202,5
Accounting Issues for Managers,Introduction to Criminal Justice,0.727834473,-0.272165527,4
Accounting Issues for Managers,Introduction to Engineering Projects,0.106818377,-0.512704736,11
Accounting Issues for Managers,Introduction to Ethnic Studies,0.469901863,-0.37032804,6
Accounting Issues for Managers,Introduction to Marketing,0.178350385,0.229399786,36
Accounting Issues for Managers,Introduction to Mass Media,0.333333333,0.866025404,3
Accounting Issues for Managers,Introduction to Philosophy,0.749983327,0.072056548,22
Accounting Issues for Managers,Introduction to Programming,0.471639657,0.157953831,23
Accounting Issues for Managers,Introduction to Sociology,0.6,-0.4,4
Accounting Issues for Managers,Introduction to Software Engineering,0.799800666,0.157894737,5
Accounting Issues for Managers,Introductory Astronomy Lab,0.727834473,-0.272165527,4
Accounting Issues for Managers,Introductory Astronomy:Stars and Galaxies,0.894590745,0.105409255,4
Accounting Issues for Managers,Introductory Chemistry,0.051316702,0.948683298,4
Accounting Issues for Managers,Leadership and Management,0.008330637,0.411546472,40
Accounting Issues for Managers,Management Accounting,0.00583789,0.423184011,41
Accounting Issues for Managers,"Management, Gender & Race",0.826907026,-0.043278626,28
Accounting Issues for Managers,Marketing Management,0.804828817,0.153896753,5
Accounting Issues for Managers,Marketing Research,1,0,4
Accounting Issues for Managers,Mathematics of Finance,0.701286739,0.236842105,5
Accounting Issues for Managers,Microcomputer Applications,0.7330249,0.092604476,16
Accounting Issues for Managers,Minority Women Writers of the United States,0.333333333,0.866025404,3
Accounting Issues for Managers,Music Appreciation,0.293245567,0.228995693,23
Accounting Issues for Managers,Object-Oriented Programming and Data Structures I,0.044814489,0.389170404,27
Accounting Issues for Managers,Object-Oriented Programming and Data Structures II,0.570650255,-0.261785157,7
Accounting Issues for Managers,Operations Management,0.447161177,0.27196525,10
Accounting Issues for Managers,Oral Communication for Professionals,0.10708188,0.305472909,29
Accounting Issues for Managers,Organizational Behavior,0.465642425,-0.279946255,9
Accounting Issues for Managers,Personal Conditioning,0.367544468,0.632455532,4
Accounting Issues for Managers,Personal Financial Planning,0.311398858,0.500979433,6
Accounting Issues for Managers,Physical Science,0.570656465,-0.344123601,5
Accounting Issues for Managers,Planet Earth,0.014156412,0.450637085,29
Accounting Issues for Managers,Precalculus,0.271528721,0.537373291,6
Accounting Issues for Managers,Principles of Macroeconomics,0.272309127,0.190773106,35
Accounting Issues for Managers,Principles of Microeconomics,0.124549641,0.264581033,35
Accounting Issues for Managers,Production Planning and Control,0.666666667,0.5,3
Accounting Issues for Managers,Programming in C++,0.263694695,0.188566608,37
Accounting Issues for Managers,Programming in COBOL,0.007776449,0.492368152,28
