student_id,term_number,course_name,grade
10132,740,Financial Accounting,B
9535,740,"World Population, Food and Resources",B
4990,740,General Botany,B
2425,740,Global Business,A
2197,740,Global Business,A
1884,740,Global Business,B
5633,740,Global Business,C
4930,740,Leadership and Management,A
5447,740,Leadership and Management,C
5851,740,Leadership and Management,C
2754,740,Leadership and Management,F
7638,740,Leadership and Management,A
9878,740,Leadership and Management,A
2450,740,Leadership and Management,B
5365,740,Leadership and Management,C
702,740,Leadership and Management,C
6727,740,Leadership and Management,C
375,740,Leadership and Management,C
1665,740,Leadership and Management,C
864,740,Leadership and Management,A
8222,740,Leadership and Management,A
8058,740,Leadership and Management,A
5341,740,Leadership and Management,B
7763,740,Leadership and Management,C
8724,740,Leadership and Management,A
305,740,Leadership and Management,B
3044,740,Introduction to Mass Media,A
3718,740,Introduction to Mass Media,C
9535,740,Introduction to Mass Media,A
2552,740,Introductory Chemistry,B
10518,740,Introductory Chemistry,C
5472,740,Introductory Chemistry,B
2432,740,Introductory Chemistry,F
6325,740,Introductory Chemistry,C
8806,740,Introductory Chemistry,C
4182,740,General Chemistry I,B
4990,740,General Chemistry II,B
2614,740,Chemistry for Engineers,D
1921,740,Chemistry for Engineers,F
1762,740,Chemistry for Engineers,C
6454,740,Chemistry for Engineers,C
9843,740,Chemistry for Engineers,C
8978,740,Chemistry for Engineers,F
7469,740,Chemistry for Engineers,C
1603,740,Chemistry for Engineers,C
6235,740,Chemistry for Engineers,D
4498,740,Chemistry for Engineers,C
7391,740,Chemistry for Engineers,F
5405,740,Chemistry for Engineers,C
2257,740,Chemistry for Engineers,D
816,740,Elements of Surveying,F
3124,740,Introduction to Computer Science,F
1672,740,Introduction to Programming,A
6237,740,Introduction to Programming,B
5633,740,Introduction to Programming,B
6021,740,Introduction to Programming,A
702,740,Introduction to Programming,B
7373,740,Introduction to Programming,B
5822,740,Introduction to Programming,A
5341,740,Introduction to Programming,B
128,740,Introduction to Programming,A
10518,740,Introduction to Programming,A
7849,740,Programming in C++,B
8058,740,Programming in C++,B
8434,740,Programming in C++,B
4930,740,Programming in C++,C
1445,740,Programming in C++,A
5851,740,Programming in C++,B
4310,740,Programming in C++,A
1665,740,Programming in C++,D
7763,740,Programming in C++,F
7677,740,Programming in C++,A
10577,740,Programming in C++,B
2450,740,Programming in C++,A
5163,740,Programming in C++,A
7449,740,Programming in C++,B
2754,740,Programming in C++,D
7638,740,Programming in C++,D
1884,740,Programming in C++,A
9878,740,Programming in C++,A
8685,740,Programming in C++,A
8724,740,Programming in C++,B
5365,740,Programming in C++,B
9698,740,Programming in C++,A
305,740,Programming in C++,C
7391,740,Programming in C++,D
375,740,Programming in C++,C
8318,740,Programming in C++,C
2433,740,Programming in C++,A
3823,740,Programming in C++,B
1559,740,Programming in C++,A
8822,740,Programming in C++,B
6369,740,Programming in C++,C
9964,740,Programming in C++,B
5170,740,Programming in C++,A
9509,740,Programming in C++,C
3124,740,Programming in VB.NET,F
2425,740,Programming in VB.NET,A
2425,740,Object-Oriented Programming and Data Structures I,B
6727,740,Object-Oriented Programming and Data Structures I,B
556,740,Object-Oriented Programming and Data Structures I,B
1489,740,Object-Oriented Programming and Data Structures II,F
3576,740,Data Communications and Computer Networks,B
9990,740,Data Communications and Computer Networks,F
3718,740,Data Communications and Computer Networks,C
8222,740,Data Communications and Computer Networks,B
4680,740,Data Communications and Computer Networks,A
2614,740,Circuit Modeling I,C
128,740,Circuit Modeling I,C
1213,740,Circuit Modeling I,B
4930,740,Circuit Modeling I,C
1079,740,Circuit Modeling I,B
556,740,Circuit Modeling I,C
5447,740,Circuit Modeling I,C
9990,740,Circuit Modeling I,F
9042,740,Circuit Modeling I,A
5851,740,Circuit Modeling I,C
4680,740,Logic and Digital Design,A
8822,740,Engineering Success Skills,B
5405,740,Engineering Success Skills,C
8978,740,Engineering Success Skills,F
7638,740,Engineering Success Skills,A
3044,740,Engineering Success Skills,B
7763,740,Engineering Success Skills,F
5170,740,Engineering Success Skills,B
4498,740,Engineering Success Skills,B
5341,740,College Writing I,B
9878,740,Engineering Success Skills,B
5365,740,College Writing I,C
1445,740,Engineering Success Skills,A
