,Unnamed: 0,student_id,semester,year,grade,term_number
0,221,7677,fall,740.0,A,0
1,222,1921,fall,740.0,F,0
2,223,5822,fall,740.0,C,0
3,224,4990,fall,740.0,D,0
4,225,556,fall,740.0,B,0
5,226,2782,fall,740.0,F,0
6,227,1603,fall,740.0,D,0
7,228,10518,fall,740.0,F,0
8,229,6727,fall,740.0,C,0
9,230,2754,fall,740.0,F,0
10,231,816,fall,740.0,F,0
11,232,2450,fall,740.0,C,0
12,233,2257,fall,740.0,C,0
13,234,6235,fall,740.0,F,0
14,235,7391,fall,740.0,D,0
15,236,8222,fall,740.0,C,0
16,237,8434,fall,740.0,A,0
17,238,8058,fall,740.0,C,0
18,239,7469,fall,740.0,C,0
19,240,1559,fall,740.0,A,0
20,241,7568,fall,740.0,F,0
21,242,3718,fall,740.0,D,0
22,243,9964,fall,740.0,F,0
23,1068,2046,fall,770.0,D,0
24,1069,6235,fall,770.0,B,0
25,1070,5365,fall,770.0,C,0
26,1071,6943,fall,770.0,D,0
27,1072,7128,fall,770.0,D,0
28,1073,1891,fall,770.0,D,0
29,1074,1665,fall,770.0,D,0
30,1075,6730,fall,770.0,F,0
31,1076,101,fall,770.0,B,0
32,1077,6325,fall,770.0,F,0
33,1078,1921,fall,770.0,D,0
34,1079,2552,fall,770.0,C,0
35,1080,725,fall,770.0,D,0
36,1081,3752,fall,770.0,C,0
37,1082,2782,fall,770.0,B,0
38,1083,7389,fall,770.0,D,0
39,1084,6197,fall,770.0,D,0
40,1085,7927,fall,770.0,F,0
41,1086,8884,fall,770.0,F,0
42,1087,1196,fall,770.0,B,0
43,1088,1633,fall,770.0,B,0
44,1089,1579,fall,770.0,D,0
45,1090,6454,fall,770.0,F,0
46,1682,68,fall,770.0,D,0
47,1845,3823,fall,770.0,B,0
48,1846,1836,fall,770.0,C,0
49,1847,5405,fall,770.0,B,0
50,1848,2823,fall,770.0,F,0
51,1849,700,fall,770.0,F,0
52,1850,9778,fall,770.0,F,0
53,1851,2694,fall,770.0,B,0
54,1852,836,fall,770.0,D,0
55,1853,661,fall,770.0,C,0
56,1854,2797,fall,770.0,B,0
57,1855,9698,fall,770.0,B,0
58,1856,542,fall,770.0,C,0
59,1857,2802,fall,770.0,F,0
60,1858,4318,fall,770.0,F,0
61,1859,8966,fall,770.0,B,0
62,1860,5370,fall,770.0,F,0
63,1861,2816,fall,770.0,C,0
64,2554,7142,spring,,C,0
65,2555,1603,spring,,B,0
66,2556,6943,spring,,F,0
67,2557,5262,spring,,D,0
68,2558,6235,spring,,D,0
69,2559,7778,spring,,F,0
70,2560,8724,spring,,C,0
71,2561,2552,spring,,F,0
72,2562,2680,spring,,C,0
73,2563,7638,spring,,D,0
74,2564,6454,spring,,D,0
75,2565,5106,spring,,C,0
76,2566,4717,spring,,C,0
77,2567,6197,spring,,F,0
78,2568,7288,spring,,D,0
79,2569,5365,spring,,D,0
80,2570,6325,spring,,F,0
81,2571,2425,spring,,A,0
82,2572,1679,spring,,F,0
83,2573,10518,spring,,C,0
84,2574,3718,spring,,C,0
85,2575,2622,spring,,C,0
86,2576,5341,spring,,C,0
87,2577,2782,spring,,D,0
88,3138,4990,spring,,B,0
89,3139,7849,spring,,B,0
90,3141,9878,spring,,C,0
91,3142,9964,spring,,C,0
92,3331,537,summer,760.0,F,0
93,3968,812,fall,800.0,D,0
94,3969,2405,fall,800.0,F,0
95,3970,9401,fall,800.0,A,0
96,3971,10105,fall,800.0,F,0
97,3972,2046,fall,800.0,D,0
98,3973,1235,fall,800.0,F,0
99,3974,160,fall,800.0,F,0
100,3975,5154,fall,800.0,B,0
101,3976,7389,fall,800.0,F,0
102,3977,8334,fall,800.0,F,0
103,3978,2346,fall,800.0,F,0
104,3979,8308,fall,800.0,F,0
105,3980,2828,fall,800.0,A,0
106,3981,6325,fall,800.0,F,0
107,3982,3274,fall,800.0,C,0
108,3983,298,fall,800.0,F,0
109,3984,5568,fall,800.0,B,0
110,3985,1455,fall,800.0,F,0
111,3986,1078,fall,800.0,C,0
112,3987,3714,fall,800.0,D,0
113,3988,2743,fall,800.0,B,0
114,3989,8444,fall,800.0,C,0
115,3990,9361,fall,800.0,D,0
116,3991,3912,fall,800.0,B,0
117,3992,5969,fall,800.0,D,0
118,3993,1579,fall,800.0,B,0
119,3994,875,fall,800.0,F,0
120,3995,10420,fall,800.0,F,0
121,3996,8633,fall,800.0,C,0
122,3997,9234,fall,800.0,D,0
123,3998,291,fall,800.0,C,0
124,4637,4045,fall,800.0,F,0
125,4638,7798,fall,800.0,B,0
126,4851,153,fall,800.0,B,0
127,4852,1614,fall,800.0,C,0
128,4854,721,fall,800.0,C,0
129,4855,713,fall,800.0,C,0
130,4856,8771,fall,800.0,B,0
131,4857,5435,fall,800.0,C,0
132,4858,5685,fall,800.0,C,0
133,4860,3157,fall,800.0,B,0
134,4861,8818,fall,800.0,B,0
135,4863,9342,fall,800.0,D,0
136,4864,700,fall,800.0,F,0
137,5705,9710,spring,,B,0
138,5706,3092,spring,,C,0
139,5707,2046,spring,,F,0
140,5708,1351,spring,,F,0
141,5709,7389,spring,,F,0
142,5710,1579,spring,,D,0
143,5711,812,spring,,D,0
144,5712,10420,spring,,F,0
145,5713,9789,spring,,C,0
146,5714,6456,spring,,F,0
147,5715,4624,spring,,F,0
148,5716,6730,spring,,C,0
149,5717,7240,spring,,B,0
150,5718,7585,spring,,B,0
151,5719,3921,spring,,C,0
152,5720,8322,spring,,B,0
153,5721,6943,spring,,C,0
154,5722,6051,spring,,A,0
155,5723,8444,spring,,F,0
156,5724,9268,spring,,F,0
157,5725,1533,spring,,C,0
158,5726,1313,spring,,A,0
159,5727,8169,spring,,C,0
160,5728,6197,spring,,B,0
161,5729,6964,spring,,B,0
162,5730,6454,spring,,C,0
163,6242,68,spring,,C,0
164,6395,721,spring,,F,0
165,6396,2823,spring,,F,0
166,6397,4318,spring,,F,0
167,6398,7158,spring,,C,0
168,6400,702,spring,,F,0
