,student_id,semester,year,grade,term_number
258,10577,fall,2007,B,740
259,8318,fall,2007,F,740
260,2614,fall,2007,F,740
261,1213,fall,2007,B,740
262,5170,fall,2007,A,740
263,5447,fall,2007,C,740
264,1358,fall,2007,C,740
265,8685,fall,2007,C,740
266,9843,fall,2007,F,740
267,5947,fall,2007,C,740
268,9535,fall,2007,C,740
269,3044,fall,2007,B,740
270,10132,fall,2007,C,740
271,1762,fall,2007,C,740
272,1445,fall,2007,B,740
273,1884,fall,2007,A,740
274,8822,fall,2007,C,740
275,849,fall,2007,D,740
276,4498,fall,2007,C,740
277,5780,fall,2007,C,740
278,2433,fall,2007,C,740
279,6239,fall,2007,C,740
281,4930,fall,2007,B,740
1108,7142,fall,2008,D,770
1109,10518,fall,2008,F,770
1110,4717,fall,2008,C,770
1111,9330,fall,2008,C,770
1112,9843,fall,2008,F,770
1113,5822,fall,2008,C,770
1114,3718,fall,2008,F,770
1115,128,fall,2008,F,770
1116,556,fall,2008,C,770
1117,1602,fall,2008,D,770
1118,2680,fall,2008,D,770
1119,1874,fall,2008,C,770
1120,8724,fall,2008,F,770
1121,452,fall,2008,D,770
1872,7295,fall,2008,F,770
1873,3947,fall,2008,A,770
1874,9964,fall,2008,F,770
1875,2257,fall,2008,F,770
1876,6301,fall,2008,B,770
1877,6369,fall,2008,C,770
1878,6727,fall,2008,B,770
1879,9309,fall,2008,B,770
1881,8700,fall,2008,D,770
2592,3461,spring,2008,B,750
2593,4117,spring,2008,D,750
2594,1304,spring,2008,D,750
2595,3816,spring,2008,C,750
2596,5822,spring,2008,F,750
2597,8857,spring,2008,B,750
2598,4788,spring,2008,B,750
2599,556,spring,2008,D,750
2600,1874,spring,2008,D,750
2601,4104,spring,2008,C,750
2602,2614,spring,2008,F,750
2603,8318,spring,2008,B,750
2604,2450,spring,2008,C,750
2605,128,spring,2008,F,750
2606,9843,spring,2008,D,750
3147,2257,spring,2008,F,750
3148,7677,spring,2008,B,750
3149,6301,spring,2008,F,750
3150,8058,spring,2008,C,750
3153,8222,spring,2008,C,750
3346,7449,summer,2008,F,760
4006,9710,fall,2009,C,800
4007,1533,fall,2009,F,800
4008,9789,fall,2009,F,800
4009,7585,fall,2009,F,800
4010,7240,fall,2009,C,800
4011,6051,fall,2009,C,800
4012,10518,fall,2009,F,800
4013,5142,fall,2009,C,800
4014,3092,fall,2009,D,800
4015,5365,fall,2009,D,800
4016,1326,fall,2009,F,800
4017,1313,fall,2009,C,800
4018,6730,fall,2009,F,800
4019,8322,fall,2009,B,800
4020,6130,fall,2009,F,800
4021,3752,fall,2009,C,800
4022,10368,fall,2009,D,800
4023,8098,fall,2009,B,800
4639,68,fall,2009,B,800
4640,10649,fall,2009,B,800
4875,1904,fall,2009,D,800
4876,5405,fall,2009,B,800
4877,2797,fall,2009,C,800
4878,2158,fall,2009,F,800
4879,1836,fall,2009,C,800
4880,4990,fall,2009,B,800
4881,5370,fall,2009,D,800
4882,9964,fall,2009,C,800
4883,7158,fall,2009,D,800
5744,1602,spring,2009,D,780
5745,452,spring,2009,C,780
5746,5365,spring,2009,F,780
5747,8724,spring,2009,C,780
5748,10518,spring,2009,F,780
5749,1196,spring,2009,C,780
5750,7142,spring,2009,B,780
5751,2680,spring,2009,F,780
6415,5472,spring,2009,B,780
6416,8700,spring,2009,C,780
6417,3823,spring,2009,C,780
6418,1836,spring,2009,F,780
6419,2694,spring,2009,C,780
6420,2797,spring,2009,D,780
6421,9698,spring,2009,B,780
6422,9878,spring,2009,B,780
6423,542,spring,2009,B,780
6424,5405,spring,2009,D,780
6425,7295,spring,2009,C,780
6426,2816,spring,2009,D,780
6662,2680,summer,2009,B,790
6663,101,summer,2009,B,790
6664,1489,summer,2009,B,790
7336,3605,fall,2010,C,830
7337,1051,fall,2010,F,830
7338,330,fall,2010,A,830
7339,9843,fall,2010,A,830
7340,5054,fall,2010,F,830
7341,2676,fall,2010,C,830
7342,9352,fall,2010,F,830
7343,8167,fall,2010,C,830
7344,9789,fall,2010,C,830
7345,1109,fall,2010,B,830
8055,4045,fall,2010,C,830
8056,5077,fall,2010,D,830
8057,8661,fall,2010,B,830
8058,5299,fall,2010,B,830
8059,6823,fall,2010,B,830
8060,7270,fall,2010,C,830
8061,1775,fall,2010,C,830
8301,5469,fall,2010,C,830
8302,6676,fall,2010,B,830
8303,713,fall,2010,C,830
8304,3052,fall,2010,D,830
8305,5370,fall,2010,B,830
8306,6496,fall,2010,F,830
8307,1904,fall,2010,B,830
9163,2828,spring,2010,B,810
9164,6130,spring,2010,C,810
9165,3912,spring,2010,C,810
9166,2743,spring,2010,B,810
9167,9789,spring,2010,D,810
9168,7585,spring,2010,C,810
9169,6730,spring,2010,F,810
9170,452,spring,2010,C,810
9171,1579,spring,2010,F,810
9172,5154,spring,2010,F,810
9173,10368,spring,2010,D,810
9174,1326,spring,2010,F,810
9383,5154,spring,2010,F,810
9722,4992,spring,2010,C,810
9723,7798,spring,2010,C,810
9922,619,spring,2010,A,810
9923,153,spring,2010,B,810
9924,1614,spring,2010,C,810
9925,3157,spring,2010,A,810
9926,713,spring,2010,D,810
9927,5435,spring,2010,C,810
9928,5685,spring,2010,C,810
9930,5370,spring,2010,D,810
9932,3075,spring,2010,F,810
9933,515,spring,2010,B,810
10242,9170,summer,2010,A,820
10243,7158,summer,2010,C,820
10944,5918,fall,2011,B,860
10945,2545,fall,2011,C,860
10946,7948,fall,2011,F,860
10947,8014,fall,2011,D,860
10948,5843,fall,2011,C,860
10949,10673,fall,2011,F,860
10950,7411,fall,2011,D+,860
10951,1183,fall,2011,D,860
10952,7292,fall,2011,C,860
10953,2780,fall,2011,C,860
10954,7441,fall,2011,D,860
10955,9954,fall,2011,F,860
10956,780,fall,2011,B-,860
11657,2966,fall,2011,B+,860
11658,7563,fall,2011,C-,860
11659,9931,fall,2011,A-,860
11660,7883,fall,2011,D+,860
11661,3334,fall,2011,C-,860
11662,9097,fall,2011,B,860
11663,5987,fall,2011,F,860
11664,1999,fall,2011,B+,860
12019,2130,fall,2011,C,860
12020,4112,fall,2011,F,860
12021,2750,fall,2011,F,860
12022,3075,fall,2011,F,860
12023,5977,fall,2011,F,860
12870,3229,spring,2011,A,840
12871,9401,spring,2011,A,840
12872,3714,spring,2011,C,840
12873,8964,spring,2011,B,840
12874,7389,spring,2011,C,840
12875,7411,spring,2011,F,840
12876,7441,spring,2011,D,840
12877,4779,spring,2011,C,840
12878,3856,spring,2011,F,840
12879,1183,spring,2011,F,840
12880,3092,spring,2011,C,840
12881,2780,spring,2011,F,840
13460,9959,spring,2011,C,840
13461,9358,spring,2011,C,840
13462,4641,spring,2011,C,840
13463,1103,spring,2011,A,840
13464,3908,spring,2011,A,840
13465,6464,spring,2011,C,840
13466,8442,spring,2011,C,840
13467,5077,spring,2011,B,840
13698,4757,spring,2011,C,840
13699,3052,spring,2011,B,840
13700,5977,spring,2011,F,840
13701,236,spring,2011,F,840
13702,2567,spring,2011,B,840
13703,4112,spring,2011,F,840
13704,6940,spring,2011,C,840
14776,9475,fall,2012,D,890
14777,9548,fall,2012,F,890
14778,9564,fall,2012,F,890
14779,6198,fall,2012,F,890
14780,4675,fall,2012,D,890
14781,7987,fall,2012,F,890
