,classA1,classA2,classA3,classB,student_id
0,C,x,x,D,7142.0
1,F,C,x,F,10518.0
2,C,x,x,C,4717.0
3,C,x,x,C,5822.0
4,D,C,x,F,3718.0
5,B,x,x,C,556.0
6,C,x,x,D,2680.0
7,C,x,x,F,8724.0
8,F,C,x,F,9964.0
9,C,x,x,F,2257.0
10,C,x,x,B,6727.0
11,C,x,x,C,2450.0
12,A,x,x,B,7677.0
13,C,x,x,C,8058.0
14,C,x,x,C,8222.0
15,B,x,x,C,9710.0
16,C,x,x,F,1533.0
17,C,x,x,F,9789.0
18,B,x,x,F,7585.0
19,B,x,x,C,7240.0
20,A,x,x,C,6051.0
21,C,x,x,D,3092.0
22,C,D,x,D,5365.0
23,A,x,x,C,1313.0
24,F,C,x,F,6730.0
25,B,x,x,B,8322.0
26,C,x,x,C,3752.0
27,D,C,x,B,68.0
28,C,x,x,D,1904.0
29,B,x,x,B,5405.0
30,B,x,x,C,2797.0
31,C,x,x,C,1836.0
32,D,B,x,B,4990.0
33,F,x,x,D,5370.0
34,C,x,x,D,7158.0
35,B,x,x,C,1196.0
36,B,x,x,C,3823.0
37,B,x,x,C,2694.0
38,B,x,x,B,9698.0
39,C,x,x,B,9878.0
40,C,x,x,B,542.0
41,C,x,x,D,2816.0
42,B,x,x,B,101.0
43,A,x,x,C,3605.0
44,F,C,x,F,1051.0
45,C,x,x,F,9352.0
46,F,C,x,C,4045.0
47,B,x,x,D,5077.0
48,B,x,x,C,5469.0
49,B,x,x,B,6676.0
50,C,x,x,C,713.0
51,B,x,x,D,3052.0
52,A,x,x,B,2828.0
53,B,x,x,C,3912.0
54,B,x,x,B,2743.0
55,D,B,D,F,1579.0
56,B,x,x,F,5154.0
57,B,x,x,C,7798.0
58,B,x,x,B,153.0
59,C,x,x,C,1614.0
60,B,x,x,A,3157.0
61,C,x,x,C,5435.0
62,C,x,x,C,5685.0
63,A,x,x,A,9170.0
64,B,x,x,C,2545.0
65,C,x,x,F,7948.0
66,C,x,x,D,8014.0
67,C,x,x,F,10673.0
68,C,F,x,D+,7411.0
69,C,x,x,D,1183.0
70,C,x,x,C,2780.0
71,C,x,x,D,7441.0
72,B,x,x,C-,7563.0
73,A,x,x,D+,7883.0
