,student_id,class1,class2
0,7677,A,B
2,5822,C,F
3,4990,D,B
4,556,B,D
7,10518,F,F
8,6727,C,B
11,2450,C,C
12,2257,C,F
15,8222,C,C
17,8058,C,C
21,3718,D,F
22,9964,F,C
25,5365,C,F
30,6730,F,F
31,101,B,B
36,3752,C,C
38,7389,D,C
41,8884,F,C
42,1196,B,C
44,1579,D,F
46,68,D,B
47,3823,B,C
48,1836,C,F
49,5405,B,D
53,2694,B,C
56,2797,B,D
57,9698,B,B
58,542,C,B
62,5370,F,D
63,2816,C,D
64,7142,C,B
70,8724,C,C
72,2680,C,B
76,4717,C,C
79,5365,D,F
83,10518,C,F
84,3718,C,F
88,4990,B,B
90,9878,C,B
91,9964,C,C
95,9401,A,A
100,5154,B,F
101,7389,F,C
105,2828,A,B
112,3714,D,C
113,2743,B,B
116,3912,B,C
118,1579,B,F
124,4045,F,C
125,7798,B,C
126,153,B,B
127,1614,C,C
129,713,C,D
131,5435,C,C
132,5685,C,C
133,3157,B,A
137,9710,B,C
138,3092,C,C
141,7389,F,C
142,1579,D,F
145,9789,C,D
148,6730,C,F
149,7240,B,C
150,7585,B,C
152,8322,B,B
154,6051,A,C
157,1533,C,F
158,1313,A,C
163,68,C,B
167,7158,C,C
170,1904,C,B
172,2780,C,F
179,3229,A,A
181,3714,C,C
185,7389,C,C
191,8964,A,B
195,7411,C,C-
196,7441,C,D
197,1183,C,C-
198,4779,C,C
199,3856,C,F
200,1103,A,A
201,9959,B,C
202,3908,A,A
203,4641,B,C
204,8442,A,C
205,6464,B,C
207,4112,B,F
209,4757,C,C
210,542,A,B
211,6940,B,C
212,4104,F,C
213,10673,C,F
214,7411,F,C-
217,3605,A,C
227,1051,F,F
228,7389,F,C
229,8884,F,C
230,9352,C,F
233,9358,C,C
234,5077,B,B
235,4045,C,C
237,6676,B,B
238,9170,A,A
239,5469,B,C
240,4757,D,C
241,3052,B,B
242,8884,F,C
244,1051,C,F
252,9475,F,C-
253,6304,B-,C-
259,7987,D,F
261,7896,F,C
265,990,B,A-
267,9039,D,F
269,177,B,B+
270,134,B-,C+
272,9902,B,C
273,7970,C-,A-
274,5734,C+,C
275,9377,C-,D
276,10401,D,D
277,2137,B,C-
280,8227,D,C
282,5685,B-,C
285,7948,C,F
286,2545,B,C
298,8014,C,C
302,7883,A,B
303,3334,B,C-
304,7563,B,C-
309,8884,D,C
314,348,C+,B-
316,9533,A-,C-
325,5108,F,F
331,1086,C,F
333,10174,D+,F
335,9043,A-,B-
336,4864,B,F
337,5023,B,B
338,8086,C-,D
339,2748,F,D
340,7923,A,A
341,3895,A,B-
342,1930,B,C-
343,2993,B,C+
344,2669,A-,A
345,9866,B+,C+
346,43,D,C
347,7787,B,C-
349,280,B+,A-
350,4687,C,C
352,10643,C,C+
354,3118,B,B
357,7896,B,C
358,6449,C+,C-
360,7987,C-,F
368,9548,C,F
370,9039,C+,F
371,9475,C,C-
375,7699,C,B
376,9304,B-,B-
380,8177,B,B
381,7970,B,A-
382,7841,C,C+
383,9076,C,C
385,9866,C-,C+
386,9043,D,B-
387,192,A-,A-
388,8227,B,C
390,10401,C,D
392,7787,F,C-
396,8884,C,C
399,9901,B+,B
408,3894,B-,B-
