rank,postreq,prereqs
2,Intermediate Algebra,"OR({Mathematical Problem Solving 3#c-},{Elementary Algebra#c-})"
3,College Algebra,SINGLE({Intermediate Algebra#c-})
4,Fundamentals of Engineering Analysis Tools,"OR({College Algebra#c-},{Intermediate Algebra#c-})"
4,Precalculus,"OR({Intermediate Algebra#b-},{College Algebra#c-})"
4,Trigonometry and Analytic Geometry,SINGLE({College Algebra#c-})
5,Calculus I,"OR({Precalculus#c-},{Trigonemetry and Analytic Geometry#c-})"
6,Discrete Mathematics,SINGLE({Calculus I#c-})
1,Circuit Modeling 1,SINGLE({Calculus I#c-})
2,Logic and Digital Design,"OR({Calculus 1#c-},AND({Object Oriented Programming and Data Structures I#c-},{Computer Architecture/Operating Systems#c-}))"
3,Introduction to Microprocessors,SINGLE({Logic and Digital Design#c-})
1,Software Engineering Project 1,"AND({Discrete Mathematics#c-},AND({Intermediate Software Engineering#c-},{Object Oriented Analysis and Design#c-}))"
2,Software Engineering Project 2,"AND({Software Quality#c-},{Software Engineering Project I#c-})"
2,Programming in C++,SINGLE({Introduction to Programming#})
2,Object Oriented Analysis and Design,"AND({Object-Oriented Programming and Data Structures I#c-},{Introduction to Software Engineering#c-})"
1,Introduction to Software Engineering,SINGLE({Object-Oriented Programming and Data Structures I#c-})
1,Real-Time Embedded Systems Programming,"AND(AND({Object-Oriented Programming and Data Structures II#c-},{Object Oriented Analysis and Design#c-}),OR({Introduction to Microprocessors#c-},{Computer Architecture/Operating Systems#c-}))"
2,Intermediate Software Engineering,"AND({Object-Oriented Programming and Data Structures II#c-},{Introduction to Software Engineering#c-})"
3,Software Maintenance and Reengineering,"AND({Object-Oriented Programming and Data Structures II#c-},AND({Introduction to Software Engineering#c-},{Object Oriented Analysis and Design#c-}))"
3,Software Quality,SINGLE({Object-Oriented Programming and Data Structures II#c-})
4,Introduction to Microprocessors,"AND({Programming in C++#c-},{Logic and Digital Design#c-})"
4,Object-Oriented Programming and Data Structures II,SINGLE({Object-Oriented Programming and Data Structures I#c-})
5,Programming Language Structures,SINGLE({Object-Oriented Programming and Data Structures II#c-})
4,Computer Architecture/Operating Systems,SINGLE({Object-Oriented Programming and Data Structures I#c-})
4,Data Communications and Computer Networks,SINGLE({Object-Oriented Programming and Data Structures I#c-})
4,Database Design and Implementation,"AND({Object-Oriented Programming and Data Structures I#c-},OR({Finite Mathematics with Applications#},{Discrete Mathematics#}))"
4,Introduction to Computer Security,SINGLE({Object-Oriented Programming and Data Structures I#c-})
3,Object-Oriented Programming and Data Structures I,SINGLE({Programming in C++#c-})
