postreq,prereqs
Intermediate Algebra,"OR(""Elementary Algebra"",""c-"",""Mathematical Problem Solving"",""c-"")"
College Algebra,"SINGLE(""Intermediate Algebra"",""c-"")"
Fundamentals of Engineering Analysis Tools,"OR(""Intermediate Algebra"",""c-"",""College Algebra"",""c-"")"
Precalculus,"SINGLE(""Intermediate Algebra"",""b-"")"
Database Design and Implementation,"AND(""Object-Oriented Programming and Data Structures I"",""c-"",OR(""Finite Mathematics with Applications"",,""Discrete Mathematics"",),)"
Trigonometry and Analytic Geometry,"SINGLE(""College Algebra"",""c-"")"
Calculus and Analytic Geometry I,"OR(""Trigonometry and Analytic Geometry"",""c-"",""Precalculus"",""c-"")"
Calculus and Analytic Geometry II,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
Calculus and Analytic Geometry III,"SINGLE(""Calculus and Analytic Geometry II"",""c-"")"
Discrete Mathematics,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
Circuit Modeling I,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
General Physics I,"OR(""Calculus and Analytic Geometry I"",""c-"",""Fundamentals of Engineering Analysis Tools"",""c-"")"
General Physics II,"AND(""Calculus and Analytic Geometry II"",""c-"",""General Physics I"",""c-"")"
Computer Graphics,"AND(""Calculus and Analytic Geometry II"",""c-"",""Object-Oriented Programming and Data Structures II"",""c-"")"
Statistical Methods with Applications,"SINGLE(""Calculus and Analytic Geometry II"",""c-"")"
Human Factors Engineering,"AND(""Calculus and Analytic Geometry II"",""c-"",""Anatomy"",)"
Software Engineering Project I,"AND(""Discrete Mathematics"",""c-"",AND(""Intermediate Software Engineering"",""c-"",""Object Oriented Analysis and Design"",""c-""),)"
Artificial Intelligence,"AND(""Discrete Mathematics"",""c-"",""Object-OrientedProgramming and Data Structures II"",""c-"")"
Operations Research I,"SINGLE(""Statistical Methods with Applications"",)"
Quality Engineering,"SINGLE(""Statistical Methods with Applications"",)"
Programming in C++,"SINGLE(""Introduction to Programming"",)"
Object-Oriented Programming and Data Structures I,"SINGLE(""Programming in C++"",""c-"")"
Introduction to Microprocessors,"AND(""Programming in C++"",""c-"",""Logic and Digital Design"",""c-"")"
Object-Oriented Programming and Data Structures II,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
Introduction to Computer Security,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
Data Communications and Computer Networks,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
Computer Architecture/Operating Systems,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
Introduction to Software Engineering,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
Object Oriented Analysis and Design,"AND(""Object-Oriented Programming and Data Structures I"",""c-"",""Introduction to Software Engineering"",""c-"")"
Software Quality,"SINGLE(""Object-Oriented Programming and Data Structures II"",""c-"")"
Intermediate Software Engineering,"AND(""Object-Oriented Programming and Data Structures II"",""c-"",""Introduction to Software Engineering"",""c-"")"
Programming Language Structures,"SINGLE(""Object-Oriented Programming and Data Structures II"",""c-"")"
Real-Time Embedded Systems Programming,"AND(AND(""Object-Oriented Programming and Data Structures II"",""c-"",""Object Oriented Analysis and Design"",""c-""),,OR(""Introduction to Microprocessors"",""c-"",""Computer Architecture/Operating Systems"",""c-""),)"
Software Maintenance and Reengineering,"AND(""Object-Oriented Programming and Data Structures II"",""c-"",AND(""Introduction to Software Engineering"",""c-"",""Object Oriented Analysis and Design"",""c-""),)"
Logic and Digital Design,"OR(""Electrical Engineering Projects and Tools"",""c-"",OR(""Computer Architecture/Operating Systems"",""c-"",""Circuit Modeling I"",""c-""),)"
Software Project II,"AND(""Software Quality"",""c-"",""Software Engineering Project I"",""c-"")"
Principles and Applications of Project Management,"SINGLE(""Engineering Management"",)"
Elementary Algebra,"SINGLE(""Basic Algebra"",""c-"")"
