rank,postreq,prereqs
7,Calculus and Analytic Geometry III,"SINGLE(""Calculus and Analytic Geometry II"",""c-"")"
7,Statistical Methods with Applications,"SINGLE(""Calculus and Analytic Geometry II"",""c-"")"
6,Calculus and Analytic Geometry II,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
6,Discrete Mathematics,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
5,Artificial Intelligence,"AND(""Discrete Mathematics"",""c-"",""Object-Oriented Programming and Data Structures II"",""c-"")"
5,Calculus and Analytic Geometry I,"OR(""Trigonometry and Analytic Geometry"",""c-"",""Precalculus"",""c-"")"
5,Computer Graphics,"AND(""Calculus and Analytic Geometry II"",""c-"",""Object-Oriented Programming and Data Structures II"",""c-"")"
5,Programming Language Structures,"SINGLE(""Object-Oriented Programming and Data Structures II"",""c-"")"
4,Computer Architecture/Operating Systems,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
4,Data Communications and Computer Networks,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
4,Database Design and Implementation,"AND(""Object-Oriented Programming and Data Structures I"",""c-"",OR(""Finite Mathematics with Applications"",,""Discrete Mathematics"",),)"
4,Introduction to Computer Security,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
4,Introduction to Microprocessors,"AND(""Programming in C++"",""c-"",""Logic and Digital Design"",""c-"")"
4,Object-Oriented Programming and Data Structures II,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
4,Precalculus,"SINGLE(""Intermediate Algebra"",""b-"")"
4,Software Project II,"AND(""Software Quality"",""c-"",""Software Engineering Project I"",""c-"")"
4,Trigonometry and Analytic Geometry,"SINGLE(""College Algebra"",""c-"")"
3,College Algebra,"SINGLE(""Intermediate Algebra"",""c-"")"
3,General Physics II,"AND(""Calculus and Analytic Geometry II"",""c-"",""General Physics I"",""c-"")"
3,Logic and Digital Design,"OR(""Electrical Engineering Projects and Tools"",""c-"",OR(""Computer Architecture/Operating Systems"",""c-"",""Circuit Modeling I"",""c-""),)"
3,Object-Oriented Programming and Data Structures I,"SINGLE(""Programming in C++"",""c-"")"
3,Software Engineering Project I,"AND(""Discrete Mathematics"",""c-"",AND(""Intermediate Software Engineering"",""c-"",""Object Oriented Analysis and Design"",""c-""),)"
3,Software Maintenance and Reengineering,"AND(""Object-Oriented Programming and Data Structures II"",""c-"",AND(""Introduction to Software Engineering"",""c-"",""Object Oriented Analysis and Design"",""c-""),)"
3,Software Quality,"SINGLE(""Object-Oriented Programming and Data Structures II"",""c-"")"
2,Circuit Modeling I,"SINGLE(""Calculus and Analytic Geometry I"",""c-"")"
2,General Physics I,"OR(""Calculus and Analytic Geometry I"",""c-"",""Fundamentals of Engineering Analysis Tools"",""c-"")"
2,Human Factors Engineering,"AND(""Calculus and Analytic Geometry II"",""c-"",""Anatomy"",)"
2,Intermediate Algebra,"OR(""Elementary Algebra"",""c-"",""Mathematical Problem Solving"",""c-"")"
2,Intermediate Software Engineering,"AND(""Object-Oriented Programming and Data Structures II"",""c-"",""Introduction to Software Engineering"",""c-"")"
2,Object Oriented Analysis and Design,"AND(""Object-Oriented Programming and Data Structures I"",""c-"",""Introduction to Software Engineering"",""c-"")"
2,Principles and Applications of Project Management,"SINGLE(""Engineering Management"",)"
2,Programming in C++,"SINGLE(""Introduction to Programming"",)"
1,Elementary Algebra,"SINGLE(""Basic Algebra"",""c-"")"
1,Fundamentals of Engineering Analysis Tools,"OR(""Intermediate Algebra"",""c-"",""College Algebra"",""c-"")"
1,Introduction to Software Engineering,"SINGLE(""Object-Oriented Programming and Data Structures I"",""c-"")"
1,Operations Research I,"SINGLE(""Statistical Methods with Applications"",)"
1,Quality Engineering,"SINGLE(""Statistical Methods with Applications"",)"
1,Real-Time Embedded Systems Programming,"AND(AND(""Object-Oriented Programming and Data Structures II"",""c-"",""Object Oriented Analysis and Design"",""c-""),,OR(""Introduction to Microprocessors"",""c-"",""Computer Architecture/Operating Systems"",""c-""),)"
