starting_column,unique_courses
1,19th C. Art History: The Emergence of Modernity
2,20th c. Art History: Modern to Contemporary
3,3D Industrial Production Drafting
5,Abnormal Psychology
7,AC/DC Fundamentals
8,Accompanying
9,Accounting Information Systems
11,Accounting Issues for Managers
14,Adapted Aquatics
15,Adolescent Psychology
17,Advanced Accounting I
18,Advanced Analog Electronic Circuits
19,Advanced Athletic Training
20,Advanced Biochemistry Laboratory
21,Advanced Ceramics
23,Advanced Conducting - Choral
24,Advanced Conducting Instrumental
25,Advanced Cost Accounting
26,Advanced Digital Design
27,Advanced Fitness Training
28,Advanced French Conversation
29,Advanced French Grammar and Composition
30,Advanced Geographic Information Systems
31,Advanced Manufacturing Processes
32,Advanced Manuscript Workshop
33,Advanced Materials
34,Advanced Physiology
35,Advanced Scene Study
36,Advanced Selling
37,Advanced Taxation
38,Advanced Techniques of Counseling and Psychotherapy
39,Advanced Topics in Film Studies
40,Advanced Topics in Inorganic Chemistry
41,Advanced Topics in Writing Studies
45,Advanced Writing
46,Adventure Education
47,Adventure Education Practicum
48,Advertising
49,"Advising, Interaction and Communication"
50,Aerobic Weight Training
53,Aerobics/Hydroaerobics
54,African-American History 1619 to Present
55,African-American Literature
56,Agribusiness Management
57,Agribusiness Marketing Management
58,Agribusiness Professional Development I
59,Agribusiness Professional Development II
60,Agricultural Business Internship
61,Agricultural Commodity Marketing
62,Agricultural Consulting and Sales
63,Agricultural Finance
64,Agricultural Marketing
65,Agricultural Policy Seminar
66,Agricultural Prices and Risk Management
67,Agriculture Internship Seminar
68,Air and Waste Management
69,Alcohol and Other Drugs as Related to Safety
70,American Colonial History
71,American Humor
72,American Literature of Ethnicity and Immigration
73,American Literature Since the Civil War
74,American Literature Through the Civil War
75,American Military History
76,American Music
77,American Political Parties and Interest Groups
78,American Women's History
79,Analog Electronics
83,Analog IC Design
84,Ancient Civilizations
85,Animal Tissue Culture
86,Applications in Information Systems
88,Applications of Electrical Engineering
90,Applied Communication
94,Applied Mechanics
97,Applied Optics
99,Applied Regression Analysis
100,Applied Thermodynamics
101,Art and Children's Literature for Teachers
102,Art and Social Studies for Teachers
103,Art History I: Ancient and Medieval
105,Art History II: Renaissance to Modern
107,Art History IV: Ethnic Art in the United States
109,Art Survey
111,Artificial Intelligence
112,Assessment and Screening in Physical Education
113,Atract Algebra
115,Audio and Video Systems
116,Auditing I
118,Aural Skills I
120,Aural Skills II
121,Aural Skills III
122,Aural Skills IV
123,Automatic Controls
126,Badminton
130,Bank Management
131,Basic Design I: 2-D
133,Basic Design II: 3-D
134,Basic Newswriting and Reporting
136,Basic Photography
137,Basic Thermoscience for Engineers
139,Basketball
144,Basketball Band
147,Beginning Acting
148,Beginning Conducting
149,Behavioral Research I
150,Behavioral Research II
151,Biochemistry Topics
152,Biofuels
153,Biogeography
154,Biomechanical Kinesiology
156,Biomedical Engineering
157,BioQuest: Foundations for College Success
158,Biorenewable Resources
159,Biotechnology
160,Biotechnology Seminar
161,Black Experience in the U. S.
163,Black Women and Feminism in the U.S.
164,Bodywork for Musicians
165,Bowling
167,Brass Ensemble
171,British Isles since 1714
172,British Isles to 1714
173,British Literature I: Beginnings through the Age of Swift
174,British Literature II: Romanticism through the Present
175,Budgets and Budgetary Control
176,Building Construction Drafting
177,Building Construction Materials
178,Building Energy Management
179,Building Systems Analysis
180,Business Analytics
182,Business Calculus
185,Business Communication
187,Business Ethics
189,Calculus and Analytic Geometry I
194,Calculus and Analytic Geometry II
198,Calculus and Analytic Geometry III
202,Capstone Course: From Atoms to Ecosystems - The Study of Life
203,Careers in Counseling and Human Services
204,Cartography
205,Cell Biology
206,Ceramics I
207,Ceramics II
208,Cervantes
209,Chamber Ensemble
214,Characteristics of Transescents
215,Chemical Synthesis and Characterization
216,Chemistry for Engineers
219,Chemistry Seminar
220,Child Psychology
222,Choir
239,Choral Literature
240,Choral Music Methods I
241,Choral Music Methods II
242,CICS Application Programming
244,Circuit Modeling I
248,Circuit Modeling II
252,Civil and Environmental Engineering Computer Applications
254,Civil and Environmental Engineering Design Project
255,Civil Engineering Computer Applications
257,Civil Liberties
258,Classical Mythology
259,Clay Figure Sculpture
260,Coaching Basketball
261,Cognitive Psychology
262,College Algebra
266,College Geometry
269,College Writing I
273,College Writing II
278,Colonial Latin American History
279,Commercial Building Planning and Construction Techniques
280,Communication & Leadership in Small Groups
281,Communication Internship
282,Communication Law
284,Communication Research
285,Communication Systems
286,Community-Based Corrections
287,Comparative Anatomy of the Vertebrates
288,Comparative Criminal Justice Systems
289,Comparative Politics
290,Compensation Management
291,Compiler Construction
292,Complex Variables
293,Computational Fluid Dynamics
294,Computational Methods in Engineering
295,Computer Analysis of Structures
296,Computer Architecture/Operating Systems
299,Computer Graphics
300,Computer Science Special Topics
301,Computer Security
303,Computer-Aided Engineering
304,Concepts of Biology
306,Congressional Politics
307,Constitutional Law
308,Construction Administration
309,Construction and Professional Management
310,Construction Engineering
312,Construction Equipment
313,Construction Estimates and Costs
314,Construction Hazard Control Solutions
315,Construction Heavy Equipment Safety
316,Construction Laboratory
317,Construction Materials
318,Construction Procedures
319,Construction Safety Capstone
320,Construction Safety Management
321,Construction Technical Certifications
322,Consumer Behavior
323,Consumer Health
324,Contemporary France and the Francophone World
325,Contemporary Global Literature and Empire
326,Contemporary Issues in Psychology
327,Contemporary Social Problems
328,Contemporary World-Views
329,Continental Philosophy
330,Controls Laboratory
331,Conversational American English for International Students
333,Cooperative Field Experience
335,Corporate Finance
338,Cost Accounting
339,Courtroom Testimony and Evidence
340,Crafts I: Fibers and Fabrics
341,Creative Nonfiction Writing
342,Crime and Delinquency
343,Crime Prevention
344,Crime Scene Processing Techniques
345,Criminal Investigation
346,Criminal Justice Fitness
347,Criminal Justice Seminar
348,Criminal Law
349,Criminal Procedure and Evidence
351,Criminology
353,Crop Science
354,Cultural Anthropology
355,Current Issues and Democracy
356,Current Issues in Health and Physical Education
358,Current Topics In Criminal Justice
361,Current Topics in Engineering
363,Current Topics in Forensic Investigation
364,Current Topics in Sustainability and Renewable Energy Systems
367,Current Trends in Health Fitness and Health Promotion
368,Curriculum and Facilities Planning in Career and Technical Education
369,Cytotechnololgy Course
373,Dance for Musical Theatre
374,"Dance Tech/Practice (Ballroom, Latin, Country)"
376,Data Analysis and Verification Tools
377,Data Communications and Computer Networks
380,Database Design and Implementation
383,Design of Machine Elements
386,"Design, Fabrication, and Simulation of MEMS"
388,Diction I
389,Diction II
390,Differential Equations I
394,Differential Equations II
395,DIGITAL AUDIO PRODUCTION
396,Digital Electronics
398,Digital Media Technologies
399,Digital Signal Processing
401,Directed Individual Studies
