id,numOfTerm,combinedDataRange
10132,9,18
9535,13,
4990,9,
2425,8,
2197,9,
1884,9,
5633,3,
4930,8,
5447,6,
5851,8,
2754,6,
7638,8,
9878,11,
2450,12,
5365,12,
702,10,
6727,9,
375,12,
1665,8,
864,7,
8222,7,
8058,2,
5341,12,
7763,4,
8724,10,
305,5,
3044,12,
3718,9,
2552,10,
10518,12,
5472,12,
2432,3,
6325,3,
8806,6,
4182,8,
2614,10,
1921,8,
1762,10,
6454,4,
9843,14,
8978,0,
7469,6,
1603,5,
6235,10,
4498,10,
7391,1,
5405,11,
2257,3,
816,8,
3124,2,
1672,11,
6237,2,
6021,2,
7373,1,
5822,14,
128,11,
7849,9,
8434,9,
1445,9,
4310,8,
7677,2,
10577,10,
5163,7,
7449,3,
8685,10,
9698,10,
8318,11,
2433,12,
3823,9,
1559,9,
8822,10,
6369,9,
9964,6,
5170,9,
9509,2,
556,8,
1489,10,
3576,6,
9990,0,
4680,4,
1213,7,
1079,6,
9042,9,
697,2,
6301,10,
5969,13,
4717,12,
542,14,
5262,8,
160,12,
1305,1,
891,6,
6239,5,
1836,10,
849,1,
5953,13,
1351,11,
2781,10,
2782,9,
7568,1,
5947,7,
4001,8,
922,5,
9540,8,
1358,7,
5780,10,
1500,8,
4117,7,
7288,3,
6395,11,
8136,7,
6455,7,
5106,10,
1553,6,
9470,7,
6870,11,
2746,4,
4629,7,
3293,8,
8134,4,
1596,8,
9792,2,
6477,7,
4074,3,
10209,4,
7792,9,
1653,3,
10469,7,
4727,1,
8163,5,
9839,6,
10310,6,
10373,10,
5887,6,
10419,8,
1251,5,
7803,4,
5740,8,
4886,9,
5694,5,
8884,14,
10529,11,
1196,11,
6456,11,
5411,3,
2945,8,
7626,2,
589,8,
4306,5,
6118,5,
7863,6,
7586,2,
6307,7,
7437,12,
675,10,
9905,7,
10047,3,
1602,11,
2680,4,
2969,8,
1579,11,
7927,0,
1533,9,
8334,11,
4624,9,
6955,7,
9438,5,
4020,2,
4104,9,
3092,17,
4135,11,
1078,10,
1313,5,
9757,11,
9955,6,
9958,7,
8631,6,
5654,2,
9277,6,
1978,4,
1740,6,
8670,8,
992,3,
6036,4,
1253,6,
1087,2,
4534,4,
3421,3,
8091,3,
331,7,
1015,2,
9486,4,
6714,12,
1436,2,
7370,5,
5611,11,
9330,11,
5891,11,
6730,10,
8169,4,
452,11,
2405,13,
7389,10,
2046,4,
6052,8,
6185,0,
1391,9,
9710,11,
7240,9,
9379,2,
9234,12,
6051,9,
2346,10,
8305,12,
812,9,
2171,10,
6788,9,
6964,9,
9361,14,
3176,1,
1114,9,
9411,11,
6449,14,
3921,5,
3461,7,
9594,10,
8633,11,
298,8,
1075,4,
4712,10,
7585,11,
8322,10,
7128,12,
1891,10,
1455,7,
8333,10,
101,11,
3852,9,
10420,4,
3714,10,
472,9,
8444,7,
3816,3,
2326,5,
1633,8,
3760,5,
8502,6,
9263,5,
6943,10,
5676,10,
9536,5,
2622,2,
2824,5,
725,6,
5621,5,
1874,3,
8706,7,
3926,2,
425,4,
1503,6,
4788,5,
10448,1,
656,5,
3217,4,
4840,4,
8290,4,
10472,7,
8961,4,
5810,2,
8298,2,
231,3,
7142,7,
6197,10,
6382,5,
10233,3,
8857,5,
284,2,
4418,8,
9789,13,
3752,10,
2568,3,
6463,11,
5677,9,
5634,1,
4278,7,
9539,4,
8045,17,
9408,12,
9268,15,
537,12,
5613,11,
6811,11,
68,11,
4045,11,
7158,12,
7295,2,
4318,2,
10339,8,
9598,5,
700,2,
9778,1,
4333,6,
1623,2,
9309,8,
2816,2,
7840,5,
4757,6,
5435,10,
5526,3,
153,10,
3947,9,
6336,8,
3213,11,
49,11,
5370,10,
10016,6,
836,2,
7134,4,
8966,2,
8700,11,
5685,10,
2802,2,
2797,8,
2823,5,
661,1,
5223,2,
2694,8,
1904,10,
3052,11,
8302,1,
721,11,
9644,2,
4043,1,
9160,1,
7744,1,
5257,1,
10654,1,
4796,1,
6117,2,
7778,1,
3061,1,
909,1,
5190,2,
944,1,
10255,1,
6000,2,
9554,4,
3270,0,
10566,1,
2361,1,
7599,3,
1483,1,
7338,2,
1679,6,
1304,1,
2111,0,
9545,1,
9689,9,
2367,11,
3274,9,
10467,6,
4483,13,
1238,7,
5568,9,
3642,8,
4116,10,
8308,12,
5154,6,
3692,8,
2828,9,
5142,8,
1514,2,
3912,8,
8605,6,
7999,9,
1199,9,
8727,9,
1901,3,
2255,8,
10443,0,
733,8,
4831,10,
875,5,
10368,5,
6942,9,
7940,1,
4259,1,
291,10,
3801,9,
3696,16,
9389,16,
1051,6,
3313,16,
8344,3,
10105,8,
6020,10,
10673,11,
1235,11,
1832,11,
1234,7,
2743,3,
9401,9,
6765,11,
4634,1,
2922,3,
6130,9,
7341,11,
3605,8,
8315,8,
9352,11,
869,3,
10051,0,
3100,6,
1833,4,
6009,11,
7411,10,
6822,9,
8406,11,
8098,6,
5173,9,
7801,10,
7441,10,
1593,4,
5215,13,
4013,9,
9834,12,
1326,0,
8560,0,
7798,10,
5077,10,
9358,10,
4992,10,
10649,9,
9370,8,
9170,9,
1115,1,
654,2,
6437,4,
5469,4,
4648,3,
6287,0,
8771,8,
10369,6,
619,10,
4017,13,
1614,8,
3075,3,
6496,4,
6676,10,
2334,3,
9342,6,
6139,2,
6940,8,
10307,10,
5977,7,
2158,2,
7334,4,
3157,8,
679,8,
515,8,
713,8,
9422,1,
8818,4,
2474,8,
8485,4,
8239,1,
