,student_id,course_name,grade
221,7677,Calculus and Analytic Geometry I,A
222,1921,Calculus and Analytic Geometry I,F
223,5822,Calculus and Analytic Geometry I,C
224,4990,Calculus and Analytic Geometry I,D
225,556,Calculus and Analytic Geometry I,B
226,2782,Calculus and Analytic Geometry I,F
227,1603,Calculus and Analytic Geometry I,D
228,10518,Calculus and Analytic Geometry I,F
229,6727,Calculus and Analytic Geometry I,C
230,2754,Calculus and Analytic Geometry I,F
231,816,Calculus and Analytic Geometry I,F
232,2450,Calculus and Analytic Geometry I,C
233,2257,Calculus and Analytic Geometry I,C
234,6235,Calculus and Analytic Geometry I,F
235,7391,Calculus and Analytic Geometry I,D
236,8222,Calculus and Analytic Geometry I,C
237,8434,Calculus and Analytic Geometry I,A
238,8058,Calculus and Analytic Geometry I,C
239,7469,Calculus and Analytic Geometry I,C
240,1559,Calculus and Analytic Geometry I,A
241,7568,Calculus and Analytic Geometry I,F
242,3718,Calculus and Analytic Geometry I,D
243,9964,Calculus and Analytic Geometry I,F
258,10577,Calculus and Analytic Geometry II,B
259,8318,Calculus and Analytic Geometry II,F
260,2614,Calculus and Analytic Geometry II,F
261,1213,Calculus and Analytic Geometry II,B
262,5170,Calculus and Analytic Geometry II,A
263,5447,Calculus and Analytic Geometry II,C
264,1358,Calculus and Analytic Geometry II,C
265,8685,Calculus and Analytic Geometry II,C
266,9843,Calculus and Analytic Geometry II,F
267,5947,Calculus and Analytic Geometry II,C
268,9535,Calculus and Analytic Geometry II,C
269,3044,Calculus and Analytic Geometry II,B
270,10132,Calculus and Analytic Geometry II,C
271,1762,Calculus and Analytic Geometry II,C
272,1445,Calculus and Analytic Geometry II,B
273,1884,Calculus and Analytic Geometry II,A
274,8822,Calculus and Analytic Geometry II,C
275,849,Calculus and Analytic Geometry II,D
276,4498,Calculus and Analytic Geometry II,C
277,5780,Calculus and Analytic Geometry II,C
278,2433,Calculus and Analytic Geometry II,C
279,6239,Calculus and Analytic Geometry II,C
281,4930,Calculus and Analytic Geometry II,B
1068,2046,Calculus and Analytic Geometry I,D
1069,6235,Calculus and Analytic Geometry I,B
1070,5365,Calculus and Analytic Geometry I,C
1071,6943,Calculus and Analytic Geometry I,D
1072,7128,Calculus and Analytic Geometry I,D
1073,1891,Calculus and Analytic Geometry I,D
1074,1665,Calculus and Analytic Geometry I,D
1075,6730,Calculus and Analytic Geometry I,F
1076,101,Calculus and Analytic Geometry I,B
1077,6325,Calculus and Analytic Geometry I,F
1078,1921,Calculus and Analytic Geometry I,D
1079,2552,Calculus and Analytic Geometry I,C
1080,725,Calculus and Analytic Geometry I,D
1081,3752,Calculus and Analytic Geometry I,C
1082,2782,Calculus and Analytic Geometry I,B
1083,7389,Calculus and Analytic Geometry I,D
1084,6197,Calculus and Analytic Geometry I,D
1085,7927,Calculus and Analytic Geometry I,F
1086,8884,Calculus and Analytic Geometry I,F
1087,1196,Calculus and Analytic Geometry I,B
1088,1633,Calculus and Analytic Geometry I,B
1089,1579,Calculus and Analytic Geometry I,D
1090,6454,Calculus and Analytic Geometry I,F
1108,7142,Calculus and Analytic Geometry II,D
1109,10518,Calculus and Analytic Geometry II,F
1110,4717,Calculus and Analytic Geometry II,C
1111,9330,Calculus and Analytic Geometry II,C
1112,9843,Calculus and Analytic Geometry II,F
1113,5822,Calculus and Analytic Geometry II,C
1114,3718,Calculus and Analytic Geometry II,F
1115,128,Calculus and Analytic Geometry II,F
1116,556,Calculus and Analytic Geometry II,C
1117,1602,Calculus and Analytic Geometry II,D
1118,2680,Calculus and Analytic Geometry II,D
1119,1874,Calculus and Analytic Geometry II,C
1120,8724,Calculus and Analytic Geometry II,F
1121,452,Calculus and Analytic Geometry II,D
1682,68,Calculus and Analytic Geometry I,D
1845,3823,Calculus and Analytic Geometry I,B
1846,1836,Calculus and Analytic Geometry I,C
1847,5405,Calculus and Analytic Geometry I,B
1848,2823,Calculus and Analytic Geometry I,F
1849,700,Calculus and Analytic Geometry I,F
1850,9778,Calculus and Analytic Geometry I,F
1851,2694,Calculus and Analytic Geometry I,B
1852,836,Calculus and Analytic Geometry I,D
1853,661,Calculus and Analytic Geometry I,C
1854,2797,Calculus and Analytic Geometry I,B
1855,9698,Calculus and Analytic Geometry I,B
1856,542,Calculus and Analytic Geometry I,C
1857,2802,Calculus and Analytic Geometry I,F
1858,4318,Calculus and Analytic Geometry I,F
1859,8966,Calculus and Analytic Geometry I,B
1860,5370,Calculus and Analytic Geometry I,F
1861,2816,Calculus and Analytic Geometry I,C
1872,7295,Calculus and Analytic Geometry II,F
1873,3947,Calculus and Analytic Geometry II,A
1874,9964,Calculus and Analytic Geometry II,F
1875,2257,Calculus and Analytic Geometry II,F
1876,6301,Calculus and Analytic Geometry II,B
1877,6369,Calculus and Analytic Geometry II,C
1878,6727,Calculus and Analytic Geometry II,B
1879,9309,Calculus and Analytic Geometry II,B
1881,8700,Calculus and Analytic Geometry II,D
2554,7142,Calculus and Analytic Geometry I,C
2555,1603,Calculus and Analytic Geometry I,B
2556,6943,Calculus and Analytic Geometry I,F
2557,5262,Calculus and Analytic Geometry I,D
2558,6235,Calculus and Analytic Geometry I,D
2559,7778,Calculus and Analytic Geometry I,F
2560,8724,Calculus and Analytic Geometry I,C
2561,2552,Calculus and Analytic Geometry I,F
2562,2680,Calculus and Analytic Geometry I,C
2563,7638,Calculus and Analytic Geometry I,D
2564,6454,Calculus and Analytic Geometry I,D
