,fall,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring,summer,fall,winter,spring
,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019
10132,2.428571429,2.666666667,2.666666667,2.615384615,2.615384615,2.636363636,2.636363636,2.661764706,2.661764706,2.625,2.658536585,2.70212766,2.70212766,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182,2.681818182
9535,3,3,3,1.5,1.5,1.714285714,1.714285714,1.578947368,1.578947368,1.641025641,1.641025641,2,2,2.173076923,2.173076923,2.173076923,2.173076923,2.2890625,2.2890625,2.452631579,2.452631579,2.5375,2.5375,2.473469388,2.473469388,2.595652174,2.631355932,2.631355932,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884,2.647933884
4990,2.5,3.088235294,3.088235294,2.916666667,2.916666667,3.095238095,3.095238095,3.093333333,3.093333333,2.943181818,2.943181818,2.943181818,2.943181818,2.943181818,2.989130435,3.085714286,3.085714286,3.085714286,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738,3.102803738
2425,3.428571429,3.3125,3.3125,3.265306122,3.265306122,3.23943662,3.23943662,3.209302326,3.209302326,3.242718447,3.242718447,3.186440678,3.186440678,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903,3.201612903
2197,2.2,1.72,1.857142857,1.976744186,2.022727273,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,1.648148148,2.072463768,2.072463768,2.295238095,2.295238095,2.502020202,2.502020202,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883,2.582882883
1884,3.571428571,3.571428571,3.571428571,3.552631579,3.552631579,3.518518519,3.518518519,3.485714286,3.485714286,3.551724138,3.533333333,3.547169811,3.547169811,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672,3.450819672
5633,2,1.625,1.625,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909
4930,2.8125,2.444444444,2.444444444,2.488372093,2.488372093,2.517241379,2.517241379,2.577464789,2.577464789,2.597701149,2.597701149,2.66,2.66,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696,2.782608696
5447,2.375,2.242424242,2.242424242,2.588235294,2.588235294,2.164179104,2.164179104,2.139240506,2.139240506,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609,1.934782609
5851,2.4,2.777777778,2.777777778,2.790697674,2.790697674,2.796610169,2.796610169,2.675675676,2.675675676,2.710843373,2.710843373,2.764044944,2.764044944,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848,2.848484848
2754,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,1.703703704,1.703703704,1.7475,1.888636364,1.737735849,1.737735849,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286,1.735714286
7638,2.9375,2.941176471,2.941176471,3.170212766,3.170212766,3.34375,3.34375,3.35443038,3.35443038,3.454545455,3.454545455,3.512605042,3.512605042,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061,3.560606061
9878,3.538461538,3.28,3.28,3.315789474,3.315789474,3.423076923,3.4,3.376811594,3.376811594,3.494117647,3.494117647,3.544554455,3.544554455,3.610169492,3.610169492,3.606716418,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467,3.615328467
2450,3,2.75,2.75,2.6,2.6,2.421052632,2.421052632,2.47826087,2.47826087,2.26744186,2.292134831,2.294117647,2.294117647,2.165217391,2.110169492,1.886363636,1.886363636,1.886363636,1.886363636,1.886111111,1.886111111,1.886111111,1.886111111,1.839490446,1.839490446,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425,1.8425
5365,2.333333333,2.129032258,2.129032258,2.227272727,2.227272727,1.933333333,1.933333333,1.97260274,1.97260274,2.056179775,2.056179775,2.102803738,2.102803738,2.092436975,2.064,2.007692308,2.007692308,2.02484472,2.02484472,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636,2.048863636
702,1.714285714,1.586206897,1.586206897,1.75,1.75,1.535714286,1.535714286,1.535714286,1.535714286,1.535714286,1.535714286,1.887323944,1.887323944,2.172413793,2.172413793,2.4,2.4,2.544262295,2.544262295,2.591791045,2.591791045,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761,2.671126761
6727,2.714285714,2.592592593,2.592592593,2.465116279,2.465116279,2.5,2.5,2.405797101,2.405797101,2.407407407,2.407407407,2.410526316,2.410526316,2.436363636,2.436363636,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365,2.515079365
375,1.5,1.08,1.5,1.977777778,1.977777778,2.254237288,2.25,2.2875,2.2875,2.4,2.4,2.459459459,2.459459459,2.595238095,2.595238095,2.659722222,2.659722222,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069,2.699371069
1665,1.8,2.034482759,2.034482759,2.097560976,2.097560976,2.285714286,2.285714286,2.418918919,2.418918919,2.5,2.5,2.433962264,2.433962264,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055,2.527559055
864,3.769230769,3.689655172,3.689655172,3.717948718,3.717948718,3.8,3.8,3.746478873,3.746478873,3.793103448,3.793103448,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818,3.818181818
8222,2.75,2.75862069,2.75862069,2.888888889,2.888888889,2.770491803,2.770491803,2.810810811,2.810810811,2.810810811,2.810810811,2.712643678,2.712643678,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549,2.81372549
8058,2.785714286,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724,2.896551724
5341,3.357142857,3.103448276,3.103448276,3,3,2.949152542,2.949152542,2.945945946,2.945945946,3.056179775,3.056179775,3.028571429,3.028571429,3.025641026,3.025641026,3.014615385,3.014615385,3.043971631,3.043971631,3.113157895,3.113157895,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126,3.181437126
