id,prev term number,current term number,prev GPA,current GPA
4,980,990,1.75,0.666666667
16,980,990,3.14,2.9
32,920,930,2.48,2.32
43,900,920,2.24,2.88
60,890,900,1.675,2.0
68,840,860,1.5,2.675
134,860,870,3.4,2.766666667
153,780,800,3.4,3.266666667
177,900,920,3.94375,4.0
180,990,1010,2.54,2.76
192,980,990,2.792307692,3.1
211,980,990,2.883333333,2.75
229,950,960,4.0,4.0
236,860,870,3.0,1.75
276,1020,1040,3.861538462,3.6571428569999997
280,950,960,3.34,3.46
281,950,960,3.54,3.74
284,750,760,0.46153846200000004,4.0
290,1010,1020,2.66,2.74
291,900,920,3.6,2.72
300,1010,1020,2.86,2.8
330,830,840,4.0,4.0
342,1010,1020,2.63125,2.74
347,990,1010,2.375,3.31
348,930,950,2.692307692,2.6
381,900,920,2.476470588,2.152941176
411,950,960,3.1625,1.729411765
437,990,1010,2.19375,2.65
439,950,960,3.0125,2.9384615380000003
448,950,960,0.8857142859999999,0.307692308
452,810,830,2.166666667,1.2
488,840,860,1.571428571,2.0714285709999998
512,950,960,2.7769230769999997,2.2625
515,810,830,3.5333333330000003,3.4
524,920,930,2.8176470589999996,3.05625
528,920,930,2.469230769,2.0
540,840,860,1.6666666669999999,2.364285714
554,870,890,3.08,3.093333333
570,980,990,3.241176471,2.725
585,950,960,2.5,2.8125
619,870,890,3.43125,3.45
645,840,860,3.75,3.8
674,950,960,1.425,2.385714286
679,830,840,2.8461538460000004,1.153846154
698,890,900,2.621428571,2.8875
700,770,780,1.6666666669999999,2.5
702,890,900,3.075,4.0
711,840,860,3.4375,2.3625
713,870,890,2.25,2.8176470589999996
715,950,960,3.38125,2.74
733,810,830,3.2,3.0
735,1010,1040,0.74,0.825
761,980,990,3.238461538,3.06
780,860,870,3.4,2.333333333
792,1010,1020,2.325,1.7071428569999998
800,950,960,2.683333333,3.4277777780000003
825,980,990,3.052941176,2.6
836,770,780,0.833333333,0.428571429
839,890,900,3.75625,3.66
862,830,840,3.25,3.333333333
869,810,830,1.9375,1.5
875,810,830,3.1875,1.75
882,960,980,3.25,1.75
890,1010,1020,3.442857143,2.38
970,860,870,1.7,2.6
990,900,920,2.9866666669999997,2.825
1008,930,950,1.425,1.8
1051,840,860,1.5,0.25
1078,840,860,3.25,2.915384615
1103,890,900,3.733333333,4.0
1183,960,980,2.9,2.3
1186,900,920,3.333333333,2.25
1196,870,890,2.628571429,2.74375
1199,840,860,2.2,2.229411765
1225,960,980,2.226666667,2.5647058819999997
1235,840,860,1.75,3.4
1278,990,1010,1.61,2.246153846
1315,980,990,3.30625,4.0
1340,890,900,3.664705882,3.4125
1345,900,920,3.575,3.925
1378,870,890,1.35,1.825
1400,1010,1040,2.766666667,1.153846154
1423,1040,1050,2.525,2.575
1455,810,830,2.5,2.5
1496,920,930,3.373333333,3.253333333
1516,980,990,2.6625,2.670588235
1575,960,980,3.007142857,2.925
1576,950,1010,1.417647059,0.28571428600000004
1579,860,870,3.0,1.74
1604,1040,1050,3.375,3.2285714289999996
1614,830,840,2.375,3.2
1617,870,890,0.425,1.98
