id,prev term number,current term number,prev GPA,current GPA
10132,810,830,2.416666667,3.0
9535,840,870,3.5,2.791666667
4990,800,810,3.083333333,2.076923077
2425,740,750,3.428571429,3.222222222
2197,890,900,3.66,3.25
1884,770,780,3.529411765,3.4375
5633,750,770,1.25,2.666666667
4930,740,750,2.8125,1.9090909090000001
5447,750,770,2.1176470590000003,3.222222222
5851,740,750,2.4,3.25
2754,870,890,1.8384615380000002,1.0
7638,770,780,3.769230769,3.823529412
9878,840,860,4.0,3.58125
2450,800,810,2.75,1.411764706
5365,740,750,2.333333333,1.9375
702,830,840,3.2,3.4375
6727,840,860,2.6,3.05625
375,830,840,2.8125,3.6
1665,810,830,2.833333333,2.0
864,770,780,3.8,4.0
8222,800,830,3.0,2.153846154
8058,740,750,2.785714286,3.0
5341,800,810,2.933333333,3.6
7763,740,750,1.153846154,0.6
8724,830,840,2.769230769,2.166666667
305,770,780,1.888888889,2.785714286
3044,770,780,2.615384615,2.538461538
3718,740,750,2.153846154,1.8666666669999998
2552,740,750,2.4,1.9333333330000002
10518,770,780,1.384615385,2.142857143
5472,770,780,3.4375,3.0
2432,750,770,0.8,1.615384615
6325,740,750,2.9375,1.705882353
8806,750,770,1.692307692,2.0
4182,810,830,3.2,3.0
2614,740,750,1.533333333,1.8666666669999998
1921,800,810,2.0,3.0
1762,800,810,2.588235294,3.222222222
6454,750,770,1.285714286,1.5833333330000001
9843,870,890,2.25,1.445454545
7469,740,750,2.666666667,2.75
1603,770,780,3.1875,3.0
6235,810,830,3.0,2.4
4498,740,750,2.642857143,1.9166666669999999
5405,860,870,3.15,3.46
2257,740,750,2.0,1.0
816,750,770,2.214285714,2.454545455
3124,740,750,1.714285714,1.9375
1672,810,830,2.5,3.133333333
6237,740,750,2.090909091,1.076923077
6021,740,750,3.0909090910000003,2.0
5822,810,830,1.8,2.5
128,780,800,4.0,3.8
7849,810,830,3.375,3.842105263
8434,740,750,3.2,3.1538461539999996
1445,740,750,3.714285714,3.7
4310,800,810,3.8,4.0
