first term gpa,first term standing,graduated
2.025,3,0
2.914285714,4,1
2.7125,4,1
1.547457627,3,0
2.533333333,4,1
2.816666667,3,0
2.02173913,3,0
3.4,4,1
3.75,4,1
1.621621622,3,0
2.105882353,3,0
3.764705882,4,1
3.76,4,1
2.883333333,4,1
4,4,1
0,3,0
2.473333333,3,0
0.6,3,0
2.411764706,3,0
3.206666667,4,1
3.05826087,3,0
4,1,1
2.8,4,1
1.08,3,0
0.7875,3,0
0.736363636,3,0
2.185294118,3,0
1.619047619,3,0
0.666666667,3,0
2.206666667,4,1
0.885714286,3,0
1.571428571,3,0
3.152,3,0
1.481481481,3,0
1.763414634,3,0
1.5,3,0
3,4,1
1.3,3,0
1.335087719,3,0
3.722222222,4,1
1.517073171,3,0
0,3,0
3.7,4,1
2.580327869,3,0
2.545454545,4,1
1.137931034,3,0
1.535714286,3,0
3.214285714,4,1
0.74,3,0
2.281147541,3,0
1.434883721,3,0
0.214285714,3,0
0.6,3,0
0.64,3,0
1.48,3,0
1.266666667,3,0
1.53968254,3,0
2.159756098,3,0
1.303703704,3,0
0.375,3,0
0.722222222,3,0
0,3,0
1.323943662,3,0
3.571428571,4,1
2.135365854,3,0
4,4,1
0.9,3,0
2.504651163,3,0
2.533333333,4,1
1.35,2,1
2.052631579,4,1
1.816666667,4,1
1.87755102,3,0
2.266666667,4,1
2.057608696,3,0
1,3,0
1.360465116,3,0
0,3,0
3.857142857,4,1
2.017857143,3,0
1.728571429,3,0
1.626865672,3,0
1.534782609,3,0
1.825,4,1
1.945132743,3,0
1.2,3,0
3.373333333,4,1
2.080645161,3,0
0.72,3,0
2.323076923,3,0
0.831034483,3,0
2.666666667,4,1
0.375,3,0
1.753508772,3,0
2.886666667,4,1
3.466666667,4,1
1.168421053,3,0
1.52,3,0
0.533333333,3,0
1.805128205,3,0
1.7,3,0
0.9,3,0
1.504255319,3,0
0,3,0
3,4,1
1.819672131,3,0
2.9125,4,1
0,3,0
1.259259259,3,0
1.666666667,3,0
2.882352941,4,1
1.83030303,3,0
0.785714286,3,0
3.1,4,1
0.214285714,3,0
3.69375,4,1
1.932758621,3,0
3.406666667,4,1
1.023809524,3,0
1.255813953,3,0
3.08,4,1
0,3,0
3.066666667,4,1
1.73125,3,0
3.60625,4,1
1.741666667,4,1
0,3,0
2.2,2,1
2.253333333,4,1
3.8125,4,1
0,3,0
2.993333333,4,1
3.85,1,1
3.117567568,3,0
1.133333333,3,0
2.18,4,1
1.670967742,3,0
1.145,3,0
1.944444444,4,1
0.782608696,3,0
3.066666667,4,1
3.28125,4,1
3,4,1
0.930769231,3,0
3.545454545,4,1
1.544303797,3,0
3.363333333,3,0
0.9625,3,0
3.466666667,4,1
2.566666667,4,1
2.666666667,3,0
3.005882353,4,1
2.826027397,3,0
1.058823529,3,0
3.576470588,4,1
2.769230769,4,1
1.509433962,3,0
1.372093023,3,0
3.375,4,1
3.146153846,4,1
1.75,2,1
2.2375,4,1
0.642857143,3,0
1.447826087,3,0
1.5,2,1
2.991666667,3,0
2.823529412,4,1
2.317460317,3,0
0.416666667,3,0
1.657142857,3,0
3.8,4,1
0.4,3,0
1.978571429,4,1
1.045454545,3,0
1.219444444,3,0
3.673333333,4,1
0.5625,3,1
1.484782609,3,0
3.642857143,4,1
2.673333333,4,1
0.8125,3,0
1.794117647,3,0
2.833333333,4,1
1.383333333,3,0
0,3,0
2.216814159,3,0
3.5,4,1
1.5,3,0
1.1,3,0
