first term gpa,first term standing,second term gpa,second term standing,graduated
2.025,3,1.853932584,3,0
2.914285714,4,2.803448276,4,1
2.7125,4,2.483870968,4,1
1.547457627,3,1.611267606,3,0
2.533333333,4,2.387096774,4,1
3.4,4,3.118518519,4,1
3.75,4,3.555555556,4,1
1.621621622,3,1.836956522,3,0
3.764705882,4,3.764705882,4,1
3.76,4,3.793103448,4,1
2.883333333,4,2.816666667,4,1
4,4,4,4,1
0,3,1.153846154,3,0
0.6,3,1.058823529,3,0
2.411764706,3,2.186046512,3,0
3.206666667,4,2.653333333,4,1
4,1,4,1,1
2.8,4,2.783333333,4,1
2.185294118,3,2.10982659,3,0
2.206666667,4,2.320689655,4,1
0.885714286,3,0.607407407,3,0
1.571428571,3,1.691666667,3,0
3,4,3.28,4,1
1.3,3,1.376744186,3,0
1.335087719,3,1.170769231,3,0
3.722222222,4,3.46875,4,1
3.7,4,3.64,4,1
2.545454545,4,2.913043478,4,1
3.214285714,4,2.733333333,4,1
0.74,3,0.777777778,3,0
0.214285714,3,1.492753623,3,0
1.48,3,1.541791045,3,0
3.571428571,4,3.518518519,4,1
4,4,3.878787879,4,1
2.533333333,4,2.321428571,4,1
1.35,2,1.536666667,2,1
2.052631579,4,2.257142857,4,1
1.816666667,4,2.002702703,4,1
2.266666667,4,1.931034483,2,1
0,3,0,3,0
3.857142857,4,3.580645161,4,1
1.728571429,3,1.703,3,0
1.825,4,1.451724138,3,1
3.373333333,4,3.313333333,4,1
0.831034483,3,0.653488372,3,0
2.666666667,4,2.222222222,4,1
1.753508772,3,1.690833333,3,0
2.886666667,4,2.806666667,4,1
3.466666667,4,3.266666667,4,1
1.168421053,3,0.972727273,3,0
1.805128205,3,1.634351145,3,0
3,4,2.71875,4,1
2.9125,4,2.809375,4,1
1.259259259,3,1.03030303,3,0
2.882352941,4,2.84375,4,1
3.1,4,2.938709677,4,1
0.214285714,3,0.107142857,3,0
3.69375,4,3.673333333,4,1
3.406666667,4,3.55483871,4,1
1.023809524,3,1.791262136,3,0
1.255813953,3,1.315789474,3,0
3.08,4,2.835483871,4,1
3.066666667,4,3.096,4,1
3.60625,4,3.067741935,4,1
1.741666667,4,0.803846154,3,1
0,3,0.4,3,0
2.2,2,1.72,3,1
2.253333333,4,2.644827586,4,1
3.8125,4,3.864516129,4,1
2.993333333,4,2.946666667,4,1
3.85,1,2.74,4,1
1.133333333,3,1.381081081,3,0
2.18,4,2.68,4,1
1.944444444,4,2.242424242,4,1
0.782608696,3,1.083333333,3,0
3.066666667,4,2.967741935,4,1
3.28125,4,3.165625,4,1
3,4,2.75,4,1
0.930769231,3,0.619230769,3,0
3.545454545,4,3.636363636,4,1
1.544303797,3,1.558241758,3,0
3.466666667,4,3.25,4,1
2.566666667,4,2.996,4,1
3.005882353,4,3.096666667,4,1
3.576470588,4,3.596969697,4,1
2.769230769,4,2.892857143,4,1
3.375,4,3.2,4,1
3.146153846,4,2.946153846,4,1
1.75,2,2.476,4,1
2.2375,4,2.514285714,4,1
0.642857143,3,1.7475,3,0
1.5,2,1.961538462,4,1
2.823529412,4,2.735294118,4,1
2.317460317,3,2.263565891,3,0
1.657142857,3,1.414634146,3,0
3.8,4,3.741935484,4,1
1.978571429,4,2.1,4,1
3.673333333,4,3.41,4,1
0.5625,3,1.89,4,1
3.642857143,4,3.303571429,4,1
2.673333333,4,3.209375,4,1
0.8125,3,0.464285714,3,0
1.794117647,3,1.326086957,3,0
2.833333333,4,2.75,4,1
0,3,0.666666667,3,0
3.5,4,3.677419355,4,1
2.7,4,2.611111111,4,1
0.862068966,3,1.117142857,3,0
1.352941176,2,1.451612903,4,1
3.333333333,4,3.483870968,4,1
3.26875,4,2.76875,4,1
1.615384615,4,1.08,3,1
2.8,4,2.917241379,4,1
1.481481481,3,1.305172414,3,0
3.330769231,4,3.25,4,1
3.98125,4,3.806060606,4,1
0.43125,3,0.23,3,0
3.4,4,3.466666667,4,1
3.925,4,3.878125,4,1
1.822580645,3,1.847524752,3,0
2.4,4,1.928571429,4,1
3.7375,4,3.696875,4,1
3.73125,4,3.721875,4,1
3.4375,4,3.290322581,4,1
2.533333333,4,2,4,1
3.75625,4,3.678125,4,1
4,4,4,4,1
3.4375,4,3.493939394,4,1
3.428571429,4,3.103448276,4,1
1.974576271,3,1.7125,3,0
2.875,4,3.066666667,4,1
3.2,4,3,4,1
2.925,4,3.116666667,4,1
2.4375,4,2.378787879,4,1
2.893333333,4,2.851612903,4,1
0.375,3,0.206896552,3,0
4,4,4,4,1
4,4,3.970967742,4,1
1.650793651,3,1.658227848,3,0
0.083333333,3,0.269230769,3,0
2.25,4,2.253125,4,1
3.764705882,4,3.561764706,4,1
1.9625,4,2.022580645,4,1
2.333333333,4,2,4,1
3.535294118,4,3.378125,4,1
1.134042553,3,1.122033898,3,0
3.466666667,4,3.193548387,4,1
1.742741935,3,1.74625,3,0
2.285714286,4,2.655172414,4,1
2.167605634,3,1.824418605,3,0
0.882352941,3,0.652173913,3,0
3.176470588,4,2.764705882,4,1
0.2,3,0.2,3,0
3.275,4,3.427272727,4,1
3.066666667,4,2.44,4,1
0.5,3,0.744444444,3,0
3.583333333,4,3,4,1
2.6625,4,2.215625,4,1
3.416666667,4,3.442857143,4,1
0.25,3,0.36,3,0
3.5625,4,3.5625,4,1
3.9,4,3.84,4,1
2.933333333,4,2.903225806,4,1
2.833333333,4,2.137931034,4,1
1.691666667,3,1.705645161,3,0
0.8125,3,1.652941176,3,0
3.466666667,4,3.466666667,4,1
3.357142857,4,3.103448276,4,1
0.615384615,3,1.068,3,0
3.006666667,4,3.003225806,4,1
1.733333333,4,2.04,4,1
3.076923077,4,2.965517241,4,1
2.164179104,3,1.934782609,3,0
2.9125,4,3.263636364,4,1
1.416666667,3,0.972972973,3,0
2.625,4,2.459375,4,1
1.933333333,4,2,4,1
1.5,3,2.011363636,3,0
3.1375,4,3.185294118,4,1
1.325,3,1.372093023,3,0
1.68,3,1.692,3,0
3.925,4,3.963636364,4,1
3.185714286,4,3.209375,4,1
1.597560976,3,1.475362319,3,0
3.176470588,4,2.088235294,4,1
3.0625,4,2.741935484,4,1
0.588461538,3,0.645454545,3,0
0,3,1.490909091,3,0
3.094117647,4,3.144117647,4,1
3.73125,4,3.375757576,4,1
3.066666667,4,3.1,4,1
3.170588235,4,3.141176471,4,1
2.3125,4,2.329032258,4,1
2.358490566,3,1.987654321,3,0
2.946666667,4,2.9125,4,1
1.278571429,2,2.151851852,4,1
1.374,3,1.484848485,3,0
1.75,4,1.633333333,2,1
2.066666667,4,1.723076923,2,1
2.773333333,4,2.865625,4,1
2.742857143,4,3.009375,4,1
2.153846154,4,2.56,4,1
1.205128205,3,1.326530612,3,0
3.071428571,4,2.939393939,4,1
3.361111111,4,3.391428571,4,1
3.38,4,3.535714286,4,1
1.208,3,1.54,3,0
1.285714286,2,1.964285714,4,1
2.4,4,2.303703704,4,1
3.182352941,4,3.451515152,4,1
1.713793103,3,1.52244898,3,0
1.522727273,3,1.62962963,3,0
2.368421053,3,2.421238938,3,0
3.333333333,4,3.2,4,1
2.553333333,4,2.527586207,4,1
2.602150538,3,2.664485981,3,0
1.963333333,3,1.868181818,3,0
1.444827586,3,1.341860465,3,0
3.042857143,4,2.953571429,4,1
2.125,4,1.655172414,2,1
1.909090909,3,1.35483871,3,0
2.786666667,4,2.31875,4,1
2.7625,4,2.371875,4,1
3.6,4,3.09375,4,1
4,4,3.955555556,4,1
3,4,3.24137931,4,1
0.3,3,0.29,3,0
1.15,3,1.264705882,3,0
0,3,1.105263158,3,0
3.3,4,3.403030303,4,1
2.928571429,4,2.980645161,4,1
2.066666667,4,1.777777778,4,1
1.157894737,2,2.12195122,4,1
2.642857143,4,3.034482759,4,1
3.066666667,4,2.870967742,4,1
3.413333333,4,3.193548387,4,1
2.5,4,2.082608696,4,1
3.111111111,4,3.541666667,4,1
2.726666667,4,2.75625,4,1
0.857142857,3,1.280701754,3,0
1.663235294,3,1.601086957,3,0
1.365853659,3,1.145454545,3,0
3.133333333,4,3,4,1
3.4375,4,3.35483871,4,1
3.44375,4,3.132258065,4,1
4,4,3.963636364,4,1
1.25,3,1.326086957,3,0
3.5,4,3.59375,4,1
4,4,3.971875,4,1
2.133333333,4,2.366666667,4,1
2.1375,4,1.962068966,4,1
3.214285714,4,3.222222222,4,1
2.00625,4,2.528571429,4,1
2.5,4,2.517241379,4,1
2.1875,4,2.032258065,4,1
2.1875,4,2.196774194,4,1
3.75,4,3.64,4,1
2.944444444,4,2.514285714,4,1
3.453846154,4,3.503448276,4,1
1.818604651,3,1.396428571,3,0
1.836697248,3,1.811570248,3,0
2.79,4,3,4,1
2.091891892,3,1.814925373,3,0
0.285714286,3,0.111111111,3,0
1.133333333,2,1.71875,4,1
1.538461538,4,2.2,4,1
2.133333333,4,2.392857143,4,1
2.098305085,3,2.051744186,3,0
3.535294118,4,3.628125,4,1
1.785714286,3,2.021830986,3,0
2.253846154,4,2.903846154,4,1
3.8,4,3.548387097,4,1
1.87654321,3,1.76344086,3,0
2.085714286,3,1.738095238,3,0
3.553846154,4,3.637931034,4,1
0.6,3,1.324324324,3,0
1.553333333,3,1.648192771,3,0
2.375,4,2.310344828,4,1
3.4625,4,2.641935484,4,1
2.985714286,4,2.916666667,4,1
2.866666667,4,3.032258065,4,1
2.846153846,4,2.379310345,4,1
3.714285714,4,3.708333333,4,1
3.78,4,3.825806452,4,1
1.798333333,3,1.665277778,3,0
3.176923077,4,3.325,4,1
3.311764706,4,3.355882353,4,1
0.387096774,3,0.266666667,3,0
0.942857143,3,1,3,0
3.8,4,3.387096774,4,1
0,3,0,3,0
1.715686275,3,1.625396825,3,0
3.513333333,4,3.370967742,4,1
1.719565217,3,1.908988764,3,0
3.13125,4,3.03125,4,1
2.5125,4,2.784375,4,1
3.5375,4,3.2125,4,1
3.777777778,4,3.752777778,4,1
0.476470588,3,0.625,3,0
0.491666667,3,1.288235294,3,0
0.1875,3,0.103448276,3,0
0.906666667,3,0.566666667,3,0
3.4375,4,3.53125,4,1
4,4,3.88,4,1
1.619642857,3,1.611764706,3,0
3,4,2.948275862,4,1
2.25,4,2.4,4,1
3.352941176,4,3.242424242,4,1
1.8125,4,1.933333333,4,1
3.25,4,2.90625,4,1
3.594117647,4,3.4125,4,1
4,4,4,4,1
3.3625,4,3.477419355,4,1
1.004347826,3,1.657692308,3,0
3.50625,4,3.006666667,4,1
1.907142857,4,2.116129032,4,1
0.666666667,3,0.8,3,0
2.186666667,4,2.292592593,4,1
0.4,3,0.133333333,3,0
3.4375,4,2.84375,4,1
2.610778443,3,2.51761658,3,0
3.373333333,4,2.816666667,4,1
3.613333333,4,2.993333333,4,1
1.697674419,3,1.766666667,3,0
3.533333333,4,3.32,4,1
3.13125,4,3.321875,4,1
3.266666667,4,2.866666667,4,1
0.214285714,3,0.542307692,3,0
3.7125,4,3.190909091,4,1
3.98,4,3.859090909,4,1
2.124242424,3,1.967256637,3,0
3.929411765,4,3.842424242,4,1
3.428571429,4,3.233333333,4,1
0,3,0,3,0
2.91875,4,2.906060606,4,1
2.125,4,2.5,4,1
0.996,3,0.960526316,3,0
2.91875,4,3.208823529,4,1
2.95,4,2.884375,4,1
