id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,fourth term gpa,fourth term standing,fifth term gpa,fifth term standing,sixth term gpa,sixth term standing,seventh term gpa,seventh term standing,graduated
4,2.62,Good,2.135714286,Good,2.623529412,Good,1.630769231,Good,1.75,Good,0.666666667,Dismissed,0.333333333,Dismissed,0
16,2.914285714,Good,2.7,Good,2.084615385,Good,1.785714286,Good,3.666666667,Good,3.25,Good,3.2,Good,1
32,2.435714286,Good,3.28,Good,2.48,Good,2.32,Good,2.613333333,Good,3.215384615,Good,2.88,Good,1
43,2.7125,Good,2.24,Good,2.88,Good,3.071428571,Good,2.182352941,Good,2.738888889,Good,2.81875,Good,1
68,2.533333333,Good,2.25,Good,3,Good,1.923076923,Good,1.5,Good,1.5,Good,2.675,Good,1
134,3.4,Good,2.766666667,Good,3.576923077,Good,3,Good,3.42,Good,2.14,Good,2.26,Good,1
153,3.8125,Good,3.4,Good,3.266666667,Good,3.375,Good,3,Good,2.8,Good,3.346666667,Good,1
177,3.764705882,Good,3.764705882,Good,3.605882353,Good,3.94375,Good,4,Good,3.876470588,Good,3.83125,Good,1
180,1.933333333,Good,2.666666667,Good,3.85,Good,2.485714286,Good,2.921428571,Good,2.453333333,Good,2.54,Good,1
192,3.76,Good,3.828571429,Good,3.375,Good,3.525,Good,3.323529412,Good,3.375,Good,2.94,Good,1
229,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,4,Good,1
276,3.566666667,Good,3.8,Good,3.075,Good,2.86,Good,3.325,Good,3.861538462,Good,3.657142857,Good,1
280,2.45,Good,2.293333333,Good,3.3125,Good,2.228571429,Good,3.4,Good,3.571428571,Good,3.34,Good,1
281,3.241176471,Good,3.00625,Good,3.54,Good,3.74,Good,3.54,Good,3.32,Good,3.838461538,Good,1
290,2.607692308,Good,1.4,Good,3.475,Good,2.66,Good,2.74,Good,4,Good,3.05625,Good,1
291,3.214285714,Good,3,Good,3,Good,3.076923077,Good,4,NA,3.0625,Good,3.271428571,Good,1
300,3.206666667,Good,2.1,Good,3,Good,1.453846154,Good,2.636363636,Good,2,Good,2.45,Good,1
330,4,NA,4,NA,4,Good,4,Good,4,Good,4,Good,4,Good,1
342,3.56875,Good,3.029411765,Good,2.26,Good,2.411764706,Good,2.63125,Good,2.74,Good,2.83125,Good,1
347,2.08,Good,2.28,Good,1.936363636,Good,2.141666667,Good,2.116666667,Good,2.4,Good,2.561111111,Good,1
348,2.8,Good,2.766666667,Good,2.535714286,Good,3.7,NA,2.692307692,Good,2.6,Good,4,NA,1
381,2.526666667,Good,2.476470588,Good,2.152941176,Good,2.7,Good,1.941176471,Good,3.14,Good,2.0125,Good,1
411,3.1625,Good,1.729411765,Good,2.566666667,Good,1.75,Good,2.117647059,Good,1.75,Good,0.461538462,Good,0
437,2.206666667,Good,2.442857143,Good,3.133333333,Good,2.19375,Good,2.65,Good,2.75,Good,3.05,Good,1
439,3.0125,Good,2.938461538,Good,2.446153846,Good,1.486666667,Good,3,Good,3.26,Good,3.25,Good,1
452,1.5,Probation,2.071428571,Good,1.066666667,Probation,2.166666667,Probation,1.2,Dismissed,2.5,Good,1.838461538,Probation,0
488,3.428571429,Good,1.571428571,Good,2.071428571,Good,2.5625,Good,2.05,Good,4,NA,2.8,Good,1
515,2.733333333,Good,3.533333333,Good,3.4,Good,2.866666667,Good,2.6,Good,3.328571429,Good,3.49375,Good,1
524,4,NA,3,NA,2.817647059,Good,3.05625,Good,2.986666667,Good,3.333333333,Good,3.258823529,Good,1
528,1.8,Good,0.8,Dismissed,1.553846154,Dismissed,2.875,Good,3.175,Good,2.9,Good,3.428571429,Good,1
540,0.866666667,Probation,1.666666667,Probation,2.364285714,Good,1.65,Good,1.41,Probation,0,Dismissed,0,Dismissed,0
554,3.722222222,Good,3.142857143,Good,3.635714286,Good,3.08,Good,3.093333333,Good,2.925,Good,2.485714286,Good,1
570,1.792307692,Probation,2.35,Good,0.428571429,Dismissed,3.4,Good,3.241176471,Good,2.725,Good,3.376923077,Good,1
585,3.506666667,Good,2.61875,Good,3.0625,Good,2.85,Good,2.5,Good,2.8125,Good,2.833333333,Good,1
619,3.8,Good,3.625,Good,3.8125,Good,3.357142857,Good,3.88,Good,3.43125,Good,3.45,Good,1
674,1.7,Good,1.935714286,Good,1.425,Probation,2.385714286,Good,1.825,Good,2.623076923,Good,2.964285714,Good,1
679,2.666666667,Good,3.25,Good,2.846153846,Good,1.153846154,Good,2.769230769,Good,2.2,Good,3.769230769,Good,1
698,2.5625,Good,2,Good,3.49375,Good,3.2,Good,2.621428571,Good,2.8875,Good,3.4375,Good,1
702,1.8,Good,1.466666667,Good,2.066666667,Good,0.75,Dismissed,3.2,Good,3.4375,Good,3.5,Good,1
711,3.066666667,Good,3.4375,Good,2.3625,Good,3.211764706,Good,3.13125,Good,2.6,Good,3.076923077,Good,1
713,3.3125,Good,2.3125,Good,2.866666667,Good,3,Good,2.5,Good,2.25,Good,2.817647059,Good,1
715,3.13125,Good,2.625,Good,3.38125,Good,2.74,Good,3.405555556,Good,3.225,Good,3.175,Good,1
733,3.285714286,Good,3.2,Good,3,Good,2.714285714,Good,3.31875,Good,3.26,Good,3.4,Good,1
