id,first term gpa,first term standing,graduated
4,2.025,D,0
16,2.914285714,G,1
43,2.7125,G,1
60,1.547457627,D,0
68,2.533333333,G,1
73,2.816666667,D,0
101,2.02173913,D,0
134,3.4,G,1
153,3.75,G,1
160,1.621621622,D,0
171,2.105882353,D,0
177,3.764705882,G,1
192,3.76,G,1
211,2.883333333,G,1
229,4,G,1
236,0,D,0
274,2.473333333,D,0
284,0.6,D,0
298,2.411764706,D,0
300,3.206666667,G,1
304,3.05826087,D,0
348,2.8,N,1
375,1.08,G,0
380,0.7875,D,0
407,0.736363636,D,0
411,2.185294118,D,0
414,1.619047619,D,0
435,0.666666667,D,0
437,2.206666667,D,1
448,0.885714286,G,0
452,1.571428571,D,0
469,3.152,D,0
503,1.481481481,D,0
512,1.763414634,D,0
514,1.5,D,0
515,3,D,1
528,1.3,G,0
540,1.335087719,D,0
554,3.722222222,D,1
570,1.517073171,G,0
577,0,D,0
619,3.7,D,1
646,2.580327869,G,0
679,2.545454545,D,1
700,1.137931034,G,0
702,1.535714286,D,0
713,3.214285714,D,1
735,0.74,G,0
766,2.281147541,D,0
792,1.434883721,D,0
816,0.214285714,D,0
818,0.6,D,0
836,0.64,D,0
838,1.48,D,0
849,1.266666667,D,0
869,1.53968254,D,0
875,2.159756098,D,0
900,1.303703704,D,0
960,0.375,D,0
1036,0.722222222,D,0
1040,0,D,0
1051,1.323943662,D,0
1078,3.571428571,D,1
1098,2.135365854,G,0
1103,4,D,1
1115,0.9,G,0
1180,2.504651163,D,0
1183,2.533333333,D,1
1186,1.35,G,1
1199,2.052631579,P,1
1225,1.816666667,G,1
1234,1.87755102,G,0
1235,2.266666667,D,1
1278,2.057608696,G,0
1304,1,D,0
1308,1.360465116,D,0
1326,0,D,0
1345,3.857142857,D,1
1351,2.017857143,G,0
1378,1.728571429,D,0
1391,1.626865672,D,0
1400,1.534782609,D,0
1423,1.825,D,1
1455,1.945132743,G,0
1489,1.2,D,0
1496,3.373333333,D,1
1516,2.080645161,G,0
1544,0.72,D,0
1546,2.323076923,D,0
1576,0.831034483,D,0
1579,2.666666667,D,1
1594,0.375,G,0
1602,1.753508772,D,0
1604,2.886666667,D,1
1614,3.466666667,G,1
1617,1.168421053,G,0
1623,1.52,D,0
1628,0.533333333,D,0
1629,1.805128205,D,0
1639,1.7,D,0
1679,0.9,D,0
1724,1.504255319,D,0
1733,0,D,0
1775,3,D,1
1833,1.819672131,G,0
1857,2.9125,D,1
1877,0,G,0
1891,1.259259259,D,0
1901,1.666666667,D,0
1904,2.882352941,D,1
1909,1.83030303,G,0
1921,0.785714286,D,0
1930,3.1,D,1
1939,0.214285714,G,0
1954,3.69375,D,1
1958,1.932758621,G,0
1999,3.406666667,D,1
2018,1.023809524,G,0
2046,1.255813953,D,0
2097,3.08,D,1
2111,0,G,0
2115,3.066666667,D,1
2121,1.73125,G,0
2125,3.60625,D,1
2145,1.741666667,G,1
2181,0,G,0
2197,2.2,D,1
2208,2.253333333,P,1
2210,3.8125,G,1
2255,0,G,0
2270,2.993333333,D,1
2314,3.117567568,G,0
2334,1.133333333,N,0
2358,2.18,D,1
2374,1.670967742,D,0
2383,1.145,G,0
2405,1.944444444,D,1
2432,0.782608696,D,0
2433,3.066666667,G,1
2448,3.28125,D,1
2450,3,G,1
2456,0.930769231,G,0
2474,3.545454545,G,1
2492,1.544303797,D,0
2513,3.363333333,G,0
2544,0.9625,D,0
2545,3.466666667,D,1
2551,2.566666667,D,1
2553,2.666666667,G,0
2579,3.005882353,G,1
2592,2.826027397,D,0
2622,1.058823529,G,0
2669,3.576470588,D,1
2676,2.769230769,D,1
2680,1.509433962,G,0
2690,1.372093023,G,0
2694,3.375,D,1
2736,3.146153846,D,1
2738,1.75,G,1
2748,2.2375,G,1
2754,0.642857143,P,0
2757,1.447826087,G,0
2760,1.5,D,1
2766,2.991666667,D,0
2780,2.823529412,P,1
2797,2.317460317,D,0
2802,0.416666667,G,0
2823,1.657142857,D,0
2828,3.8,D,1
2876,0.4,D,0
2907,1.978571429,G,1
2922,1.045454545,D,0
2935,1.219444444,G,0
2966,3.673333333,D,1
2971,0.5625,D,1
2976,1.484782609,G,0
2993,3.642857143,D,1
3014,2.673333333,D,1
3061,0.8125,G,0
3075,1.794117647,G,0
3092,2.833333333,D,1
3106,1.383333333,D,0
3107,0,G,0
3150,2.216814159,D,0
3157,3.5,D,1
3176,1.5,D,0
3188,1.1,G,0
3218,2.7,D,1
3226,0.862068966,D,0
3270,0,G,0
3276,0.753571429,D,0
3313,1.352941176,D,1
3321,2.083333333,D,0
3330,0.81875,P,0
3334,3.333333333,D,1
3337,3.26875,D,1
3366,1.615384615,G,1
3424,2.8,G,1
3460,1.481481481,G,0
3467,1.976470588,G,0
