id,first term gpa,first term standing,second term gpa,second term standing,graduated
4,2.025,D,1.853932584,D,0
16,2.914285714,G,2.803448276,G,1
43,2.7125,G,2.483870968,G,1
60,1.547457627,D,1.611267606,D,0
68,2.533333333,G,2.387096774,G,1
134,3.4,G,3.118518519,G,1
153,3.75,G,3.555555556,G,1
160,1.621621622,D,1.836956522,D,0
177,3.764705882,G,3.764705882,G,1
192,3.76,G,3.793103448,G,1
211,2.883333333,G,2.816666667,G,1
229,4,G,4,G,1
236,0,D,1.153846154,D,0
284,0.6,D,1.058823529,D,0
298,2.411764706,D,2.186046512,D,0
300,3.206666667,G,2.653333333,G,1
348,2.8,N,2.783333333,N,1
375,1.08,G,,G,0
414,1.619047619,D,,D,0
448,0.885714286,G,0.607407407,G,0
452,1.571428571,D,1.691666667,D,0
469,3.152,D,,D,0
528,1.3,G,1.376744186,G,0
540,1.335087719,D,1.170769231,D,0
554,3.722222222,D,3.46875,D,1
570,1.517073171,G,,G,0
646,2.580327869,G,,G,0
700,1.137931034,G,,G,0
735,0.74,G,0.777777778,G,0
766,2.281147541,D,,D,0
818,0.6,D,,D,0
849,1.266666667,D,,D,0
1098,2.135365854,G,,G,0
1115,0.9,G,,G,0
1186,1.35,G,1.536666667,G,1
1199,2.052631579,P,2.257142857,P,1
1225,1.816666667,G,2.002702703,G,1
1234,1.87755102,G,,G,0
1278,2.057608696,G,,P,0
1345,3.857142857,D,3.580645161,D,1
1351,2.017857143,G,,G,0
1391,1.626865672,D,,D,0
1455,1.945132743,G,,D,0
1516,2.080645161,G,,G,0
1579,2.666666667,D,2.222222222,D,1
1594,0.375,G,,G,0
1604,2.886666667,D,2.806666667,D,1
1614,3.466666667,G,3.266666667,G,1
1617,1.168421053,G,0.972727273,G,0
1623,1.52,D,,D,0
1639,1.7,D,,D,0
1833,1.819672131,G,,G,0
1877,0,G,,G,0
1901,1.666666667,D,,D,0
1909,1.83030303,G,,G,0
1939,0.214285714,G,0.107142857,G,0
1954,3.69375,D,3.673333333,D,1
1958,1.932758621,G,,G,0
2018,1.023809524,G,1.791262136,G,0
2046,1.255813953,D,1.315789474,D,0
2097,3.08,D,2.835483871,D,1
2111,0,G,,G,0
2121,1.73125,G,,G,0
2145,1.741666667,G,0.803846154,G,1
2181,0,G,0.4,D,0
2197,2.2,D,1.72,D,1
2208,2.253333333,P,2.644827586,D,1
2210,3.8125,G,3.864516129,G,1
2255,0,G,,G,0
2314,3.117567568,G,,G,0
2334,1.133333333,N,1.381081081,G,0
2374,1.670967742,D,,D,0
2383,1.145,G,,G,0
2433,3.066666667,G,2.967741935,G,1
2448,3.28125,D,3.165625,D,1
2450,3,G,2.75,G,1
2456,0.930769231,G,0.619230769,G,0
2474,3.545454545,G,3.636363636,G,1
2492,1.544303797,D,1.558241758,D,0
2513,3.363333333,G,,G,0
2544,0.9625,D,,D,0
2553,2.666666667,G,,G,0
2579,3.005882353,G,3.096666667,G,1
2622,1.058823529,G,,G,0
2680,1.509433962,G,,G,0
2690,1.372093023,G,,G,0
2738,1.75,G,2.476,G,1
2748,2.2375,G,2.514285714,G,1
2754,0.642857143,P,1.7475,G,0
2757,1.447826087,G,,G,0
2760,1.5,D,1.961538462,D,1
2780,2.823529412,P,2.735294118,G,1
2802,0.416666667,G,,G,0
2823,1.657142857,D,1.414634146,D,0
2876,0.4,D,,D,0
2907,1.978571429,G,2.1,G,1
2935,1.219444444,G,,G,0
2976,1.484782609,G,,G,0
2993,3.642857143,D,3.303571429,G,1
3061,0.8125,G,0.464285714,G,0
3075,1.794117647,G,1.326086957,G,0
3092,2.833333333,D,2.75,D,1
3106,1.383333333,D,,D,0
3107,0,G,0.666666667,G,0
3157,3.5,D,3.677419355,D,1
3188,1.1,G,,G,0
3270,0,G,,G,0
3276,0.753571429,D,,D,0
3330,0.81875,P,,G,0
3366,1.615384615,G,1.08,G,1
3424,2.8,G,2.917241379,G,1
3460,1.481481481,G,1.305172414,D,0
3467,1.976470588,G,,G,0
3489,3.330769231,D,3.25,D,1
3532,0.333333333,G,,G,0
3605,3.4,G,3.466666667,G,1
3680,3.925,D,3.878125,D,1
3696,1.822580645,G,1.847524752,G,0
3731,0.87,G,,G,0
3752,2.4,D,1.928571429,D,1
3780,1.244186047,G,,G,0
3801,3.4375,G,3.290322581,G,1
3856,2.533333333,G,2,G,1
3861,1.580952381,G,,G,0
3895,3.75625,G,3.678125,G,1
3910,3.4375,G,3.493939394,G,1
3912,3.428571429,G,3.103448276,G,1
3966,1.974576271,G,1.7125,G,0
4017,1.875,G,,G,0
4020,1.064516129,D,,D,0
4088,0,G,,G,0
4141,1.64893617,G,,G,0
4193,2.4375,G,2.378787879,G,1
4207,1.878787879,G,,G,0
4260,4,G,4,G,1
4263,0,D,,D,0
4274,0.428571429,G,,G,0
4285,0,G,,G,0
4317,2.763380282,D,,D,0
4392,3.764705882,D,3.561764706,D,1
4440,1.9625,G,2.022580645,G,1
4483,2.333333333,G,2,G,1
4495,0,G,,G,0
4506,0.1,G,,G,0
4547,1.134042553,G,1.122033898,G,0
4640,1.25,D,,D,0
4675,1.742741935,G,1.74625,G,0
4687,2.167605634,D,1.824418605,D,0
4719,0.88,G,,G,0
4727,0.882352941,D,0.652173913,D,0
4787,1.366666667,D,,D,0
4796,0.2,G,0.2,G,0
4864,3.066666667,D,2.44,D,1
4934,0.425,G,,G,0
4941,0.5,G,0.744444444,G,0
4995,2.6625,D,2.215625,D,1
4999,0.375,G,,G,0
5023,3.416666667,G,3.442857143,G,1
5054,0.25,G,0.36,G,0
5091,3.9,D,3.84,D,1
5108,1.723584906,G,,G,0
5142,2.933333333,G,2.903225806,G,1
5173,2.833333333,G,2.137931034,G,1
5215,1.691666667,G,1.705645161,G,0
5248,0.8,D,,D,0
5299,3.466666667,D,3.466666667,D,1
5349,0.615384615,G,1.068,G,0
5357,3.006666667,G,3.003225806,G,1
5370,1.733333333,D,2.04,D,1
5372,1.25,G,,G,0
5435,3.076923077,G,2.965517241,G,1
5464,2.028125,G,,G,0
5473,0.792307692,D,,D,0
5563,2.625,G,2.459375,G,1
5597,0.738461538,D,,D,0
5599,2.052066116,G,,G,0
5614,0.5,G,,G,0
5625,1.864705882,D,,D,0
5686,1.68,G,1.692,G,0
5715,0,D,,D,0
5720,2.609090909,D,,D,0
5756,2.371666667,G,,G,0
5760,1.254166667,G,,G,0
5843,1.90952381,D,,D,0
5861,0.266666667,G,,G,0
6066,0.713333333,G,,G,0
6073,1.883838384,D,,D,0
6144,3.094117647,D,3.144117647,D,1
6147,2.094782609,G,,G,0
6166,3.066666667,G,3.1,G,1
6187,0.913043478,G,,G,0
6239,2.358490566,G,1.987654321,G,0
6241,2.372,G,,G,0
6261,0.915625,D,,D,0
6325,1.603174603,G,,G,0
6368,1.75,P,1.633333333,G,1
6379,2.066666667,D,1.723076923,D,1
6388,2.773333333,G,2.865625,P,1
6417,2.742857143,G,3.009375,P,1
6449,2.153846154,G,2.56,G,1
6454,1.686567164,G,,G,0
6456,1.655172414,G,,G,0
6478,1.110526316,D,,D,0
6480,2.899,G,,G,0
6681,1.208,G,1.54,G,0
6702,1.47,G,,G,0
6717,2.51875,D,,D,0
6758,2.005084746,P,,G,0
6764,3.182352941,G,3.451515152,G,1
6781,1,G,,G,0
6811,2.368421053,D,2.421238938,D,0
6822,1.827586207,D,,D,0
6823,3.333333333,D,3.2,D,1
6846,2.602150538,G,2.664485981,G,0
6893,1.225925926,G,,G,0
6900,1.035,D,,D,0
6972,1.444827586,D,1.341860465,D,0
7005,2.125,D,1.655172414,D,1
7056,1.909090909,G,1.35483871,G,0
7127,1.754054054,G,,P,0
7128,2.140625,D,,D,0
7141,2.7625,G,2.371875,G,1
7184,2.8,G,,G,0
7200,1.747169811,G,,G,0
7289,0.3,G,0.29,G,0
7341,1.15,G,1.264705882,G,0
7344,0,D,1.105263158,D,0
7357,3.3,D,3.403030303,D,1
7364,2.928571429,D,2.980645161,D,1
7370,1.405405405,G,,G,0
7389,2.066666667,G,1.777777778,G,1
7411,1.955932203,G,,G,0
7449,1.861111111,P,,G,0
7585,3.066666667,G,2.870967742,G,1
7651,3.413333333,G,3.193548387,G,1
7682,0.31875,G,,G,0
7721,2.726666667,G,2.75625,G,1
7738,0.428571429,G,,G,0
7744,0.25,G,,G,0
7792,1.365853659,D,1.145454545,D,0
7798,3.133333333,D,3,D,1
7801,3.4375,D,3.35483871,D,1
7803,1.5,G,,G,0
7820,0.466666667,G,,G,0
7849,2.666666667,G,,G,0
7863,1.25,G,1.326086957,G,0
7923,4,D,3.971875,D,1
7927,0,G,,G,0
7948,2.133333333,G,2.366666667,G,1
7958,3.214285714,G,3.222222222,G,1
7963,1.084615385,G,,G,0
7970,2.00625,G,2.528571429,G,1
8014,2.1875,G,2.032258065,G,1
8072,1.04,G,,G,0
8086,2.1875,G,2.196774194,G,1
8134,1.756756757,G,,G,0
8139,1.798387097,G,,G,0
8226,1.818604651,G,1.396428571,G,0
8227,1.836697248,G,1.811570248,G,0
8229,1.145,D,,D,0
8231,2.79,D,3,D,1
8259,2.846875,G,,G,0
8272,3.419626168,D,,D,0
8308,1.133333333,D,1.71875,D,1
8334,2.133333333,P,2.392857143,G,1
8345,2.098305085,G,2.051744186,G,0
8359,3.535294118,G,3.628125,G,1
8406,1.785714286,D,2.021830986,D,0
8420,2.253846154,G,2.903846154,G,1
8442,3.8,D,3.548387097,D,1
8444,1.87654321,G,1.76344086,G,0
8478,1.861538462,G,,G,0
8485,2.085714286,D,1.738095238,D,0
8519,0.6,D,1.324324324,D,0
8540,1.553333333,G,1.648192771,G,0
8542,2.003603604,D,,D,0
8551,2.375,D,2.310344828,D,1
8558,1.003846154,G,,G,0
8560,0,G,,G,0
8655,0,G,,G,0
8697,1.588721805,G,,G,0
8753,0.31875,G,,G,0
8795,1.725,G,,G,0
8804,1.798333333,G,1.665277778,G,0
8825,3.176923077,D,3.325,D,1
8837,1.671428571,G,,G,0
8884,0.387096774,G,0.266666667,G,0
8955,0.942857143,D,1,D,0
8966,1.363636364,D,,D,0
8978,0,G,0,G,0
9008,3.513333333,D,3.370967742,D,1
9039,1.719565217,D,1.908988764,D,0
9042,2.063291139,G,,G,0
9043,3.13125,D,3.03125,D,1
9057,2.5125,G,2.784375,G,1
9076,3.5375,G,3.2125,G,1
9105,1.952777778,G,,G,0
9123,0.476470588,G,0.625,G,0
9133,0.1875,D,0.103448276,D,0
9155,0.906666667,D,0.566666667,D,0
9165,3.4375,D,3.53125,D,1
9170,4,D,3.88,D,1
9183,1.619642857,G,1.611764706,G,0
9252,1.275,G,,G,0
9276,3,D,2.948275862,D,1
9304,2.25,G,2.4,G,1
9327,1.748484848,G,,G,0
9352,1.8125,G,1.933333333,G,1
9365,3.594117647,G,3.4125,G,1
9370,4,G,4,G,1
9378,3.3625,G,3.477419355,G,1
9386,1.004347826,G,1.657692308,G,0
9405,3.50625,G,3.006666667,G,1
9410,1.907142857,D,2.116129032,D,1
9453,0.727777778,G,,G,0
9460,0.666666667,G,0.8,G,0
9475,2.186666667,D,2.292592593,D,1
9506,0.4,G,0.133333333,G,0
9516,1.351612903,D,,D,0
9534,0.1875,G,,G,0
9535,1.5,D,,D,0
9572,3.613333333,G,2.993333333,G,1
9585,1.642592593,G,,G,0
9767,3.13125,D,3.321875,D,1
9771,0.866666667,G,,G,0
9778,0.214285714,G,,G,0
9803,0.214285714,G,0.542307692,G,0
9901,3.98,D,3.859090909,D,1
9916,2.124242424,G,1.967256637,G,0
9931,3.929411765,G,3.842424242,G,1
9959,3.428571429,D,3.233333333,D,1
9990,0,G,0,G,0
10031,2.91875,G,2.906060606,G,1
10047,1.574074074,D,,D,0
10051,0,G,,G,0
10174,2.91875,G,3.208823529,G,1
10307,2.111111111,D,,D,0
10325,2.785,G,,G,0
10369,2.109589041,G,,G,0
10420,1.943396226,G,,G,0
10422,1.576136364,G,,G,0
10448,1.2,G,,G,0
10584,2.9,G,2.663333333,G,1
10592,1.793333333,G,1.918518519,G,1
10616,2.529411765,G,2.848484848,G,1
10634,1.61627907,P,,P,0
10641,4,G,4,G,1
10654,0.2,G,,G,0
10656,0.461538462,G,,G,0
