id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,graduated
16,2.914285714,G,2.803448276,G,2.580952381,G,1
43,2.7125,G,2.483870968,G,2.613043478,G,1
68,2.533333333,G,2.387096774,G,2.568181818,G,1
134,3.4,G,3.118518519,G,3.2675,G,1
153,3.75,G,3.555555556,G,3.41025641,G,1
160,1.621621622,D,1.836956522,D,1.923404255,D,0
177,3.764705882,G,3.764705882,G,3.711764706,G,1
192,3.76,G,3.793103448,G,3.670731707,G,1
211,2.883333333,G,2.816666667,G,3.00625,G,1
229,4,G,4,G,4,G,1
300,3.206666667,G,2.653333333,G,2.684848485,G,1
348,2.8,N,2.783333333,N,2.704545455,G,1
375,1.08,G,,G,,G,1
448,0.885714286,G,0.607407407,G,,G,1
469,3.152,D,,D,,D,0
528,1.3,G,1.376744186,G,,G,1
570,1.517073171,G,,G,,G,1
646,2.580327869,G,,G,,G,1
700,1.137931034,G,,G,,G,1
735,0.74,G,0.777777778,G,,G,1
1098,2.135365854,G,,G,,G,1
1115,0.9,G,,G,,G,1
1186,1.35,G,1.536666667,G,1.622727273,G,1
1199,2.052631579,P,2.257142857,P,2.326530612,G,1
1225,1.816666667,G,2.002702703,G,2.17962963,G,1
1234,1.87755102,G,,G,,G,1
1278,2.057608696,G,,P,,G,1
1351,2.017857143,G,,G,,G,1
1455,1.945132743,G,,D,,G,1
1516,2.080645161,G,,G,,G,1
1594,0.375,G,,G,,G,1
1614,3.466666667,G,3.266666667,G,3.128205128,D,1
1617,1.168421053,G,0.972727273,G,,G,1
1833,1.819672131,G,,G,,G,1
1877,0,G,,G,,G,1
1909,1.83030303,G,,G,,G,1
1939,0.214285714,G,0.107142857,G,,G,1
1958,1.932758621,G,,G,,G,1
2018,1.023809524,G,1.791262136,G,1.682142857,G,1
2046,1.255813953,D,1.315789474,D,,D,0
2111,0,G,,G,,G,1
2121,1.73125,G,,G,,G,1
2145,1.741666667,G,0.803846154,G,1.160526316,G,1
2181,0,G,0.4,D,,D,1
2208,2.253333333,P,2.644827586,D,2.8,P,1
2210,3.8125,G,3.864516129,G,3.872340426,G,1
2255,0,G,,G,,G,1
2314,3.117567568,G,,G,,G,1
2334,1.133333333,N,1.381081081,G,,G,1
2383,1.145,G,,G,,G,1
2433,3.066666667,G,2.967741935,G,2.586956522,G,1
2450,3,G,2.75,G,2.6,G,1
2456,0.930769231,G,0.619230769,G,,G,1
2474,3.545454545,G,3.636363636,G,3.710526316,G,1
2513,3.363333333,G,,G,,G,1
2553,2.666666667,G,,G,,G,1
2579,3.005882353,G,3.096666667,G,2.809302326,G,1
2622,1.058823529,G,,G,,G,1
2680,1.509433962,G,,G,,G,1
2690,1.372093023,G,,G,,G,1
